label,regularity,ci_gzip,ci_lzma,ci_zstd,ci_mean
synth_000_reg0.00,0.0,0.25254,0.24088,0.2407,0.24470666666666666
synth_001_reg0.02,0.02040816326530612,0.24914,0.23736,0.23688,0.24112666666666668
synth_002_reg0.04,0.04081632653061224,0.23346,0.22232,0.22158,0.22578666666666666
synth_003_reg0.06,0.061224489795918366,0.22368,0.21304,0.21266,0.21645999999999999
synth_004_reg0.08,0.08163265306122448,0.22856,0.21728,0.21748,0.22110666666666667
synth_005_reg0.10,0.10204081632653061,0.2194,0.20776,0.20794,0.2117
synth_006_reg0.12,0.12244897959183673,0.23884,0.22536,0.22652,0.23024
synth_007_reg0.14,0.14285714285714285,0.21564,0.204,0.20392,0.20785333333333333
synth_008_reg0.16,0.16326530612244897,0.21686,0.20392,0.20532,0.2087
synth_009_reg0.18,0.1836734693877551,0.20402,0.19168,0.19252,0.19607333333333332
synth_010_reg0.20,0.20408163265306123,0.209,0.19464,0.19652,0.20005333333333333
synth_011_reg0.22,0.22448979591836735,0.20016,0.18552,0.18794,0.19120666666666666
synth_012_reg0.24,0.24489795918367346,0.20018,0.18496,0.18742,0.19085333333333335
synth_013_reg0.27,0.2653061224489796,0.19676,0.182,0.18472,0.18782666666666667
synth_014_reg0.29,0.2857142857142857,0.20522,0.18792,0.19138,0.19484
synth_015_reg0.31,0.30612244897959184,0.18638,0.17096,0.17368,0.17700666666666667
synth_016_reg0.33,0.32653061224489793,0.18678,0.17088,0.17402,0.17722666666666664
synth_017_reg0.35,0.3469387755102041,0.18066,0.16528,0.16822,0.1713866666666667
synth_018_reg0.37,0.3673469387755102,0.17374,0.15856,0.16092,0.16440666666666667
synth_019_reg0.39,0.3877551020408163,0.17798,0.1616,0.16452,0.16803333333333334
synth_020_reg0.41,0.40816326530612246,0.1533,0.13856,0.14098,0.14428
synth_021_reg0.43,0.42857142857142855,0.1552,0.1392,0.14208,0.14549333333333334
synth_022_reg0.45,0.4489795918367347,0.16578,0.14976,0.15278,0.1561066666666667
synth_023_reg0.47,0.46938775510204084,0.15774,0.1416,0.14498,0.14810666666666666
synth_024_reg0.49,0.4897959183673469,0.15082,0.13496,0.13814,0.1413066666666667
synth_025_reg0.51,0.5102040816326531,0.1585,0.14136,0.14464,0.14816666666666667
synth_026_reg0.53,0.5306122448979592,0.1542,0.13672,0.1406,0.14384
synth_027_reg0.55,0.5510204081632653,0.14474,0.12608,0.13038,0.13373333333333334
synth_028_reg0.57,0.5714285714285714,0.14318,0.12472,0.12836,0.13208666666666669
synth_029_reg0.59,0.5918367346938775,0.13726,0.1184,0.12282,0.12616
synth_030_reg0.61,0.6122448979591837,0.12646,0.10896,0.11294,0.11612
synth_031_reg0.63,0.6326530612244898,0.121,0.1028,0.10642,0.11007333333333334
synth_032_reg0.65,0.6530612244897959,0.11982,0.10024,0.10504,0.10836666666666665
synth_033_reg0.67,0.673469387755102,0.11944,0.09936,0.1044,0.10773333333333333
synth_034_reg0.69,0.6938775510204082,0.1149,0.0944,0.09954,0.10294666666666667
synth_035_reg0.71,0.7142857142857143,0.11158,0.0908,0.09616,0.09951333333333334
synth_036_reg0.73,0.7346938775510204,0.1083,0.08704,0.09244,0.09592666666666667
synth_037_reg0.76,0.7551020408163265,0.10238,0.08104,0.08704,0.09015333333333335
synth_038_reg0.78,0.7755102040816326,0.0949,0.07304,0.07878,0.08224
synth_039_reg0.80,0.7959183673469388,0.09424,0.07184,0.07762,0.08123333333333334
synth_040_reg0.82,0.8163265306122449,0.0818,0.05992,0.06538,0.06903333333333334
synth_041_reg0.84,0.8367346938775511,0.08596,0.0628,0.0691,0.07262
synth_042_reg0.86,0.8571428571428571,0.07862,0.056,0.062,0.06554
synth_043_reg0.88,0.8775510204081632,0.07156,0.0488,0.05506,0.05847333333333333
synth_044_reg0.90,0.8979591836734694,0.07342,0.04952,0.05602,0.059653333333333336
synth_045_reg0.92,0.9183673469387755,0.0649,0.0416,0.04798,0.051493333333333335
synth_046_reg0.94,0.9387755102040817,0.05766,0.03488,0.04032,0.04428666666666667
synth_047_reg0.96,0.9591836734693877,0.05606,0.0328,0.03816,0.042339999999999996
synth_048_reg0.98,0.9795918367346939,0.05012,0.02696,0.03276,0.03661333333333333
synth_049_reg1.00,1.0,0.04104,0.0192,0.02346,0.027899999999999998
