name,snapshot_id,total_bytes,total_loc,num_files,ci_gzip,ci_lzma,ci_zstd,shannon_entropy,cyclomatic_density,halstead_volume,composite_score,category,cpe_id,cve_count,cve_density,mean_cvss,median_cvss,max_cvss,high_severity_count,critical_count
openssl,8782e9a7ddc4,26920960,600908,1899,0.19692640975656142,0.1390081185812096,0.14005094914891594,0.4926038637705628,0.13638527029095968,1.0,0.3627789225554941,high_opacity,cpe:2.3:a:openssl:openssl:*:*:*:*:*:*:*:*,268,0.44599173251146595,6.711678832116788,7.4,9.8,71,12
imagemagick,22faaddf9d9a,20152320,487715,667,0.13821971862296747,0.08566537252286585,0.08741916563452744,0.4797066513166247,0.12885394133869166,0.86247811795958,0.31783069581547485,high_opacity,cpe:2.3:a:imagemagick:imagemagick:*:*:*:*:*:*:*:*,726,1.4885742698092124,6.883549783549784,6.5,9.8,259,48
libxml2,7736789aba86,6072320,177298,156,0.17338233162942665,0.12622654932546373,0.12799704231661047,0.5302247544918326,0.16023869417590722,0.703105499804391,0.32796904485260203,high_opacity,cpe:2.3:a:xmlsoft:libxml2:*:*:*:*:*:*:*:*,101,0.5696623763381425,7.286486486486487,7.5,9.8,46,9
php-src,cbe0144ab49e,90347520,1664465,2178,0.12536742569137482,0.0698665331378216,0.07532252130440327,0.41009038459492325,0.10936727416917748,1.0,0.3114293373732785,high_opacity,cpe:2.3:a:php:php:*:*:*:*:*:*:*:*,733,0.44038174428419946,8.167192429022082,8.1,9.8,260,131
wireshark,d703e4526d69,272896000,5249638,4109,0.13360497772045027,0.09235037523452158,0.09264271370778612,0.4203705477871129,0.050891890069372406,1.0,0.30498538390810975,high_opacity,cpe:2.3:a:wireshark:wireshark:*:*:*:*:*:*:*:*,692,0.13181861301674516,6.800539083557951,7.5,9.8,212,2
redis,fe3ae0ccacc5,8284160,163004,221,0.23048564972187885,0.16530921662546352,0.16842962955809643,0.5582285229099443,0.17132094917916124,0.7733492044300327,0.36421593987574913,low_opacity,cpe:2.3:a:redis:redis:*:*:*:*:*:*:*:*,43,0.2637972074304925,7.23953488372093,7.5,10.0,28,6
sqlite,faf1a259ccd9,14274560,372086,323,0.24113597897238165,0.16932893203012914,0.1717021050035868,0.5333462336712324,0.13806485597415652,0.8435653984953035,0.3623070673863541,low_opacity,cpe:2.3:a:sqlite:sqlite:*:*:*:*:*:*:*:*,63,0.16931569583375886,7.363461538461539,7.5,9.8,37,10
curl,ecd09257d864,7086080,166429,475,0.19363456240968208,0.13554461705202311,0.13726418555816475,0.5403061753877861,0.15705796465760175,0.8016242448107367,0.34900306431860895,low_opacity,cpe:2.3:a:haxx:curl:*:*:*:*:*:*:*:*,135,0.8111567094677009,6.960683760683761,7.3,9.8,62,23
zlib,f9dd6009be3e,1679360,30896,65,0.2709716796875,0.1808641387195122,0.1870432783917683,0.5674287316942171,0.1081693423096841,0.5125090539303256,0.32031177121704857,low_opacity,cpe:2.3:a:zlib:zlib:*:*:*:*:*:*:*:*,15,0.48549974106680477,8.60909090909091,8.8,9.8,10,5
jq,69785bf77f86,839680,22836,42,0.21646698742378048,0.17209413109756097,0.1784501238567073,0.5966501880299863,0.145515852163251,0.5016808287686555,0.32694494597437995,low_opacity,cpe:2.3:a:jqlang:jq:*:*:*:*:*:*:*:*,7,0.3065335435277632,6.585714285714286,6.5,8.1,3,0
libsodium,fd52fd61a25e,2129920,40563,312,0.13290264423076922,0.09957557091346154,0.10411611703725962,0.5595776659464682,0.06708083721618223,0.7054943416573325,0.30175811579376965,low_opacity,cpe:2.3:a:jedisct1:libsodium:*:*:*:*:*:*:*:*,0,0.0,,,,0,0
busybox,371fe9f71d44,9226240,218659,750,0.2533039461362375,0.18866840663152054,0.19270331142480576,0.5437845280189384,0.17445428726921827,0.8486913563362393,0.38090890142827416,low_opacity,cpe:2.3:a:busybox:busybox:*:*:*:*:*:*:*:*,42,0.19207990524058008,6.975,7.2,9.8,25,4
nginx,1709bffe6ebb,7208960,180684,396,0.1438142256303267,0.08949141068892046,0.08996041037819602,0.5269784775238948,0.15257576763852915,0.800864746090921,0.3277326453189458,mixed,cpe:2.3:a:f5:nginx:*:*:*:*:*:*:*:*,41,0.22691549888202608,7.128571428571429,7.5,9.8,15,2
git,2855562ca6a9,12851200,342206,825,0.23317301108067728,0.16851904880478089,0.17067946962151395,0.5366090605636022,0.15415568400320276,0.8967428920914695,0.3739792983979018,mixed,cpe:2.3:a:git-scm:git:*:*:*:*:*:*:*:*,41,0.11981087415182667,7.783783783783785,7.8,9.8,31,8
openssh,4168c905943f,5406720,136963,354,0.19996411872632575,0.14049923058712122,0.14475929953835226,0.5534073936154844,0.17316355512072604,0.7665141575561538,0.3532291698501856,mixed,cpe:2.3:a:openbsd:openssh:*:*:*:*:*:*:*:*,118,0.8615465490679965,6.797777777777777,6.8,9.8,21,5
