repo,commit,cve_ids,n_pairs,mean_delta_composite,median_delta_composite,positive_share
curl,bbb71507b7bab52002f9b1e0880bed6a32834511,CVE-2021-22897,2,0.039038533049319146,0.039038533049319146,0.5
curl,76f83f0db23846e254d940ec7,CVE-2025-0725,1,0.03879243700045032,0.03879243700045032,1.0
curl,39ce47f219b09c380b81f89fe54ac586c8db6bde,CVE-2021-22898,1,0.027927593494183722,0.027927593494183722,1.0
curl,7f4a9a9b2a49547eae24d2e19bc5c346e9026479,CVE-2021-22901,13,0.012949438398816682,0.019927944938221864,0.6153846153846154
curl,81d135d67155c5295b1033679c606165d4e28f3f,CVE-2018-16840,1,0.0048816197901792036,0.0048816197901792036,1.0
curl,1890d59905414ab84a35892b2e45833654aa5c13,CVE-2017-7407,1,-0.0013207890487249574,-0.0013207890487249574,0.0
curl,d530e92f59ae9bb2d47066c3c460b25d2ffeb211,CVE-2018-16842,1,-0.013824243724746443,-0.013824243724746443,0.0
curl,ba1dbd78e5f1ed67c1b8d37ac89d90e5e330b628,CVE-2018-0500,1,-0.02133516395165652,-0.02133516395165652,0.0
curl,f3a24d7916b9173c69a3e0ee790102993833d6c5,CVE-2018-16839,1,-0.06962302110637325,-0.06962302110637325,0.0
jq,de21386681c0df0104a99d9d09db23a9b2a78b1e,CVE-2024-23337,2,0.012833049820356435,0.012833049820356435,0.5
jq,c9a51565214eece8f1053089739aea73145bfd6b,CVE-2023-50268,1,0.001867100389627785,0.001867100389627785,1.0
jq,71c2ab509a8628dbbad4bc7b3f98a64aa90d3297,CVE-2023-50246,1,0.0018399606448092909,0.0018399606448092909,1.0
openssh,fcd135c9df440bcd2d5870405ad3311743d78d97,CVE-2016-6515,1,0.029216605805034435,0.029216605805034435,1.0
openssh,7ef3787c84b6b524501211b11a26c742f829af1a,CVE-2023-51385,1,0.023193886714714562,0.023193886714714562,1.0
openssh,881d9c6af9da4257c69c327c4e2f1508b2fa754b,CVE-2023-51384,1,0.01880129572775996,0.01880129572775996,1.0
openssh,aad87b88fc2536b1ea023213729aaf4eaabe1894,CVE-2020-12062,1,0.009506137990383579,0.009506137990383579,1.0
openssh,955854cafca88e0cdcd3d09ca1ad4ada465364a1,CVE-2020-12062,1,0.009401914449684246,0.009401914449684246,1.0
openssh,5e75f5198769056089fb06c4d738ab0e5abc66f7,CVE-2015-6564,1,0.003297480706677125,0.003297480706677125,1.0
openssh,d4697fe9a28dab7255c60433e4dd23cf7fce8a8b,CVE-2015-6563,2,0.0011992027201304378,0.0011992027201304378,0.5
openssh,6010c0303a422a9c5fa8860c061bf7105eb7f8b2,CVE-2018-20685,1,-0.003741914007087954,-0.003741914007087954,0.0
openssh,e04fd6dde16de1cdc5a4d9946397ff60d96568db,CVE-2021-28041,1,-0.006158233293266369,-0.006158233293266369,0.0
openssh,fc86875e6acb36401dfc1dfb6b628a9d1460f367,CVE-2025-32728,1,-0.006329631638453459,-0.006329631638453459,0.0
openssh,ec165c392ca54317dbe3064a8c200de6531e89ad,CVE-2016-8858,1,-0.016494991565665806,-0.016494991565665806,0.0
openssh,486c4dc3b83b4b67d663fb0fa62bc24138ec3946,CVE-2023-25136,1,-0.04934977626387105,-0.04934977626387105,0.0
redis,b351d5a3210e61cc3b22ba38a723d6da8f3c298a,CVE-2024-31227,1,0.03469218378841099,0.03469218378841099,1.0
redis,48e0d4788434833b47892fe9f3d91be7687f25c9,CVE-2023-28425,1,0.026264624643754453,0.026264624643754453,1.0
redis,5674b0057ff2903d43eaff802017eddf37c360f8,CVE-2021-32675,3,0.02199166634483163,0.011659450586207543,1.0
redis,1ec82e6e97e1db06a72ca505f9fbf6b981f31ef7,CVE-2022-35977,2,0.021770077859259135,0.021770077859259135,1.0
redis,643b5db235cb82508e72f11c7b4bbfc7dc39be56,CVE-2025-27151,1,0.019567320992417037,0.019567320992417037,1.0
redis,9e505e6cd842338424e05883521ca1fb7d0f47f6,CVE-2023-41053,1,0.01804549547428741,0.01804549547428741,1.0
redis,666ed7facf4524bf6d19b11b20faa2cf93fdf591,CVE-2021-32626,1,0.013845800067647296,0.013845800067647296,1.0
redis,6ac3c0b7abd35f37201ed2d6298ecef4ea1ae1dd,CVE-2021-32672,1,0.01364272422325824,0.01364272422325824,1.0
