n_pairs,n_commits,n_repos,mean_delta_composite,median_delta_composite,positive_share,mean_case_loc,mean_control_loc,median_loc_ratio,n_events,ground_truth_policy,label,description,sign_test_positive_count,sign_test_negative_count,sign_test_pvalue_greater,rank_biserial_effect,wilcoxon_statistic,wilcoxon_pvalue_greater,bootstrap_primary_cluster,bootstrap_repo_cluster,repo,category
21,15,1,0.016840391089474098,0.022859123809459925,0.7142857142857143,3793.714285714286,3847.4761904761904,0.9623980134799575,14,nvd_commit_refs,NVD commit-reference observations,Each locally accessible NVD-linked fixing commit is treated as one observation.,15,6,0.03917694091796875,0.42857142857142855,188.0,0.005062580108642578,"{'cluster_col': 'event_id', 'n_clusters': 14, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [0.0035958477493106622, 0.0292518988922691], 'median_delta_composite_ci': [-0.0032023819555632993, 0.03592954119672945], 'positive_share_ci': [0.5, 0.9090909090909091]}",{},sqlite,low_opacity
9,7,1,0.014695210078605156,0.020384117505908128,0.6666666666666666,898.5555555555555,841.2222222222222,1.0943049601959585,6,nvd_commit_refs,NVD commit-reference observations,Each locally accessible NVD-linked fixing commit is treated as one observation.,6,3,0.25390625,0.3333333333333333,32.0,0.150390625,"{'cluster_col': 'event_id', 'n_clusters': 6, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.018403075987083174, 0.03676908476381137], 'median_delta_composite_ci': [-0.04054500568024305, 0.05169754528239401], 'positive_share_ci': [0.33214285714285924, 0.9]}",{},zlib,low_opacity
22,9,1,0.009632645351662146,0.01067146038677333,0.5454545454545454,1349.409090909091,1399.6363636363637,0.9653565405623097,9,nvd_commit_refs,NVD commit-reference observations,Each locally accessible NVD-linked fixing commit is treated as one observation.,12,10,0.4159059524536133,0.09090909090909091,173.0,0.06874465942382812,"{'cluster_col': 'event_id', 'n_clusters': 9, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.01373550918855761, 0.020890817677964496], 'median_delta_composite_ci': [-0.013824243724746443, 0.027927593494183722], 'positive_share_ci': [0.2222222222222222, 0.6970454545454542]}",{},curl,low_opacity
27,11,1,0.003528455335653211,0.006107802992448175,0.5555555555555556,1097.7777777777778,1058.7777777777778,1.0167238421955402,10,nvd_commit_refs,NVD commit-reference observations,Each locally accessible NVD-linked fixing commit is treated as one observation.,15,12,0.3505540192127228,0.1111111111111111,217.0,0.2574257478117943,"{'cluster_col': 'event_id', 'n_clusters': 10, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.0036859961635029156, 0.011553071432324983], 'median_delta_composite_ci': [-0.009540975553668729, 0.02538471957579652], 'positive_share_ci': [0.375, 0.7142857142857143]}",{},git,mixed
4,3,1,0.0010523271283901653,0.003955616361445979,0.75,9586.0,9078.25,1.0777308366119618,3,nvd_commit_refs,NVD commit-reference observations,Each locally accessible NVD-linked fixing commit is treated as one observation.,3,1,0.3125,0.5,6.0,0.4375,"{'cluster_col': 'event_id', 'n_clusters': 3, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.01882250546346237, 0.009600185032907022], 'median_delta_composite_ci': [-0.01882250546346237, 0.009600185032907022], 'positive_share_ci': [0.0, 1.0]}",{},libxml2,high_opacity
13,12,1,0.0010570138512438572,0.003185476112476715,0.5384615384615384,1348.923076923077,1290.5384615384614,1.0319148936170213,11,nvd_commit_refs,NVD commit-reference observations,Each locally accessible NVD-linked fixing commit is treated as one observation.,7,6,0.5,0.07692307692307693,53.0,0.3177490234375,"{'cluster_col': 'event_id', 'n_clusters': 11, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.011086533250364822, 0.01105282218306167], 'median_delta_composite_ci': [-0.006329631638453459, 0.014153716859071769], 'positive_share_ci': [0.25, 0.8]}",{},openssh,mixed
4,3,1,0.007343290168787486,0.001853530517218538,0.75,1412.0,1484.75,0.951255107997665,3,nvd_commit_refs,NVD commit-reference observations,Each locally accessible NVD-linked fixing commit is treated as one observation.,3,1,0.3125,0.5,9.0,0.125,"{'cluster_col': 'event_id', 'n_clusters': 3, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [0.0018399606448092909, 0.012833049820356435], 'median_delta_composite_ci': [0.0018399606448092909, 0.012833049820356435], 'positive_share_ci': [0.5, 1.0]}",{},jq,low_opacity
65,61,1,0.006228984121980864,0.0017921392126066804,0.5230769230769231,1995.0615384615385,1745.6923076923076,1.0516698172652803,60,nvd_commit_refs,NVD commit-reference observations,Each locally accessible NVD-linked fixing commit is treated as one observation.,34,31,0.4021585000966992,0.046153846153846156,1242.0,0.13400182965486024,"{'cluster_col': 'event_id', 'n_clusters': 60, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.002028175143225774, 0.014905699234930205], 'median_delta_composite_ci': [-0.006377043101455426, 0.01824194444034527], 'positive_share_ci': [0.39128736413043486, 0.6515151515151515]}",{},php-src,high_opacity
127,78,1,0.006061761242295928,0.0005704422002849041,0.5118110236220472,1124.8503937007874,1105.291338582677,1.021186440677966,34,nvd_commit_refs,NVD commit-reference observations,Each locally accessible NVD-linked fixing commit is treated as one observation.,65,62,0.4296139078299847,0.023622047244094488,4561.0,0.11587060529431653,"{'cluster_col': 'event_id', 'n_clusters': 34, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.0024867521590424724, 0.01501402155683184], 'median_delta_composite_ci': [-0.005267576700964103, 0.0060805674784810415], 'positive_share_ci': [0.38361542730299675, 0.655413712893221]}",{},openssl,high_opacity
53,25,1,0.0002687662177520616,-0.0003610384856593818,0.49056603773584906,1764.622641509434,1600.5849056603774,1.0664882667764513,24,nvd_commit_refs,NVD commit-reference observations,Each locally accessible NVD-linked fixing commit is treated as one observation.,26,27,0.6080768488952506,-0.018867924528301886,711.0,0.5158886367641484,"{'cluster_col': 'event_id', 'n_clusters': 24, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.004540588102646741, 0.0073922211796367526], 'median_delta_composite_ci': [-0.01135594704025289, 0.011200323902179704], 'positive_share_ci': [0.3548285014291548, 0.6756955484896661]}",{},redis,low_opacity
