n_pairs,n_commits,n_repos,mean_delta_composite,median_delta_composite,positive_share,mean_case_loc,mean_control_loc,median_loc_ratio,n_events,ground_truth_policy,label,description,sign_test_positive_count,sign_test_negative_count,sign_test_pvalue_greater,rank_biserial_effect,wilcoxon_statistic,wilcoxon_pvalue_greater,bootstrap_primary_cluster,bootstrap_repo_cluster,repo,category
20,14,1,0.016594969969151697,0.023281646102792708,0.7,3899.05,3956.75,0.9622579822027424,14,balanced_explicit_id_event,Expanded explicit-ID observations,"The event-collapsed NVD set is augmented with locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",14,6,0.057659149169921875,0.4,169.0,0.007656097412109375,"{'cluster_col': 'event_id', 'n_clusters': 14, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [0.002971063768485018, 0.029660939590842244], 'median_delta_composite_ci': [-0.01158305845654195, 0.03592954119672945], 'positive_share_ci': [0.4799565217391305, 0.9047619047619048]}",{},sqlite,low_opacity
9,7,1,0.008687318455704522,0.013956437600050664,0.5555555555555556,801.1111111111111,711.7777777777778,1.2030651340996168,7,balanced_explicit_id_event,Expanded explicit-ID observations,"The event-collapsed NVD set is augmented with locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",5,4,0.5,0.1111111111111111,28.0,0.28515625,"{'cluster_col': 'event_id', 'n_clusters': 7, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.01713270069702248, 0.028553446445908657], 'median_delta_composite_ci': [-0.04054500568024305, 0.04113087994349307], 'positive_share_ci': [0.14285714285714285, 0.8571428571428571]}",{},zlib,low_opacity
203,132,1,0.012427940025026002,0.007202286620150433,0.5862068965517241,6510.256157635468,4766.290640394089,1.0308641975308641,142,balanced_explicit_id_event,Expanded explicit-ID observations,"The event-collapsed NVD set is augmented with locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",119,84,0.008401863120186485,0.1724137931034483,12976.0,0.0008740306658463052,"{'cluster_col': 'event_id', 'n_clusters': 142, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [0.002754062748853645, 0.021430972311733232], 'median_delta_composite_ci': [-0.0010417111419537828, 0.018309945971021452], 'positive_share_ci': [0.4944412878787879, 0.6695724984397753]}",{},php-src,high_opacity
55,28,1,0.006776956238336707,0.00692041591724829,0.5272727272727272,1129.6,1097.6181818181817,1.0286707211120765,30,balanced_explicit_id_event,Expanded explicit-ID observations,"The event-collapsed NVD set is augmented with locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",29,26,0.39385309483502157,0.05454545454545454,934.0,0.08470532064885666,"{'cluster_col': 'event_id', 'n_clusters': 30, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.0008646676003122942, 0.015196386993099444], 'median_delta_composite_ci': [-0.008538048576056223, 0.019016373140153253], 'positive_share_ci': [0.4, 0.6591029980657639]}",{},git,mixed
184,98,1,0.0029130284857648435,0.004083607821695118,0.5652173913043478,1572.5978260869565,1495.9347826086957,1.0,99,balanced_explicit_id_event,Expanded explicit-ID observations,"The event-collapsed NVD set is augmented with locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",104,80,0.04484587615143761,0.13043478260869565,9136.0,0.1934341544564595,"{'cluster_col': 'event_id', 'n_clusters': 99, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.0012564679710435208, 0.006780144118797523], 'median_delta_composite_ci': [0.00023155206767677683, 0.006564737591841896], 'positive_share_ci': [0.5030293957539467, 0.6306901737967915]}",{},curl,low_opacity
62,39,1,0.012906276079893518,0.003991872649399708,0.7741935483870968,7740.645161290323,8359.693548387097,1.0186169106712384,46,balanced_explicit_id_event,Expanded explicit-ID observations,"The event-collapsed NVD set is augmented with locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",48,14,8.714261300815998e-06,0.5483870967741935,1537.0,4.2492794239767297e-05,"{'cluster_col': 'event_id', 'n_clusters': 46, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [0.0066823192379316596, 0.019330772239262585], 'median_delta_composite_ci': [0.0030781071299612606, 0.01092185188624939], 'positive_share_ci': [0.6717447916666669, 0.8676539955604884]}",{},libxml2,high_opacity
403,186,1,0.008651197518523791,0.0035899967482394546,0.5359801488833746,1062.5210918114144,1039.426799007444,1.0151975683890577,197,balanced_explicit_id_event,Expanded explicit-ID observations,"The event-collapsed NVD set is augmented with locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",216,187,0.0815001335896131,0.07196029776674938,49291.0,0.0001210649420225511,"{'cluster_col': 'event_id', 'n_clusters': 197, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [0.004668548052200789, 0.013384276005732809], 'median_delta_composite_ci': [-0.0006380673170601203, 0.0077586186450983585], 'positive_share_ci': [0.4919535595105673, 0.5933534192931462]}",{},openssl,high_opacity
13,8,1,-0.003096869519714641,-0.0001766035716245784,0.46153846153846156,1396.3846153846155,1436.1538461538462,0.950379451255108,11,balanced_explicit_id_event,Expanded explicit-ID observations,"The event-collapsed NVD set is augmented with locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",6,7,0.70947265625,-0.07692307692307693,42.0,0.600830078125,"{'cluster_col': 'event_id', 'n_clusters': 11, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.011604625565114896, 0.004614364929158647], 'median_delta_composite_ci': [-0.010874162853305974, 0.001867100389627785], 'positive_share_ci': [0.21428571428571427, 0.75]}",{},jq,low_opacity
33,18,1,0.003523494049515808,-0.0007870706722158394,0.48484848484848486,1211.090909090909,1119.5151515151515,1.0319148936170213,20,balanced_explicit_id_event,Expanded explicit-ID observations,"The event-collapsed NVD set is augmented with locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",16,17,0.6358337595593184,-0.030303030303030304,286.0,0.4608546202295682,"{'cluster_col': 'event_id', 'n_clusters': 20, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.005292865294554407, 0.008320696170612778], 'median_delta_composite_ci': [-0.005405001555913613, 0.0038389452553119208], 'positive_share_ci': [0.2916666666666667, 0.6129652605459054]}",{},openssh,mixed
90,36,1,-0.0006583158308348818,-0.0040003817338274406,0.4222222222222222,1797.3333333333333,1590.6444444444444,1.0650912671461874,37,balanced_explicit_id_event,Expanded explicit-ID observations,"The event-collapsed NVD set is augmented with locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",38,52,0.9433278229782898,-0.15555555555555556,1943.0,0.6629329501268353,"{'cluster_col': 'event_id', 'n_clusters': 37, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.005393763768243835, 0.0068023629197668245], 'median_delta_composite_ci': [-0.007967893241762058, 0.006531893931729508], 'positive_share_ci': [0.31993269230769245, 0.580674486803519]}",{},redis,low_opacity
