repo,commit,cve_ids,n_pairs,event_id,ground_truth_policy,mean_delta_composite,median_delta_composite,positive_share
curl,192c4f788d48f82c03e9cef40013f34370e90737,CVE-2013-2174,1,CVE-2013-2174,expanded_advisory_event,0.0886279659558385,0.0886279659558385,1.0
curl,01cf1308ee2e792c77bb1d2c9218c56a30fd40ae,CVE-2016-7167,1,CVE-2016-7167,expanded_advisory_event,0.07880600513653607,0.07880600513653607,1.0
curl,06ae8ca5a6e452e5cb555c1a511a9df8dec6657c,CVE-2010-0734,1,CVE-2010-0734,expanded_advisory_event,0.058475507388950854,0.058475507388950854,1.0
curl,914aaab9153764ef8fa4178215b8ad89d3ac263a,CVE-2022-27780,1,CVE-2022-27780,expanded_advisory_event,0.05257540114487558,0.05257540114487558,1.0
curl,73b65e94f3531179de45c6f3c836a610e3d0a846,CVE-2023-46219,1,CVE-2023-46219,expanded_advisory_event,0.050994089215233684,0.050994089215233684,1.0
curl,c97ec984fb2bc919a3aa863e0476dffa377b184c,CVE-2022-35260,2,CVE-2022-35260,expanded_advisory_event,0.041313480043959266,0.041313480043959266,1.0
curl,c9332fa5e84f24da300b42b1a931ade929d3e27d,CVE-2017-1000099,1,CVE-2017-1000099,expanded_advisory_event,0.04116567320798553,0.04116567320798553,1.0
curl,f81b2277a8e7e9ce8809ccd30c25b8aa72101215,CVE-2016-9594,1,CVE-2016-9594,expanded_advisory_event,0.039726682949023706,0.039726682949023706,1.0
curl,bbb71507b7bab52002f9b1e0880bed6a32834511,CVE-2021-22897,2,CVE-2021-22897,expanded_advisory_event,0.039038533049319146,0.039038533049319146,0.5
curl,76f83f0db23846e254d940ec7,CVE-2025-0725,1,CVE-2025-0725,expanded_advisory_event,0.03879243700045032,0.03879243700045032,1.0
curl,11ec5ad4352bba384404c56e77c7fab9382fd22d,CVE-2016-5420,1,CVE-2016-5420,expanded_advisory_event,0.03630223697597895,0.03630223697597895,1.0
curl,686d54baf1df6e0775898f484d1670742898b3b2,CVE-2024-6874,1,CVE-2024-6874,expanded_advisory_event,0.03506433379672552,0.03506433379672552,1.0
curl,24a8359b256f8a3d7892f21f156a4bf0a42710d5,CVE-2015-3236,1,CVE-2015-3236,expanded_advisory_event,0.034725962991384196,0.034725962991384196,1.0
curl,3d0fd382a29b95561b90b7ea3e7eb04dfdd43538,CVE-2024-2466,1,CVE-2024-2466,expanded_advisory_event,0.0345274608277375,0.0345274608277375,1.0
curl,79b9d5f1a42578f807a6c94914bc65cbaa304b6d,CVE-2015-3148,1,CVE-2015-3148,expanded_advisory_event,0.03439894732005039,0.03439894732005039,1.0
curl,620ea21410030a9977396b4661806bc187231b79,CVE-2022-27774,1,CVE-2022-27774,expanded_advisory_event,0.03437687156848068,0.03437687156848068,1.0
curl,7214288898f5625a6cc196e22a74232eada7861c,CVE-2021-22876,1,CVE-2021-22876,expanded_advisory_event,0.03298540914257814,0.03298540914257814,1.0
curl,0354eed41085baa5ba8777019ebf5e9ef32c001d,CVE-2016-9952,2,CVE-2016-9952,expanded_advisory_event,0.0324388855191077,0.0324388855191077,1.0
curl,0354eed41085baa5ba8777019ebf5e9ef32c001d,CVE-2016-9953,2,CVE-2016-9953,expanded_advisory_event,0.0324388855191077,0.0324388855191077,1.0
curl,afc6e5004fabee590e41ffe750a237e1187fbbbd,CVE-2014-1263,1,CVE-2014-1263,expanded_advisory_event,0.031017855490641955,0.031017855490641955,1.0
curl,d9d01672785b8ac04aab1abb6de95fe3072ae199,CVE-2020-8286,1,CVE-2020-8286,expanded_advisory_event,0.030764569442069956,0.030764569442069956,1.0
