repo,commit,parent,event_id,ground_truth_source,ground_truth_policy,cve_ids,case_file,control_file,case_size_bytes,control_size_bytes,case_loc,control_loc,loc_ratio,case_composite,control_composite,delta_composite,case_ci_gzip,control_ci_gzip,delta_ci_gzip,case_entropy,control_entropy,delta_entropy,case_cc_density,control_cc_density,delta_cc_density,case_halstead,control_halstead,delta_halstead
openssl,98d132cf6a879faf0147aa83ea0c07ff326260ed,7ac5b84ea7920343f5c69247251bbc84ac259b2b,CVE-2002-1568,explicit_id,expanded_advisory_event,CVE-2002-1568,e_os.h,include/openssl/pkcs7.h,16451,16331,461,330,1.396969696969697,0.33983037063545135,0.271060296009262,0.06877007462618934,0.35116406297489516,0.23825852672830813,0.11290553624658703,0.7194696301686108,0.7159086459950532,0.0035609841735575465,0.15184381778741865,0.006060606060606061,0.14578321172681258,0.01344263202209266,0.06147098441152075,-0.04802835238942808
openssl,951dfbb13a79bff82cef8096d2c93bc2d65a7525,81780a3b6290836f3ef64eafe7143e892e7fa5cc,CVE-2006-2937,explicit_id,expanded_advisory_event,CVE-2006-2937,crypto/asn1/tasn_dec.c,engines/e_sureware.c,31214,31252,1144,938,1.2196162046908317,0.32215601257504034,0.3039617642419901,0.018194248333050222,0.2836547702953803,0.24795213106361194,0.035702639231768335,0.7124116118867634,0.722646043784714,-0.010234431897950591,0.18356643356643357,0.13219616204690832,0.05137027151952525,0.014974711950468133,0.041785251488589734,-0.0268105395381216
openssl,951dfbb13a79bff82cef8096d2c93bc2d65a7525,81780a3b6290836f3ef64eafe7143e892e7fa5cc,CVE-2006-2937,explicit_id,expanded_advisory_event,CVE-2006-2937,crypto/dh/dh.h,crypto/idea/idea_lcl.h,8246,8253,181,189,0.9576719576719577,0.3386398879597963,0.34539751643779,-0.00675762847799366,0.4004365753092408,0.3322428207924391,0.06819375451680171,0.7907438014491307,0.7080006639174833,0.08274313753164741,0.0055248618784530384,0.21693121693121692,-0.2114063550527639,0.0,0.0,0.0
openssl,951dfbb13a79bff82cef8096d2c93bc2d65a7525,81780a3b6290836f3ef64eafe7143e892e7fa5cc,CVE-2006-2937,explicit_id,expanded_advisory_event,CVE-2006-2937,crypto/dh/dh_err.c,crypto/dsa/dsa_sign.c,3958,3956,92,83,1.108433734939759,0.3560985335368204,0.38644105147823055,-0.03034251794141013,0.4269833249115715,0.4638523761375126,-0.03686905122594114,0.8026381601888338,0.8702691011257248,-0.06763094093689093,0.021739130434782608,0.024096385542168676,-0.002357255107386068,0.0,0.0,0.0
openssl,951dfbb13a79bff82cef8096d2c93bc2d65a7525,81780a3b6290836f3ef64eafe7143e892e7fa5cc,CVE-2006-2937,explicit_id,expanded_advisory_event,CVE-2006-2937,crypto/dh/dh_key.c,crypto/ocsp/ocsp_lib.c,7096,7092,224,205,1.0926829268292684,0.3682013234314484,0.3718905622883249,-0.0036892388568764978,0.3826099210822999,0.3935420191765369,-0.010932098094237008,0.8073660120379211,0.7784572917754686,0.028908720262452503,0.13392857142857142,0.16097560975609757,-0.02704703832752614,0.0,0.0,0.0
openssl,951dfbb13a79bff82cef8096d2c93bc2d65a7525,81780a3b6290836f3ef64eafe7143e892e7fa5cc,CVE-2006-2937,explicit_id,expanded_advisory_event,CVE-2006-2937,crypto/dsa/dsa.h,crypto/ecdsa/ecdsa.h,10311,10533,223,217,1.0276497695852536,0.3234564404431715,0.29814701921506875,0.025309421228102758,0.3760062069634371,0.28624323554542863,0.08976297141800849,0.7679112690146507,0.7923343501119366,-0.02442308109728597,0.004484304932735426,0.004608294930875576,-0.0001239899981401501,0.0,0.0,0.0
openssl,951dfbb13a79bff82cef8096d2c93bc2d65a7525,81780a3b6290836f3ef64eafe7143e892e7fa5cc,CVE-2006-2937,explicit_id,expanded_advisory_event,CVE-2006-2937,crypto/dsa/dsa_err.c,crypto/des/rpc_enc.c,4213,4216,98,87,1.1264367816091954,0.3496238609500925,0.3797324689316001,-0.030108607981507607,0.41348207927842395,0.4622865275142315,-0.04880444823580754,0.7963323948637292,0.8471905793404381,-0.05085818447670887,0.02040816326530612,0.022988505747126436,-0.0025803424818203156,0.0,0.0,0.0
openssl,951dfbb13a79bff82cef8096d2c93bc2d65a7525,81780a3b6290836f3ef64eafe7143e892e7fa5cc,CVE-2006-2937,explicit_id,expanded_advisory_event,CVE-2006-2937,crypto/dsa/dsa_ossl.c,crypto/pem/pem_all.c,10506,10504,315,259,1.2162162162162162,0.37080643035524036,0.312691060350561,0.05811537000467937,0.3651246906529602,0.29445925361766945,0.07066543703529077,0.7533616074905995,0.8075972086312508,-0.05423560114065129,0.2253968253968254,0.03861003861003861,0.18678678678678678,0.0,0.0,0.0
openssl,951dfbb13a79bff82cef8096d2c93bc2d65a7525,81780a3b6290836f3ef64eafe7143e892e7fa5cc,CVE-2006-2937,explicit_id,expanded_advisory_event,CVE-2006-2937,crypto/ec/ec.h,crypto/sha/sha_locl.h,21142,21206,416,528,0.7878787878787878,0.27938730218513713,0.24246473711543381,0.03692256506970332,0.2656323905023177,0.23823446194473263,0.02739792855758505,0.6929719679380252,0.5881746624249076,0.10479730551311761,0.009615384615384616,0.06818181818181818,-0.05856643356643356,0.08856963733393944,0.0,0.08856963733393944
openssl,951dfbb13a79bff82cef8096d2c93bc2d65a7525,81780a3b6290836f3ef64eafe7143e892e7fa5cc,CVE-2006-2937,explicit_id,expanded_advisory_event,CVE-2006-2937,crypto/ec/ec_asn1.c,apps/x509.c,33529,33276,1147,1172,0.9786689419795221,0.29553350669099254,0.3302740070885004,-0.03474050039750787,0.21703599868770318,0.27761750210361824,-0.06058150341591506,0.6885910891262667,0.6925214397433243,-0.003930350617057599,0.1900610287707062,0.2158703071672355,-0.0258092783965293,0.016992500144231214,0.06110247973073531,-0.04410997958650409
