n_pairs,n_commits,n_repos,mean_delta_composite,median_delta_composite,positive_share,mean_case_loc,mean_control_loc,median_loc_ratio,n_events,ground_truth_policy,label,description,sign_test_positive_count,sign_test_negative_count,sign_test_pvalue_greater,rank_biserial_effect,wilcoxon_statistic,wilcoxon_pvalue_greater,bootstrap_primary_cluster,bootstrap_repo_cluster,repo,category
19,8,1,0.03265528604982804,0.04113087994349307,0.7368421052631579,706.2105263157895,1055.3684210526317,1.151415404871626,8,expanded_advisory_event,Expanded advisory observations,"The event-collapsed NVD set is augmented with OSV-linked repository advisories and locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",14,5,0.0317840576171875,0.47368421052631576,157.0,0.005413055419921875,"{'cluster_col': 'event_id', 'n_clusters': 8, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.00974874270016161, 0.04831609958990855], 'median_delta_composite_ci': [-0.02141493086890031, 0.04378628821988351], 'positive_share_ci': [0.3, 0.8823529411764706]}",{},zlib,low_opacity
20,14,1,0.016594969969151697,0.023281646102792708,0.7,3899.05,3956.75,0.9622579822027424,14,expanded_advisory_event,Expanded advisory observations,"The event-collapsed NVD set is augmented with OSV-linked repository advisories and locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",14,6,0.057659149169921875,0.4,169.0,0.007656097412109375,"{'cluster_col': 'event_id', 'n_clusters': 14, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [0.002971063768485018, 0.029660939590842244], 'median_delta_composite_ci': [-0.01158305845654195, 0.03592954119672945], 'positive_share_ci': [0.4799565217391305, 0.9047619047619048]}",{},sqlite,low_opacity
213,140,1,0.01175181315622724,0.006204483969256103,0.568075117370892,6258.765258215963,4589.652582159624,1.0326581231914014,151,expanded_advisory_event,Expanded advisory observations,"The event-collapsed NVD set is augmented with OSV-linked repository advisories and locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",121,92,0.027394253744729473,0.13615023474178403,14067.0,0.0015058302169344727,"{'cluster_col': 'event_id', 'n_clusters': 151, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [0.0025139514388404158, 0.0209705857543462], 'median_delta_composite_ci': [-0.0016017720558495763, 0.01824194444034527], 'positive_share_ci': [0.47761194029850745, 0.6582774521123842]}",{},php-src,high_opacity
62,39,1,0.012906276079893518,0.003991872649399708,0.7741935483870968,7740.645161290323,8359.693548387097,1.0186169106712384,46,expanded_advisory_event,Expanded advisory observations,"The event-collapsed NVD set is augmented with OSV-linked repository advisories and locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",48,14,8.714261300815998e-06,0.5483870967741935,1537.0,4.2492794239767297e-05,"{'cluster_col': 'event_id', 'n_clusters': 46, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [0.0066823192379316596, 0.019330772239262585], 'median_delta_composite_ci': [0.0030781071299612606, 0.01092185188624939], 'positive_share_ci': [0.6717447916666669, 0.8676539955604884]}",{},libxml2,high_opacity
394,176,1,0.00819296710556652,0.0035439661666547273,0.5329949238578681,1040.517766497462,1018.748730964467,1.0226205719163466,204,expanded_advisory_event,Expanded advisory observations,"The event-collapsed NVD set is augmented with OSV-linked repository advisories and locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",210,184,0.10390010227879577,0.06598984771573604,46482.0,0.0004059432130343959,"{'cluster_col': 'event_id', 'n_clusters': 204, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [0.004119217504921339, 0.013167203946091211], 'median_delta_composite_ci': [-0.0007247910354830633, 0.00793983634632689], 'positive_share_ci': [0.48373554334134894, 0.5896023267725178]}",{},openssl,high_opacity
58,29,1,0.006351606086971543,0.002819941653459862,0.5172413793103449,1106.6896551724137,1071.8103448275863,1.0304643928141028,31,expanded_advisory_event,Expanded advisory observations,"The event-collapsed NVD set is augmented with OSV-linked repository advisories and locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",30,28,0.4478416069447953,0.034482758620689655,1022.0,0.09867898010740234,"{'cluster_col': 'event_id', 'n_clusters': 31, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.0007639295237225287, 0.01412645221386219], 'median_delta_composite_ci': [-0.008538048576056223, 0.01832447334440218], 'positive_share_ci': [0.3928396358543418, 0.6376874062968515]}",{},git,mixed
337,165,1,0.001725323014863051,0.0021191179298276075,0.5281899109792285,1524.952522255193,1462.192878338279,0.997829457364341,172,expanded_advisory_event,Expanded advisory observations,"The event-collapsed NVD set is augmented with OSV-linked repository advisories and locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",178,159,0.16341668114962904,0.05637982195845697,29498.0,0.28409648848342406,"{'cluster_col': 'event_id', 'n_clusters': 172, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.0010203385097558757, 0.004520663449801935], 'median_delta_composite_ci': [-0.002152118743678322, 0.004557857365269646], 'positive_share_ci': [0.4761860832894043, 0.5780870059958859]}",{},curl,low_opacity
15,10,1,-0.00044397417300708156,-0.0001766035716245784,0.4,1646.6666666666667,1682.4,0.950379451255108,11,expanded_advisory_event,Expanded advisory observations,"The event-collapsed NVD set is augmented with OSV-linked repository advisories and locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",6,9,0.84912109375,-0.2,56.0,0.5898777636208608,"{'cluster_col': 'event_id', 'n_clusters': 11, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.010810421713286366, 0.00783146564458498], 'median_delta_composite_ci': [-0.011528708884438077, 0.001867100389627785], 'positive_share_ci': [0.15384615384615385, 0.625]}",{},jq,low_opacity
34,19,1,0.00329090003251201,-0.0022644923396518968,0.47058823529411764,1244.6764705882354,1151.264705882353,1.0400385621443788,21,expanded_advisory_event,Expanded advisory observations,"The event-collapsed NVD set is augmented with OSV-linked repository advisories and locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",16,18,0.69620431936346,-0.058823529411764705,298.0,0.49658953095195607,"{'cluster_col': 'event_id', 'n_clusters': 21, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.004821766726102285, 0.008236343962223735], 'median_delta_composite_ci': [-0.005405001555913613, 0.0038389452553119208], 'positive_share_ci': [0.2857142857142857, 0.6]}",{},openssh,mixed
84,30,1,-0.0008640147283521857,-0.0040003817338274406,0.4166666666666667,1794.904761904762,1597.7738095238096,1.0458744472649852,34,expanded_advisory_event,Expanded advisory observations,"The event-collapsed NVD set is augmented with OSV-linked repository advisories and locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",35,49,0.9494318289305977,-0.16666666666666666,1661.0,0.7098802984381343,"{'cluster_col': 'event_id', 'n_clusters': 34, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.005406851885766753, 0.0063804882328094845], 'median_delta_composite_ci': [-0.007941775290817993, 0.006527944316853829], 'positive_share_ci': [0.3157894736842105, 0.5689655172413793]}",{},redis,low_opacity
