repo,commit,cve_ids,n_pairs,event_id,ground_truth_policy,mean_delta_composite,median_delta_composite,positive_share
curl,bbb71507b7bab52002f9b1e0880bed6a32834511,CVE-2021-22897,2,CVE-2021-22897,strict_nvd_event,0.039038533049319146,0.039038533049319146,0.5
curl,76f83f0db23846e254d940ec7,CVE-2025-0725,1,CVE-2025-0725,strict_nvd_event,0.03879243700045032,0.03879243700045032,1.0
curl,39ce47f219b09c380b81f89fe54ac586c8db6bde,CVE-2021-22898,1,CVE-2021-22898,strict_nvd_event,0.027927593494183722,0.027927593494183722,1.0
curl,7f4a9a9b2a49547eae24d2e19bc5c346e9026479,CVE-2021-22901,13,CVE-2021-22901,strict_nvd_event,0.012949438398816682,0.019927944938221864,0.6153846153846154
curl,81d135d67155c5295b1033679c606165d4e28f3f,CVE-2018-16840,1,CVE-2018-16840,strict_nvd_event,0.0048816197901792036,0.0048816197901792036,1.0
curl,1890d59905414ab84a35892b2e45833654aa5c13,CVE-2017-7407,1,CVE-2017-7407,strict_nvd_event,-0.0013207890487249574,-0.0013207890487249574,0.0
curl,d530e92f59ae9bb2d47066c3c460b25d2ffeb211,CVE-2018-16842,1,CVE-2018-16842,strict_nvd_event,-0.013824243724746443,-0.013824243724746443,0.0
curl,ba1dbd78e5f1ed67c1b8d37ac89d90e5e330b628,CVE-2018-0500,1,CVE-2018-0500,strict_nvd_event,-0.02133516395165652,-0.02133516395165652,0.0
curl,f3a24d7916b9173c69a3e0ee790102993833d6c5,CVE-2018-16839,1,CVE-2018-16839,strict_nvd_event,-0.06962302110637325,-0.06962302110637325,0.0
git,1204e1a824c34071019fe106348eaa6d88f9528d,CVE-2024-32020,1,CVE-2024-32020,strict_nvd_event,0.02604169342803775,0.02604169342803775,1.0
git,f4aa8c8bb11dae6e769cd930565173808cbb69c8,CVE-2024-32004,3,CVE-2024-32004,strict_nvd_event,0.015017174640689709,0.02538471957579652,0.6666666666666666
git,34fa79a6cde56d6d428ab0d3160cb094ebad3305,CVE-2016-2315,3,CVE-2016-2315,strict_nvd_event,0.013729378517618074,0.009937472378599377,0.6666666666666666
git,a124133e1e6ab5c7a9fef6d0e6bcb084e3455b46,CVE-2018-17456,1,CVE-2018-17456,strict_nvd_event,0.012749333741780444,0.012749333741780444,1.0
git,684dd4c2b414bcf648505e74498a608f28de4592,CVE-2021-21300,4,CVE-2021-21300,strict_nvd_event,0.012529393296279029,0.030136987512598024,0.75
git,a02ea577174ab8ed18f847cf1693f213e0b9c473,CVE-2021-40330,1,CVE-2021-40330,strict_nvd_event,-0.00012370736573902308,-0.00012370736573902308,0.0
git,7b70e9efb18c2cc3f219af399bd384c5801ba1d7,CVE-2024-32465,2,CVE-2024-32465,strict_nvd_event,-0.0007278794769980113,-0.0007278794769980113,0.5
git,de1e67d0703894cb6ea782e36abb63976ab07e60,CVE-2016-2324,8,CVE-2016-2324,strict_nvd_event,-0.0027644094169490055,-0.00029067227590140465,0.5
git,9a6bbee8006c24b46a85d29e7b38cfa79e9ab21b,CVE-2020-5260,1,CVE-2020-5260,strict_nvd_event,-0.01866221886035918,-0.01866221886035918,0.0
git,c44088ecc4b0722636e0a305f9608d3047197282,CVE-2020-11008,2,CVE-2020-11008,strict_nvd_event,-0.021815404121991427,-0.021815404121991427,0.0
jq,de21386681c0df0104a99d9d09db23a9b2a78b1e,CVE-2024-23337,2,CVE-2024-23337,strict_nvd_event,0.012833049820356435,0.012833049820356435,0.5
jq,c9a51565214eece8f1053089739aea73145bfd6b,CVE-2023-50268,1,CVE-2023-50268,strict_nvd_event,0.001867100389627785,0.001867100389627785,1.0
jq,71c2ab509a8628dbbad4bc7b3f98a64aa90d3297,CVE-2023-50246,1,CVE-2023-50246,strict_nvd_event,0.0018399606448092909,0.0018399606448092909,1.0
libxml2,e26630548e7d138d2c560844c43820b6767251e3,CVE-2017-16931,2,CVE-2017-16931,strict_nvd_event,0.009600185032907022,0.009600185032907022,1.0
libxml2,899a5d9f0ed13b8e32449a08a361e0de127dd961,CVE-2017-16932,1,CVE-2017-16932,strict_nvd_event,0.003831443911208987,0.003831443911208987,1.0
libxml2,652dd12a858989b14eed4e84e453059cd3ba340e,CVE-2022-23308,1,CVE-2022-23308,strict_nvd_event,-0.01882250546346237,-0.01882250546346237,0.0
nginx,c1be55f97211d38b69ac0c2027e6812ab8b1b94e,CVE-2019-20372,1,CVE-2019-20372,strict_nvd_event,-0.0027909185270952874,-0.0027909185270952874,0.0
nginx,0206ebe76f748bb39d9de4dd4b3fce777fdfdccf,CVE-2017-20005,1,CVE-2017-20005,strict_nvd_event,-0.013828761343963325,-0.013828761343963325,0.0
openssh,fcd135c9df440bcd2d5870405ad3311743d78d97,CVE-2016-6515,1,CVE-2016-6515,strict_nvd_event,0.029216605805034435,0.029216605805034435,1.0
openssh,7ef3787c84b6b524501211b11a26c742f829af1a,CVE-2023-51385,1,CVE-2023-51385,strict_nvd_event,0.023193886714714562,0.023193886714714562,1.0
openssh,881d9c6af9da4257c69c327c4e2f1508b2fa754b,CVE-2023-51384,1,CVE-2023-51384,strict_nvd_event,0.01880129572775996,0.01880129572775996,1.0
openssh,aad87b88fc2536b1ea023213729aaf4eaabe1894,CVE-2020-12062,1,CVE-2020-12062,strict_nvd_event,0.009506137990383579,0.009506137990383579,1.0
openssh,5e75f5198769056089fb06c4d738ab0e5abc66f7,CVE-2015-6564,1,CVE-2015-6564,strict_nvd_event,0.003297480706677125,0.003297480706677125,1.0
openssh,d4697fe9a28dab7255c60433e4dd23cf7fce8a8b,CVE-2015-6563,2,CVE-2015-6563,strict_nvd_event,0.0011992027201304378,0.0011992027201304378,0.5
