n_pairs,n_commits,n_repos,mean_delta_composite,median_delta_composite,positive_share,mean_case_loc,mean_control_loc,median_loc_ratio,n_events,ground_truth_policy,label,description,sign_test_positive_count,sign_test_negative_count,sign_test_pvalue_greater,rank_biserial_effect,wilcoxon_statistic,wilcoxon_pvalue_greater,bootstrap_primary_cluster,bootstrap_repo_cluster,repo,category
20,14,1,0.016594969969151697,0.023281646102792708,0.7,3899.05,3956.75,0.9622579822027424,14,strict_nvd_event,NVD event-collapsed observations,Each NVD-linked vulnerability is mapped to one primary single-parent source-touching fixing commit.,14,6,0.057659149169921875,0.4,169.0,0.007656097412109375,"{'cluster_col': 'event_id', 'n_clusters': 14, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [0.002971063768485018, 0.029660939590842244], 'median_delta_composite_ci': [-0.01158305845654195, 0.03592954119672945], 'positive_share_ci': [0.4799565217391305, 0.9047619047619048]}",{},sqlite,low_opacity
8,6,1,0.010058840269862285,0.017170277552979396,0.625,833.125,752.75,1.1486850471477876,6,strict_nvd_event,NVD event-collapsed observations,Each NVD-linked vulnerability is mapped to one primary single-parent source-touching fixing commit.,5,3,0.36328125,0.25,23.0,0.2734375,"{'cluster_col': 'event_id', 'n_clusters': 6, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.021860869726680665, 0.032408234258841935], 'median_delta_composite_ci': [-0.04054500568024305, 0.04641421261294354], 'positive_share_ci': [0.25, 0.875]}",{},zlib,low_opacity
22,9,1,0.009632645351662146,0.01067146038677333,0.5454545454545454,1349.409090909091,1399.6363636363637,0.9653565405623097,9,strict_nvd_event,NVD event-collapsed observations,Each NVD-linked vulnerability is mapped to one primary single-parent source-touching fixing commit.,12,10,0.4159059524536133,0.09090909090909091,173.0,0.06874465942382812,"{'cluster_col': 'event_id', 'n_clusters': 9, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.017671191240498926, 0.021174346699261368], 'median_delta_composite_ci': [-0.013824243724746443, 0.027927593494183722], 'positive_share_ci': [0.2222222222222222, 0.6666666666666666]}",{},curl,low_opacity
26,10,1,0.003429249656545713,0.004397254856854466,0.5384615384615384,1104.2692307692307,1059.8846153846155,1.025028587764437,10,strict_nvd_event,NVD event-collapsed observations,Each NVD-linked vulnerability is mapped to one primary single-parent source-touching fixing commit.,14,12,0.42250949144363403,0.07692307692307693,199.0,0.2825659513473511,"{'cluster_col': 'event_id', 'n_clusters': 10, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.004179908039904022, 0.011797292890641088], 'median_delta_composite_ci': [-0.010307345261043016, 0.02538471957579652], 'positive_share_ci': [0.36363636363636365, 0.6818181818181818]}",{},git,mixed
4,3,1,0.0010523271283901653,0.003955616361445979,0.75,9586.0,9078.25,1.0777308366119618,3,strict_nvd_event,NVD event-collapsed observations,Each NVD-linked vulnerability is mapped to one primary single-parent source-touching fixing commit.,3,1,0.3125,0.5,6.0,0.4375,"{'cluster_col': 'event_id', 'n_clusters': 3, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.01882250546346237, 0.009600185032907022], 'median_delta_composite_ci': [-0.01882250546346237, 0.009600185032907022], 'positive_share_ci': [0.0, 1.0]}",{},libxml2,high_opacity
65,34,1,0.0079010911171576,0.0027234312560733276,0.5538461538461539,1312.6923076923076,1275.8461538461538,1.031954887218045,35,strict_nvd_event,NVD event-collapsed observations,Each NVD-linked vulnerability is mapped to one primary single-parent source-touching fixing commit.,36,29,0.22851039270529488,0.1076923076923077,1281.0,0.08651297171774414,"{'cluster_col': 'event_id', 'n_clusters': 35, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.003777372385694749, 0.019139214303131025], 'median_delta_composite_ci': [-0.004145891381656441, 0.015414105581121884], 'positive_share_ci': [0.4242132867132868, 0.6889080459770114]}",{},openssl,high_opacity
4,3,1,0.007343290168787486,0.001853530517218538,0.75,1412.0,1484.75,0.951255107997665,3,strict_nvd_event,NVD event-collapsed observations,Each NVD-linked vulnerability is mapped to one primary single-parent source-touching fixing commit.,3,1,0.3125,0.5,9.0,0.125,"{'cluster_col': 'event_id', 'n_clusters': 3, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [0.0018399606448092909, 0.012833049820356435], 'median_delta_composite_ci': [0.0018399606448092909, 0.012833049820356435], 'positive_share_ci': [0.5, 1.0]}",{},jq,low_opacity
67,60,1,0.005756480463934605,0.0017921392126066804,0.5223880597014925,2012.55223880597,1788.597014925373,1.0488479262672812,63,strict_nvd_event,NVD event-collapsed observations,Each NVD-linked vulnerability is mapped to one primary single-parent source-touching fixing commit.,35,32,0.40359734568351235,0.04477611940298507,1301.0,0.15577762888396918,"{'cluster_col': 'event_id', 'n_clusters': 63, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.0025187222184508543, 0.014263020482256849], 'median_delta_composite_ci': [-0.007947464693227935, 0.014874565128322387], 'positive_share_ci': [0.3939393939393939, 0.6461538461538462]}",{},php-src,high_opacity
12,11,1,0.0003616054680404916,0.0011992027201304378,0.5,1334.0833333333333,1294.25,1.0192760308793072,11,strict_nvd_event,NVD event-collapsed observations,Each NVD-linked vulnerability is mapped to one primary single-parent source-touching fixing commit.,6,6,0.61279296875,0.0,42.0,0.425048828125,"{'cluster_col': 'event_id', 'n_clusters': 11, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.011360857761094172, 0.011023049949296421], 'median_delta_composite_ci': [-0.006329631638453459, 0.01880129572775996], 'positive_share_ci': [0.23076923076923078, 0.75]}",{},openssh,mixed
63,24,1,-0.0012558897874531435,-0.004172690637508802,0.4444444444444444,1657.3650793650793,1503.4126984126983,1.0611169652265542,25,strict_nvd_event,NVD event-collapsed observations,Each NVD-linked vulnerability is mapped to one primary single-parent source-touching fixing commit.,28,35,0.8432484733517736,-0.1111111111111111,911.0,0.7466847639604869,"{'cluster_col': 'event_id', 'n_clusters': 25, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.0052912420602227, 0.005851645621446445], 'median_delta_composite_ci': [-0.013485666932390561, 0.010741197218151866], 'positive_share_ci': [0.32851503759398504, 0.6326700680272108]}",{},redis,low_opacity
