repo,security_commit,security_event_id,security_ground_truth_policy,bugfix_commit,n_pairs,mean_delta_composite,median_delta_composite,positive_share
curl,76f83f0db23846e254d940ec7,CVE-2025-0725,strict_nvd_event,e7e37a246a2ebd55b8b507e5a3d27744feff6203,1,0.04006540067917891,0.04006540067917891,1.0
curl,81d135d67155c5295b1033679c606165d4e28f3f,CVE-2018-16840,strict_nvd_event,d00f2a8f2e8529024709f70c8ab4c4138dc651a0,1,0.00786780072685428,0.00786780072685428,1.0
curl,7f4a9a9b2a49547eae24d2e19bc5c346e9026479,CVE-2021-22901,strict_nvd_event,139a54ed0a172adaaf1a78d6f4fff50b2c3f9e08,13,0.007679858057900472,0.006110545176593818,0.7692307692307693
curl,bbb71507b7bab52002f9b1e0880bed6a32834511,CVE-2021-22897,strict_nvd_event,bcd1c7c2e92d41ab02163a36a1ab9d5a7afd83a9,2,-0.0003481231924901962,-0.0003481231924901962,0.5
curl,1890d59905414ab84a35892b2e45833654aa5c13,CVE-2017-7407,strict_nvd_event,b9fd757d03c990cbd859ec93bfd943ef3503176a,1,-0.001395009547692394,-0.001395009547692394,0.0
curl,d530e92f59ae9bb2d47066c3c460b25d2ffeb211,CVE-2018-16842,strict_nvd_event,4b43d18c4a733b1c47ccab481502a7d84fd07691,1,-0.008849328868078599,-0.008849328868078599,0.0
curl,ba1dbd78e5f1ed67c1b8d37ac89d90e5e330b628,CVE-2018-0500,strict_nvd_event,158d7016419429e7741ec35d0d6e256985762347,1,-0.018269092712401513,-0.018269092712401513,0.0
curl,39ce47f219b09c380b81f89fe54ac586c8db6bde,CVE-2021-22898,strict_nvd_event,d3408d05935e61a303b5761cc5aa029eb54408f8,1,-0.025241054257783946,-0.025241054257783946,0.0
curl,f3a24d7916b9173c69a3e0ee790102993833d6c5,CVE-2018-16839,strict_nvd_event,cb64c987a062a9c16ab997415a1440182edb069a,1,-0.030779429490988053,-0.030779429490988053,0.0
git,1204e1a824c34071019fe106348eaa6d88f9528d,CVE-2024-32020,strict_nvd_event,0b5e2ea7cf3b0fd0f4339b7c8b69cb8c5853c0cd,1,0.029248473949115616,0.029248473949115616,1.0
git,684dd4c2b414bcf648505e74498a608f28de4592,CVE-2021-21300,strict_nvd_event,74900a6b3513e0908b1d16df7855e9d478b20b91,4,0.017300631776840658,0.019766091797215057,0.75
git,34fa79a6cde56d6d428ab0d3160cb094ebad3305,CVE-2016-2315,strict_nvd_event,4d01a7fa65c50e817a935396432e199b7a565f53,3,0.010388498753488684,0.009675965321061186,1.0
git,7b70e9efb18c2cc3f219af399bd384c5801ba1d7,CVE-2024-32465,strict_nvd_event,f63b88867a8f87d7f8442b2dc2deb38c720449bc,2,0.0015221667709909292,0.0015221667709909292,0.5
git,a124133e1e6ab5c7a9fef6d0e6bcb084e3455b46,CVE-2018-17456,strict_nvd_event,47cc91310a81ca606e6bebcccf168bc1cb297d8e,1,0.0,0.0,0.0
git,de1e67d0703894cb6ea782e36abb63976ab07e60,CVE-2016-2324,strict_nvd_event,39ea59a2570547166834ceeff9ae0c0c05748f35,8,-0.001141231223064143,-0.007496219998520848,0.375
git,f4aa8c8bb11dae6e769cd930565173808cbb69c8,CVE-2024-32004,strict_nvd_event,6dfadc8981a3f2fd3fb552eb956fe12a542f8ee8,3,-0.007703077369373312,-0.007893068407207326,0.3333333333333333
git,a02ea577174ab8ed18f847cf1693f213e0b9c473,CVE-2021-40330,strict_nvd_event,b8db6ed8265fc44ebf7163a17600162f25df6de0,1,-0.008242575647163353,-0.008242575647163353,0.0
git,c44088ecc4b0722636e0a305f9608d3047197282,CVE-2020-11008,strict_nvd_event,791303284cb3ede61729e33112d6923df406161f,2,-0.025079007771812045,-0.025079007771812045,0.0
git,9a6bbee8006c24b46a85d29e7b38cfa79e9ab21b,CVE-2020-5260,strict_nvd_event,422a82f21370fe38b3e926a83b460bf2b1dd13ab,1,-0.03979091931387052,-0.03979091931387052,0.0
jq,c9a51565214eece8f1053089739aea73145bfd6b,CVE-2023-50268,strict_nvd_event,2e257563a61dd0da1e4d76e2b79a7c8c80e9f0c3,1,0.0038166740426988643,0.0038166740426988643,1.0
jq,de21386681c0df0104a99d9d09db23a9b2a78b1e,CVE-2024-23337,strict_nvd_event,aea8efaf0bc99ad5776038380f68939fef2fd0cb,2,0.002310719511750381,0.002310719511750381,0.5
jq,71c2ab509a8628dbbad4bc7b3f98a64aa90d3297,CVE-2023-50246,strict_nvd_event,860af44fee7dcea8797daeb836a9b7c971c67e65,1,-0.000338241202265277,-0.000338241202265277,0.0
libxml2,899a5d9f0ed13b8e32449a08a361e0de127dd961,CVE-2017-16932,strict_nvd_event,f8852184a111f6c4abb38ea3d2b2b91f45347a7a,1,0.0007603774788058071,0.0007603774788058071,1.0
libxml2,652dd12a858989b14eed4e84e453059cd3ba340e,CVE-2022-23308,strict_nvd_event,b7e8e4c7f7ddb6a962e5fa406e774301bc713be7,1,0.00014617570417319037,0.00014617570417319037,1.0
libxml2,e26630548e7d138d2c560844c43820b6767251e3,CVE-2017-16931,strict_nvd_event,c2545cbb6d9a87e3e0bce167eabcb8f3c9153edc,2,5.867328513792236e-06,5.867328513792236e-06,1.0
nginx,0206ebe76f748bb39d9de4dd4b3fce777fdfdccf,CVE-2017-20005,strict_nvd_event,53bea399a006054350e9068b3a23f3dea89b1c0e,1,3.0164225148510138e-05,3.0164225148510138e-05,1.0
nginx,c1be55f97211d38b69ac0c2027e6812ab8b1b94e,CVE-2019-20372,strict_nvd_event,53554ae54d4f32ba4e05d815692e0a8b8c202d9e,1,-0.010725501974767349,-0.010725501974767349,0.0
openssh,881d9c6af9da4257c69c327c4e2f1508b2fa754b,CVE-2023-51384,strict_nvd_event,ea9af2921cb6af8e65341531db3a7351917f0a92,1,0.033863805970428984,0.033863805970428984,1.0
