roc_auc,average_precision,brier_score,log_loss,pairwise_accuracy,model,held_out_repo,n_files,n_pairs
0.39256198347107435,0.4367840776581474,0.25388766188591916,0.7009219789022642,0.3181818181818182,baseline_size,curl,44,22
0.390495867768595,0.42327981224370315,0.25527686304907066,0.7037150845244019,0.3181818181818182,baseline_plus_composite,curl,44,22
0.26033057851239666,0.4201858383574241,0.28285314197878253,0.7598641847773565,0.2727272727272727,baseline_plus_components,curl,44,22
0.6264792899408284,0.5991498218746066,0.24884826824490613,0.6908001958877678,0.5961538461538461,baseline_size,git,52,26
0.58801775147929,0.5841503535406194,0.24803679636648202,0.6891639336441744,0.5576923076923077,baseline_plus_composite,git,52,26
0.5658284023668639,0.6114458741291711,0.2500232834352394,0.6931485739633038,0.5192307692307693,baseline_plus_components,git,52,26
0.9375,0.95,0.23909816798816663,0.671303312618128,1.0,baseline_size,jq,8,4
0.9375,0.95,0.2407005432150962,0.6744866565684429,1.0,baseline_plus_composite,jq,8,4
0.9375,0.95,0.2412239833920709,0.6755045921153326,1.0,baseline_plus_components,jq,8,4
0.5,0.5666666666666667,0.25417566205467046,0.7015715732215259,0.5,baseline_size,libxml2,8,4
0.5,0.5428571428571428,0.2549762184112749,0.7032348530004,0.5,baseline_plus_composite,libxml2,8,4
0.5,0.65,0.25456994266655275,0.7023864960323983,0.5,baseline_plus_components,libxml2,8,4
0.75,0.8333333333333333,0.2494547950881473,0.6920562726793846,1.0,baseline_size,nginx,4,2
0.75,0.8333333333333333,0.24831456957866793,0.6897496139188687,1.0,baseline_plus_composite,nginx,4,2
0.75,0.8333333333333333,0.24266249777885426,0.6784617398773616,1.0,baseline_plus_components,nginx,4,2
0.6805555555555556,0.7300528175528176,0.2438387764253954,0.680699015550465,0.75,baseline_size,openssh,24,12
0.7291666666666666,0.7801769788182832,0.24077069170953255,0.6745900743984233,0.6666666666666666,baseline_plus_composite,openssh,24,12
0.7083333333333334,0.7221398770311814,0.2422271611042536,0.6774430172658029,0.6666666666666666,baseline_plus_components,openssh,24,12
0.5820118343195266,0.6265770808495477,0.24571133562230088,0.6845050552845184,0.6923076923076923,baseline_size,openssl,130,65
0.5822485207100592,0.6266077100512057,0.24568342297044005,0.6844480744371668,0.6923076923076923,baseline_plus_composite,openssl,130,65
0.37869822485207105,0.4480999138686365,0.2659274101450156,0.7255906041184887,0.35384615384615387,baseline_plus_components,openssl,130,65
0.6714190242815772,0.6849471959451341,0.24375287269326668,0.6805975972782671,0.6567164179104478,baseline_size,php-src,134,67
0.5718422811316551,0.5907070535750139,0.24684069365238404,0.6866441464102698,0.5522388059701493,baseline_plus_composite,php-src,134,67
0.5382044998886165,0.5404653487211675,0.2524586723849735,0.6983031189682297,0.582089552238806,baseline_plus_components,php-src,134,67
0.6766187956664148,0.6835658790348986,0.24657904379013884,0.6861343299660642,0.6746031746031746,baseline_size,redis,126,63
0.673469387755102,0.6567104243075959,0.24698155248424378,0.6868836571091003,0.6031746031746031,baseline_plus_composite,redis,126,63
0.5946082136558327,0.599847530588443,0.2501477250437617,0.6935532861815243,0.6031746031746031,baseline_plus_components,redis,126,63
0.1975,0.37037718067390957,0.25923503432883527,0.7116530230012278,0.05,baseline_size,sqlite,40,20
0.265,0.4138269848457963,0.2617086379044442,0.7166170610667547,0.2,baseline_plus_composite,sqlite,40,20
0.2875,0.3952021466677292,0.2698386747525411,0.7337543862990993,0.35,baseline_plus_components,sqlite,40,20
0.5625,0.615304834054834,0.2504151451166996,0.6939049828593831,0.75,baseline_size,zlib,16,8
0.546875,0.6138625263625264,0.24884110518532926,0.6907032737647449,0.5,baseline_plus_composite,zlib,16,8
0.515625,0.5909188034188033,0.25124797982092706,0.6955739786821447,0.5,baseline_plus_components,zlib,16,8
