repo,bugfix_commit,bugfix_parent,bugfix_subject,bugfix_file,bugfix_suffix,bugfix_size_bytes,bugfix_epoch
curl,2c26cea5ecb168c1e3c980725071828c9b0482b8,fb6925c2434ac527883f9b14ce946ed0e386914f,socks: add assertion for hostname length in SOCKS5 connect,lib/socks.c,.c,42664,1774880004
curl,9820e5dface5739accda14e656d89a7f84642c61,e8c64a06c5031bd59fdf914e8ac6c8524c0e4375,tool_operate: fix memory-leak on failed uploads,src/tool_operate.c,.c,70799,1774220282
curl,454db7aeee4114583a26b2c14ebc594028fe6342,a3699e8b9eeb3f58949d8c5f5394b215f32092e4,badwords: prefer 'null-terminated',lib/curlx/base64.c,.c,7814,1773830413
curl,454db7aeee4114583a26b2c14ebc594028fe6342,a3699e8b9eeb3f58949d8c5f5394b215f32092e4,badwords: prefer 'null-terminated',lib/http.c,.c,155790,1773830413
curl,454db7aeee4114583a26b2c14ebc594028fe6342,a3699e8b9eeb3f58949d8c5f5394b215f32092e4,badwords: prefer 'null-terminated',lib/transfer.c,.c,29684,1773830413
curl,454db7aeee4114583a26b2c14ebc594028fe6342,a3699e8b9eeb3f58949d8c5f5394b215f32092e4,badwords: prefer 'null-terminated',lib/vtls/mbedtls.c,.c,51056,1773830413
curl,32531f20f9f8f76e351ae317ad47b97bef82acc0,f50446f6da461d5404eed556d62b48ed151568fe,doh: fix memory-leak when doing a second DoH resolve,lib/doh.c,.c,39812,1773616818
curl,cbb5544c451f0b104a7753d90c51f1237f6a4037,4a15bc13f4b3d4dac8510dc58b093536ac87962b,digest: fix memory leak in auth_create_digest_http_message(),lib/vauth/digest.c,.c,32641,1773044641
curl,da6fbb12a6598a7c9e9e54d66e1454973ffc888e,7fe5b933d862af72d4e7e5a95933c8c707b53dc9,http1: fix potential NULL dereference in `Curl_h1_req_parse_read()`,lib/http1.c,.c,9716,1772455514
curl,05d991a8c5c9f2944e5e4559616b437a1b7d5c3f,e86642909f00d79f30b5ca2aebf557d52819c023,rtsp: fix assertion failure on zero-length RTP payload,lib/rtsp.c,.c,33786,1772127310
curl,ba685ad5e5712fed4c3772df0372569b4e5ff428,7981594df590030e6fe01b8f44704f0cf02cf9c1,openssl: fix potential NULL dereference when loading certs (Windows),lib/vtls/openssl.c,.c,169469,1771932859
curl,ffdbc04c7b039f5306454d207c2909ffaaff1794,a84b041281463315d3f8723febc97be1147964f4,hostip.c: fix leak of addrinfo,lib/asyn-ares.c,.c,30423,1770071385
curl,ffdbc04c7b039f5306454d207c2909ffaaff1794,a84b041281463315d3f8723febc97be1147964f4,hostip.c: fix leak of addrinfo,lib/asyn-thrdd.c,.c,21008,1770071385
curl,ffdbc04c7b039f5306454d207c2909ffaaff1794,a84b041281463315d3f8723febc97be1147964f4,hostip.c: fix leak of addrinfo,lib/doh.c,.c,39827,1770071385
curl,ffdbc04c7b039f5306454d207c2909ffaaff1794,a84b041281463315d3f8723febc97be1147964f4,hostip.c: fix leak of addrinfo,lib/hostip.c,.c,48104,1770071385
curl,ffdbc04c7b039f5306454d207c2909ffaaff1794,a84b041281463315d3f8723febc97be1147964f4,hostip.c: fix leak of addrinfo,lib/hostip.h,.h,7240,1770071385
curl,3652127e81f0527f604338f4b950bf7a8bd4fe73,13f0ede7308821151ab42cd0c8341c4b4a2b6196,tool_cb_hdr: suppress header output when --out-null,src/tool_cb_hdr.c,.c,14022,1768250204
curl,6842d4ec4d1be8d54447c4b096dc402d42dd0287,0e054134b7e8a562126cd9f4b28cb51143eca2a9,"curl_quiche: refuse headers with CR, LF or null bytes",lib/vquic/curl_quiche.c,.c,50452,1766849231
curl,be76b32aed8ba5ee96bbd924a3e3fdbe959b321b,32454b954a2a8ab40f563d271e9e756e157dc67b,idn: clarify null-termination on Windows,lib/idn.c,.c,10659,1765899043
curl,cc5c1553fbdb8c1391d0cf81134583ee32da64d4,a3f4fd25d3991fe955afa2f5e3994c04339cc842,wolfssl: fix possible assert with `!HAVE_NO_EX` wolfSSL builds,lib/vtls/wolfssl.c,.c,72340,1765123305
curl,cc5c1553fbdb8c1391d0cf81134583ee32da64d4,a3f4fd25d3991fe955afa2f5e3994c04339cc842,wolfssl: fix possible assert with `!HAVE_NO_EX` wolfSSL builds,lib/vtls/wolfssl.h,.h,3801,1765123305
curl,1c0822e8cb4ba96e4bf555d4c46bcae1d85ca343,891566c72da47250c13047f7df0d8aa94a6ff842,formdata: validate callback is non-NULL before use,lib/formdata.c,.c,26863,1765061270
curl,ca1919caee6a82e400acdc491179b748f38c5ede,c421c3e3251b33e78b1c98030d92e6ad23a82d03,idn: fix memory leak in `win32_ascii_to_idn()`,lib/idn.c,.c,10387,1764603547
curl,012fa2b91b6c1129695600bfdafc5f01f7fce76f,4aed2dcc897b383b8bb9ae3bf2d7a2246ebccfcd,auth: always treat Curl_auth_ntlm_get() returning NULL as OOM,lib/curl_sasl.c,.c,30202,1764589643
curl,012fa2b91b6c1129695600bfdafc5f01f7fce76f,4aed2dcc897b383b8bb9ae3bf2d7a2246ebccfcd,auth: always treat Curl_auth_ntlm_get() returning NULL as OOM,lib/http_ntlm.c,.c,7846,1764589643
curl,db32c0721f9cfbefe6a42b828ef7bfc4b40f71ac,545f2f387d41b4a356705a08c1154c807f4dbb7d,rustls: verify that verifier_builder is not NULL,lib/vtls/rustls.c,.c,44239,1764452767
curl,bfc3d131b6b5be7b7219dc016ff600f58e279c6c,48939a4575d5db6e875add0ccae93242f56fe581,http: add asserts for null terminator for input strings,lib/http.c,.c,155834,1764320769
curl,bfc3d131b6b5be7b7219dc016ff600f58e279c6c,48939a4575d5db6e875add0ccae93242f56fe581,http: add asserts for null terminator for input strings,lib/transfer.c,.c,29402,1764320769
curl,9bb5c0578b39e5b086b6a9db5c6eb299a0fe1c5c,c273de193e6072c4123c4aa95cae316cd728a69f,ngtcp2+openssl: fix leak of session,lib/vquic/curl_ngtcp2.c,.c,92579,1764243339
curl,29b3b1ae6d7ce561700cfe81aaba3b3ebc8a7a6a,74f7505974836f633c955dbce7514f12f78ddc5b,"wolfssl: fix cipher list, skip 5.8.4 regression",lib/vtls/wolfssl.c,.c,72292,1763917542
curl,821cba8facfea8394b4e9f9401700758cd0a63e3,11c0aaa339fb1c52e3952264b7bad776fe43441f,digest_sspi: fix a memory leak on error path,lib/vauth/digest_sspi.c,.c,21002,1763387190
curl,11c0aaa339fb1c52e3952264b7bad776fe43441f,22b8a6430dca99b4db7170fd02b2041f538fd1bd,openssl: fix a potential memory leak of bio_out,lib/vtls/openssl.c,.c,167936,1763387074
curl,22b8a6430dca99b4db7170fd02b2041f538fd1bd,a6c940a7523a05822e40a164e949341009a3ff44,openssl: fix a potential memory leak of params.cert,lib/vtls/openssl.c,.c,167906,1763387014
