n_pairs,n_security_commits,n_bugfix_commits,n_repos,n_security_events,mean_delta_composite,median_delta_composite,positive_share,mean_security_loc,mean_bugfix_loc,median_loc_ratio,security_ground_truth_policy,sign_test_positive_count,sign_test_negative_count,sign_test_pvalue_greater,rank_biserial_effect,wilcoxon_statistic,wilcoxon_pvalue_greater,bootstrap_primary_cluster,bootstrap_repo_cluster,repo
213,140,185,1,151,0.00517778483973018,0.005449876383956442,0.5492957746478874,6258.765258215963,1728.0516431924882,1.092,expanded_advisory_event,117,96,0.08521139196460466,0.09859154929577464,13038.0,0.03408380227792119,"{'cluster_col': 'security_event_id', 'n_clusters': 151, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.0024255220833077785, 0.013200609880874833], 'median_delta_composite_ci': [-0.0022601578265527, 0.01547664938966356], 'positive_share_ci': [0.45538974588270364, 0.6421810080909687]}",{},php-src
394,176,309,1,204,0.004561532510963274,0.00501503630587824,0.5786802030456852,1040.517766497462,943.4365482233502,1.0576697892271663,expanded_advisory_event,228,166,0.0010396291060463193,0.15736040609137056,45383.0,0.0020994350952226576,"{'cluster_col': 'security_event_id', 'n_clusters': 204, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [0.001044478632774958, 0.008073453376995608], 'median_delta_composite_ci': [0.0017523464928024812, 0.007941631036192276], 'positive_share_ci': [0.5364801278612303, 0.6277810077519379]}",{},openssl
2,1,2,1,2,0.003205712218043541,0.003205712218043541,1.0,2628.0,2572.0,1.0221289362577273,expanded_advisory_event,2,0,0.25,1.0,,,"{'cluster_col': 'security_event_id', 'n_clusters': 2, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [0.0018631635587295081, 0.004548260877357574], 'median_delta_composite_ci': [0.0018631635587295081, 0.004548260877357574], 'positive_share_ci': [1.0, 1.0]}",{},libsodium
15,10,14,1,11,0.006597910504904266,0.0008681685773926362,0.6666666666666666,1646.6666666666667,1588.0666666666666,1.0046875,expanded_advisory_event,10,5,0.15087890624999997,0.3333333333333333,97.0,0.017669677734375,"{'cluster_col': 'security_event_id', 'n_clusters': 11, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [0.0011650882394832242, 0.013098701785521348], 'median_delta_composite_ci': [-0.00018136494881276777, 0.004479671141559338], 'positive_share_ci': [0.42857142857142855, 0.9166666666666666]}",{},jq
337,165,301,1,172,0.002066105330858095,2.9453398194712044e-05,0.5133531157270029,1524.952522255193,1503.127596439169,1.00236355822948,expanded_advisory_event,173,164,0.33152720041747397,0.026706231454005934,30081.0,0.18500949642886694,"{'cluster_col': 'security_event_id', 'n_clusters': 172, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.0007654163135776745, 0.004825472584709273], 'median_delta_composite_ci': [-0.0003943990075276904, 0.0007586095412444871], 'positive_share_ci': [0.4550510127390929, 0.5705362591431556]}",{},curl
19,8,17,1,8,0.006061258751347311,5.8477053628269715e-06,0.5263157894736842,706.2105263157895,702.421052631579,1.0,expanded_advisory_event,10,8,0.40726470947265625,0.1111111111111111,106.0,0.18598688598233426,"{'cluster_col': 'security_event_id', 'n_clusters': 8, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.01299628847799104, 0.01276756760711625], 'median_delta_composite_ci': [-4.138778039564084e-05, 0.0001196301052733828], 'positive_share_ci': [0.39285714285714285, 0.875]}",{},zlib
62,39,59,1,46,0.0010801862636352078,2.027102882107279e-06,0.5161290322580645,7740.645161290323,7711.048387096775,1.0000714132685853,expanded_advisory_event,32,30,0.44953815682642945,0.03225806451612903,1148.0,0.11460376606747247,"{'cluster_col': 'security_event_id', 'n_clusters': 46, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.0007126018623110813, 0.0028384388426060288], 'median_delta_composite_ci': [-2.1337321663483788e-05, 9.908034987707315e-05], 'positive_share_ci': [0.38333333333333336, 0.6461764705882352]}",{},libxml2
34,19,33,1,21,-0.00023512028386065437,-7.716717871142365e-06,0.47058823529411764,1244.6764705882354,1204.0588235294117,1.0091998376701539,expanded_advisory_event,16,18,0.69620431936346,-0.058823529411764705,304.0,0.45968078036094084,"{'cluster_col': 'security_event_id', 'n_clusters': 21, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.011006616511098397, 0.008329449200586153], 'median_delta_composite_ci': [-0.004399993234059929, 0.002686702281349762], 'positive_share_ci': [0.3076086956521741, 0.6216216216216216]}",{},openssh
58,29,56,1,31,0.0015247703784412438,-1.207300820363355e-05,0.4827586206896552,1106.6896551724137,1078.396551724138,1.0118554734811043,expanded_advisory_event,28,29,0.6043167861104097,-0.017543859649122806,842.0,0.4509938719556756,"{'cluster_col': 'security_event_id', 'n_clusters': 31, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.004438620128825897, 0.0076593208725770755], 'median_delta_composite_ci': [-0.007893068407207326, 0.0038042055218878434], 'positive_share_ci': [0.344788986103963, 0.6316058002148226]}",{},git
84,30,79,1,34,0.0017971843014498927,-1.4740594196954726e-05,0.44047619047619047,1794.904761904762,1781.3214285714287,1.000196463654224,expanded_advisory_event,37,45,0.8398533181809928,-0.0975609756097561,1689.0,0.5230407229814876,"{'cluster_col': 'security_event_id', 'n_clusters': 34, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.0017075946236208128, 0.005177366786714852], 'median_delta_composite_ci': [-9.878275162407543e-05, 1.6890232247296355e-05], 'positive_share_ci': [0.36486486486486486, 0.5333333333333333]}",{},redis
20,14,20,1,14,0.005198276790126299,-0.0011164160717680727,0.45,3899.05,4196.8,0.9266415547629661,expanded_advisory_event,9,11,0.7482776641845703,-0.1,116.0,0.35059070587158203,"{'cluster_col': 'security_event_id', 'n_clusters': 14, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.007152032064235342, 0.016256150860196095], 'median_delta_composite_ci': [-0.004193788614950511, 0.013998903633740511], 'positive_share_ci': [0.25, 0.6429621848739491]}",{},sqlite
10,5,10,1,5,-0.0034156048931718087,-0.0026237380767943075,0.4,1036.7,1010.0,1.0003026634382568,expanded_advisory_event,4,6,0.828125,-0.2,20.0,0.7841796875,"{'cluster_col': 'security_event_id', 'n_clusters': 5, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.009583122822723444, -0.00016336525793821574], 'median_delta_composite_ci': [-0.010725501974767349, 3.0164225148510138e-05], 'positive_share_ci': [0.16666666666666666, 0.626041666666661]}",{},nginx
