repo,security_commit,security_parent,security_event_id,security_ids,security_ground_truth_policy,security_ground_truth_source,security_epoch,security_file,security_suffix,security_size_bytes,security_loc,security_composite,security_ci_gzip,security_entropy,security_cc_density,security_halstead,bugfix_commit,bugfix_parent,bugfix_subject,bugfix_epoch,bugfix_file,bugfix_suffix,bugfix_size_bytes,bugfix_loc,bugfix_composite,bugfix_ci_gzip,bugfix_entropy,bugfix_cc_density,bugfix_halstead,loc_ratio,delta_composite,delta_ci_gzip,delta_entropy,delta_cc_density,delta_halstead
curl,61c434273654048462873c031eda027dd4acd549,216b1984948d4ad4c7743440e0cadc12bc385618,CVE-2018-1000120,CVE-2018-1000120,expanded_advisory_event,explicit_id+osv_range,967636497,include/curl/curl.h,.h,18672.0,449.0,0.30879323465372926,0.3569515852613539,0.7240965500077555,0.011135857461024499,0.023840473932507857,52cd332b954eda192815bb950d3937aa3f10050f,3709ffc700060e9cfee6968ea6a60cce92977d89,fix compiler warning,1268333622,ares/ares.h,.h,17728,395,0.2893839528689339,0.24402075812274368,0.748224516743329,0.05822784810126582,0.031288295528435484,1.1367088607594937,0.01940928178479534,0.11293082713861022,-0.02412796673557349,-0.04709199064024132,-0.007447821595927627
curl,61c434273654048462873c031eda027dd4acd549,216b1984948d4ad4c7743440e0cadc12bc385618,CVE-2018-1000121,CVE-2018-1000121,expanded_advisory_event,explicit_id+osv_range,967636497,include/curl/curl.h,.h,18672.0,449.0,0.30879323465372926,0.3569515852613539,0.7240965500077555,0.011135857461024499,0.023840473932507857,01a49a7626ee4a226cd0b50d70591ab147d60ee0,9b6d3a662ea81ec3bbb12002ca79fd27d750671e,resolve: add support for IPv6 DNS64/NAT64 Networks on OS X + iOS,1465324745,lib/curl_setup.h,.h,19688,554,0.3293536162576255,0.3123730190979277,0.6927212134450966,0.18592057761732853,0.020945336562894924,0.8104693140794224,-0.020560381603896227,0.0445785661634262,0.031375336562658895,-0.17478472015630403,0.002895137369612933
curl,61c434273654048462873c031eda027dd4acd549,216b1984948d4ad4c7743440e0cadc12bc385618,CVE-2018-1000122,CVE-2018-1000122,expanded_advisory_event,explicit_id+osv_range,967636497,include/curl/curl.h,.h,18672.0,449.0,0.30879323465372926,0.3569515852613539,0.7240965500077555,0.011135857461024499,0.023840473932507857,57d3477e77629430889a4159d2bf803892caf7c7,7865d09e4cddeb8faebadcbd24fb8f26cc9f81ec,build: assume assert.h is always available,1670441432,lib/config-win32.h,.h,20432,361,0.2861511080196776,0.22283672670321064,0.5756811527515129,0.2659279778393352,0.0,1.2437673130193905,0.022642126634051685,0.13411485855814326,0.14841539725624264,-0.25479212037831067,0.023840473932507857
curl,61c434273654048462873c031eda027dd4acd549,216b1984948d4ad4c7743440e0cadc12bc385618,CVE-2018-1000301,CVE-2018-1000301,expanded_advisory_event,explicit_id+osv_range,967636497,include/curl/curl.h,.h,18672.0,449.0,0.30879323465372926,0.3569515852613539,0.7240965500077555,0.011135857461024499,0.023840473932507857,658ec97055456f739222aa2a5719a4d403ced99a,88535d593e202a0fb85d59f849d114034561b059,Fixed ares-enabled builds with static makefiles.,1365522291,lib/config-win32.h,.h,20553,324,0.2683902171892975,0.21807035469274558,0.5694418881992468,0.20679012345679013,0.0,1.3858024691358024,0.040403017464431756,0.13888123056860832,0.15465466180850873,-0.19565426599576563,0.023840473932507857
curl,61c434273654048462873c031eda027dd4acd549,216b1984948d4ad4c7743440e0cadc12bc385618,CVE-2018-1000120,CVE-2018-1000120,expanded_advisory_event,explicit_id+osv_range,967636497,src/hugehelp.c,.c,60939.0,1440.0,0.3124978825584993,0.330740576642216,0.7331016630438233,0.018055555555555554,0.09454438363779119,eda099889438813bcddac3718a231ee86bbbb028,6535b9303df83eb3f1e95fded0d778e51d9aa50c,Fix for compiling with lwIP (3),1540292107,lib/transfer.c,.c,60801,1410,0.3396709502503953,0.28790644890709033,0.7059390442459964,0.21631205673758866,0.08423503434138073,1.0212765957446808,-0.02717306769189598,0.04283412773512568,0.027162618797826887,-0.1982565011820331,0.010309349296410461
curl,61c434273654048462873c031eda027dd4acd549,216b1984948d4ad4c7743440e0cadc12bc385618,CVE-2018-1000121,CVE-2018-1000121,expanded_advisory_event,explicit_id+osv_range,967636497,src/hugehelp.c,.c,60939.0,1440.0,0.3124978825584993,0.330740576642216,0.7331016630438233,0.018055555555555554,0.09454438363779119,ef695fc30144c8b92700c0161cdafd141c70ae60,e2dd435d473cdc97785df95d032276fafb4b7746,Curl_retry_request: fix memory leak,1537799891,lib/transfer.c,.c,60752,1404,0.3397780564008189,0.287875296286542,0.706197414248965,0.21652421652421652,0.08423503434138073,1.0256410256410255,-0.027280173842319566,0.042865280355673996,0.02690424879485831,-0.19846866096866098,0.010309349296410461
curl,61c434273654048462873c031eda027dd4acd549,216b1984948d4ad4c7743440e0cadc12bc385618,CVE-2018-1000122,CVE-2018-1000122,expanded_advisory_event,explicit_id+osv_range,967636497,src/hugehelp.c,.c,60939.0,1440.0,0.3124978825584993,0.330740576642216,0.7331016630438233,0.018055555555555554,0.09454438363779119,b27dc009cfb887eddbcf3f2d8b80f79852cb3ef1,2c7a5578e1ad14bbdee77a335595a3c3e96dbbf7,smtp:Fixed memory leak from commit dac01ff6d788b2,1384678821,lib/smtp.c,.c,61357,1575,0.2804492698441662,0.1985103574164317,0.6454483268868342,0.1746031746031746,0.06183855022586062,0.9142857142857143,0.032048612714333125,0.13223021922578432,0.08765333615698911,-0.15654761904761905,0.03270583341193057
curl,61c434273654048462873c031eda027dd4acd549,216b1984948d4ad4c7743440e0cadc12bc385618,CVE-2018-1000301,CVE-2018-1000301,expanded_advisory_event,explicit_id+osv_range,967636497,src/hugehelp.c,.c,60939.0,1440.0,0.3124978825584993,0.330740576642216,0.7331016630438233,0.018055555555555554,0.09454438363779119,128517649c73cc767a1bbe4e3f5d256797c7a80b,219358b93dac3c758be1286ab5310cd5c68735c5,Corrected version numbers after bump,1367100140,src/tool_operate.c,.c,60314,1366,0.2953102583222122,0.2652949563948669,0.683569236410779,0.11932650073206442,0.042206476617281295,1.054172767203514,0.017187624236287113,0.06544562024734912,0.049532426633044246,-0.10127094517650886,0.052337907020509895
curl,751d503f54596d6d86f969683fec2fe296d9d1f0,b2e47dfde4a92a8365ff49e5a0b981dc3e05dab7,CVE-2000-0973,CVE-2000-0973,expanded_advisory_event,osv_range,971338936,lib/sendf.c,.c,6434.0,222.0,0.3262231474378157,0.32934410941871306,0.7369357613032937,0.10810810810810811,0.0,c382c550e7d8ad54d2c35b0fea9d0eef09ff3a25,c663494c69e81f8d88ccf8dad7e4ae3ef726e9d8,fix compiler warning: implicit conversion shortens 64-bit value into a 32-bit value,1239713633,lib/netrc.c,.c,6418,200,0.3667333774416467,0.36849485821128075,0.7793854678012808,0.175,0.0,1.11,-0.04051023000383097,-0.03915074879256769,-0.04244970649798707,-0.06689189189189187,0.0
curl,751d503f54596d6d86f969683fec2fe296d9d1f0,b2e47dfde4a92a8365ff49e5a0b981dc3e05dab7,CVE-2000-0973,CVE-2000-0973,expanded_advisory_event,osv_range,971338936,lib/url.c,.c,42572.0,1252.0,0.3229770273250562,0.28600958376397634,0.6874145273182578,0.16293929712460065,0.09158793788357737,2c26cea5ecb168c1e3c980725071828c9b0482b8,fb6925c2434ac527883f9b14ce946ed0e386914f,socks: add assertion for hostname length in SOCKS5 connect,1774880004,lib/socks.c,.c,42664,1231,0.30568521270792165,0.2197402962685168,0.6940942636558607,0.20471161657189277,0.0451211111832329,1.017059301380991,0.017291814617134527,0.06626928749545954,-0.006679736337602882,-0.04177231944729212,0.04646682670034447
