roc_auc,average_precision,brier_score,log_loss,model,held_out_repo,n_snapshots
1.0,1.0,0.6762452105335547,2.291241784828476,baseline_size,curl,4
1.0,1.0,0.674843100454788,2.3353518914479725,baseline_plus_composite,curl,4
,,0.013322355931928282,0.10377259551964342,baseline_size,git,4
,,0.004971801679381076,0.05983123897590062,baseline_plus_composite,git,4
,,0.02567506919583988,0.11882329434250405,baseline_size,libxml2,4
,,0.019107575238875376,0.11938439266914104,baseline_plus_composite,libxml2,4
,,0.006320862071558087,0.08169688214970262,baseline_size,openssh,4
,,0.0069037520984888065,0.0862989360680772,baseline_plus_composite,openssh,4
,,0.00579592625800885,0.07648002900334622,baseline_size,openssl,4
,,0.018486757133854503,0.13151273166171332,baseline_plus_composite,openssl,4
,,0.03420772199976312,0.20347898816404206,baseline_size,redis,4
,,0.02038473352556716,0.15358219952509877,baseline_plus_composite,redis,4
,,0.05397419217473395,0.2397868773068176,baseline_size,sqlite,4
,,0.0397150090721157,0.19781497221633074,baseline_plus_composite,sqlite,4
0.0,0.25,0.20671622832032577,0.6180425214246523,baseline_size,zlib,4
0.6666666666666667,0.5,0.20657865155795296,0.6043701031006935,baseline_plus_composite,zlib,4
