name,snapshot_id,total_bytes,total_loc,num_files,ci_gzip,ci_lzma,ci_zstd,shannon_entropy,cyclomatic_density,halstead_volume,composite_score,repo,full_name,category,primary_language,stars,snapshot_tag,snapshot_commit,snapshot_date,snapshot_order,future_event_count,future_any_event,days_to_next_event,future_event_ids,log_total_loc,log_total_bytes,log_num_files
openssl,SSLeay_0_8_1b,4321280,104014,474,0.12492918764810426,0.08562092713270142,0.08801373667061611,0.5735919717992237,0.108879573903513,0.7532051475746517,0.31843110789788115,openssl,openssl,high_opacity,,,SSLeay_0_8_1b,38ab41c238bf51518d672272f03923a106554852,1998-12-21T10:52:48+00:00,0,0,0,,,11.552290398492483,15.279062444042399,6.163314804034641
openssl,OpenSSL_0_9_8j,12503040,300386,1031,0.1654951115888616,0.10394432074119574,0.10680154586404586,0.5274619571022375,0.12359763770615143,0.9056426036579935,0.34250607004010825,openssl,openssl,high_opacity,,,OpenSSL_0_9_8j,6287fa53962a88881be5b5b8939491c384e0bdd2,2009-01-07T10:50:54+00:00,1,0,0,,,12.61282692230321,16.341482452684748,6.939253946041508
openssl,OpenSSL-fips-2_0_15,14714880,360999,1152,0.1723065359690327,0.1088647681802366,0.11190013102383438,0.5215151945791692,0.1263549206507497,0.9312493023332408,0.34751325826099455,openssl,openssl,high_opacity,,,OpenSSL-fips-2_0_15,e576b67e1a79a846d45b641b73ee378db212d763,2017-08-30T20:27:46+00:00,2,0,0,,,12.796633237315017,16.50436985263094,7.050122520269059
openssl,openssl-4.0.0-beta1,26798080,598152,1897,0.1975172101881926,0.13971433774359954,0.14045819700515857,0.49267207002373714,0.1360924982278752,1.0,0.3629216123055473,openssl,openssl,high_opacity,,,openssl-4.0.0-beta1,470ad1757ee81b9a92ae02c26e6a6076b3027bd6,2026-03-24T15:13:44+00:00,3,0,0,,,13.30160185305082,17.10384083843975,7.5485559791698735
libxml2,GNOME_0_30,204800,5235,14,0.1669189453125,0.13080078125,0.1341796875,0.5929509322110719,0.29188156638013374,0.24928546201747484,0.3089892089243809,libxml2,libxml2,high_opacity,,,GNOME_0_30,8e0137ced4d14942286fe9ff8d423d986973795d,1998-09-23T00:58:59+00:00,0,0,0,,,8.56331312702979,12.22979405494807,2.70805020110221
libxml2,LIBXML2_2_6_19,7526400,223854,132,0.1440599755527211,0.10555378401360545,0.10647852891156463,0.5187641427261604,0.13954631143513183,0.7063057963623489,0.31206758331709605,libxml2,libxml2,high_opacity,,,LIBXML2_2_6_19,771971f2e5077482fce3d9c234455118f2352f73,2005-04-02T10:49:51+00:00,1,0,0,,,12.31875379980563,15.833927530671973,4.890349128221754
libxml2,CVE-2015-7942,9390080,274530,160,0.15501529273446019,0.10928341398582334,0.11118350429389313,0.5129861931377682,0.14131060357702255,0.7835162208693415,0.32490789026075284,libxml2,libxml2,high_opacity,,,CVE-2015-7942,bd0526e66a56e75a18da8c15c4750db8f801c52d,2015-10-23T11:02:28+00:00,2,0,0,,,12.522819466160051,16.055164477345322,5.081404364984463
libxml2,v2.13.9,8499200,247755,175,0.16080678181475905,0.1137777673192771,0.11610363328313253,0.5131694776934946,0.14473976307239006,0.7768106769561607,0.32657919968356497,libxml2,libxml2,high_opacity,,,v2.13.9,04af2cabb9f859c198b8a553c028a87481199410,2025-09-08T14:20:25+00:00,3,0,0,,,12.42019966986064,15.955482717042267,5.170483995038151
redis,vm-playpen,4198400,82037,125,0.23291349085365853,0.17203791920731706,0.17600967035060974,0.5762030748613034,0.15071248339164037,0.684891630031937,0.3522414267827114,redis,redis,low_opacity,,,vm-playpen,b72f6a4b70ef642a085f700243ebf885ca7b09f4,2010-01-23T16:55:04+00:00,0,0,0,,,11.314937833537137,15.2502142964778,4.836281906951478
redis,2.8.14,5580800,110266,185,0.23011306622706423,0.15577766628440368,0.15896753153669724,0.5683266436192045,0.15649429561242814,0.7324497015790661,0.354639487517054,redis,redis,low_opacity,,,2.8.14,db6e874a250a85cd4c4c01ac0409c430a018ce12,2014-09-01T15:00:38+00:00,1,0,0,,,11.6106599764336,15.534842872442507,5.225746673713202
