roc_auc,average_precision,brier_score,log_loss,model,held_out_repo,n_snapshots
1.0,1.0,0.2739606047016092,0.7412403851516046,baseline_size,django-django,3
0.5,0.8333333333333333,0.37469090575397246,0.9661725678835182,baseline_plus_composite,django-django,3
0.5,0.5,0.2069177754132304,0.6033364774622271,baseline_size,gin-gonic-gin,3
0.5,0.5,0.22721378781749688,0.6471740367698945,baseline_plus_composite,gin-gonic-gin,3
,,0.5586024724681781,1.3974851853822539,baseline_size,go-gitea-gitea,3
,,0.5405909576172482,1.3530114294503062,baseline_plus_composite,go-gitea-gitea,3
1.0,1.0,0.28545057845699445,0.7647366168161868,baseline_size,jq,3
1.0,1.0,0.2626479186952333,0.718404316549988,baseline_plus_composite,jq,3
0.5,0.5,0.23340915538415433,0.6597984921223655,baseline_size,pallets-flask,3
0.5,0.5,0.22285453325982926,0.6373860437659352,baseline_plus_composite,pallets-flask,3
0.0,0.5833333333333333,0.4151095122753812,1.065043586624946,baseline_size,psf-requests,3
0.0,0.5833333333333333,0.4863528038482934,1.2534103381182067,baseline_plus_composite,psf-requests,3
1.0,1.0,0.2837264547578701,0.760990470277628,baseline_size,traefik-traefik,3
1.0,1.0,0.24327601520364595,0.679042488900206,baseline_plus_composite,traefik-traefik,3
1.0,1.0,0.28309052610871155,0.7599379505806237,baseline_size,zlib,3
1.0,1.0,0.2472982543708339,0.687727093172803,baseline_plus_composite,zlib,3
