name,snapshot_id,total_bytes,total_loc,num_files,ci_gzip,ci_lzma,ci_zstd,shannon_entropy,cyclomatic_density,halstead_volume,composite_score,repo,full_name,category,primary_language,stars,snapshot_tag,snapshot_commit,snapshot_date,snapshot_order,analysis_date,fully_observed_horizon,future_event_count,future_any_event,days_to_next_event,future_event_ids,log_total_loc,log_total_bytes,log_num_files
django-django,1.4.11,5396480,87910,887,0.18000993240037952,0.1341778344402277,0.13608370641603415,0.5867962292962159,0.1188715731998635,0.8208729704281442,0.35207956806818297,django-django,django/django,expanded,Python,87222.0,1.4.11,194159ba443645947e1a86bfd12e28dc78022521,2014-04-21T22:38:26+00:00,0,2026-04-09T15:29:33.447927+00:00,1,0,0,,,11.38408021805069,15.50125763244082,6.78897174299217
django-django,2.1a1,5816320,98286,822,0.18230238363776408,0.13543477662852113,0.13651948310959508,0.5908130677509567,0.12425981319821745,0.8277214740411832,0.3559230497373237,django-django,django/django,expanded,Python,87222.0,2.1a1,c3bbebdd546c614add3c54824165b996ce666fe9,2018-05-18T00:52:46+00:00,1,2026-04-09T15:29:33.447927+00:00,1,4,1,137.73350694444446,CVE-2018-16984;CVE-2019-19118;CVE-2019-3498;CVE-2019-6975,11.495647049169955,15.576178489244652,6.71295620067707
django-django,4.2.4,6727680,125668,865,0.18090262913812785,0.1331626950152207,0.13413643336187214,0.5848294896198206,0.111325078779005,0.8426363045438112,0.3527242928247205,django-django,django/django,expanded,Python,87222.0,4.2.4,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,2023-08-01T16:59:48+00:00,2,2026-04-09T15:29:33.447927+00:00,1,7,1,92.55231481481482,CVE-2023-41164;CVE-2023-43665;CVE-2023-46695;CVE-2024-41989;CVE-2024-41990;CVE-2024-41991;CVE-2024-42005,11.741406745228918,15.721741065717747,6.763884908562435
traefik-traefik,v1.0,61440,1017,14,0.13518880208333334,0.12649739583333333,0.12540690104166666,0.7264585080907899,0.13470993117010815,0.19643408677924173,0.28991808437724964,traefik-traefik,traefik/traefik,expanded,Go,62557.0,v1.0,42a23171ae39a5df9f884617ae3c9fabde341f2d,2015-09-22T21:29:45+00:00,0,2026-04-09T15:29:33.447927+00:00,1,0,0,,,6.925595197110468,11.025832643730768,2.70805020110221
traefik-traefik,v2.0.2,3020800,69197,401,0.12714909957627119,0.09336069915254237,0.09406713453389831,0.5770223591384884,0.06550862031590965,0.7101524347932404,0.30385625229656865,traefik-traefik,traefik/traefik,expanded,Go,62557.0,v2.0.2,d5e3bb1b6d144651af7b5e208274a1359479c8a1,2019-10-09T17:12:05+00:00,1,2026-04-09T15:29:33.447927+00:00,1,1,1,294.9604861111111,CVE-2020-15129,11.144727239453994,14.9210325859714,5.996452088619021
traefik-traefik,v2.10.6,5416960,120986,580,0.12029311643431002,0.08075599598298677,0.08111431504017014,0.5613325792895664,0.06263534623840775,0.7753634618853387,0.3052155672014988,traefik-traefik,traefik/traefik,expanded,Go,62557.0,v2.10.6,dae0491b612ae9d706ffa2f0faa941bce00f0c01,2023-11-28T14:46:10+00:00,2,2026-04-09T15:29:33.447927+00:00,1,3,1,136.2655787037037,CVE-2024-28869;CVE-2025-47952;CVE-2025-54386,11.703438380790471,15.50504551505717,6.364750756851911
zlib,v1.2.9,3061760,56951,118,0.24576354776337792,0.10530544523411371,0.10927897679765887,0.5624648105767355,0.1041597162473003,0.6028683101377734,0.3107936413694425,zlib,zlib,low_opacity,,,v1.2.9,2fa463bacfff79181df1a5270fb67cc679a53e71,2017-01-01T07:37:10+00:00,0,2026-04-09T15:29:33.447927+00:00,1,0,0,,,10.949964086783709,14.934500798593664,4.77912349311153
zlib,v1.2.12,3594240,65504,116,0.26676126246438747,0.0879718660968661,0.09118116764601139,0.5743038614093278,0.09213177821201758,0.6012711824162655,0.30882292182529036,zlib,zlib,low_opacity,,,v1.2.12,21767c654d31d2dccdde4330529775c6c5fd5389,2022-03-27T23:05:02+00:00,1,2026-04-09T15:29:33.447927+00:00,1,2,1,130.34033564814814,CVE-2022-37434;CVE-2023-45853,11.08988175458777,15.09484340028226,4.762173934797756
zlib,v1.3,3584000,64690,116,0.266451171875,0.0867421875,0.08988197544642858,0.5747220157472362,0.09344566393569331,0.6012449952425578,0.3089207916029494,zlib,zlib,low_opacity,,,v1.3,09155eaa2f9270dc4ed1fa13e2b4b2613e6e4851,2023-08-18T08:45:36+00:00,2,2026-04-09T15:29:33.447927+00:00,1,1,1,56.728854166666665,CVE-2023-45853,11.077377367258327,15.091990332094776,4.762173934797756
jq,jq-1.4,1167360,32583,70,0.21583658854166668,0.13352521929824562,0.13818616365131578,0.59243326224348,0.15388392720130128,0.5510764167917891,0.3261213565539403,jq,jq,low_opacity,,,jq-1.4,e73951f3d1928591b3a9a60de11ae975a21e621f,2014-06-09T23:58:46+00:00,0,2026-04-09T15:29:33.447927+00:00,1,0,0,,,10.391576649328249,13.9702562036214,4.2626798770413155
