repo,snapshot_tag,snapshot_date,event_id,event_observation_id,event_published,event_date_source,severity_band,severity_score,severity_label,severity_source,ground_truth_source,ground_truth_aliases,fixed_commit,commit_subject,case_file,control_file,changed_source_files_count,changed_source_files_sample,review_decision,review_notes
curl,curl-7_42_0,2015-04-22T05:56:12+00:00,CVE-2015-3153,curl:curl-7_42_0:CVE-2015-3153,2015-04-29T08:00:00+00:00,osv_published,all,,HIGH,osv_severity,osv_range,CURL-CVE-2015-3153;CVE-2015-3153,6ba2e88a642434bd0ffa95465e4a7d034d03ea10,CURLOPT_HEADEROPT: default to separate,lib/url.c,lib/ftp.c,1,lib/url.c,,
curl,curl-7_42_0,2015-04-22T05:56:12+00:00,CVE-2015-3236,curl:curl-7_42_0:CVE-2015-3236,2015-06-17T05:43:13+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,CVE-2015-3236,24a8359b256f8a3d7892f21f156a4bf0a42710d5,http: do not leak basic auth credentials on re-used connections,lib/http.c,lib/ssh.c,1,lib/http.c,,
curl,curl-7_42_0,2015-04-22T05:56:12+00:00,CVE-2015-3237,curl:curl-7_42_0:CVE-2015-3237,2015-06-17T08:00:00+00:00,osv_published,all,,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2015-3237;CVE-2015-3237,50c7f17e503fbab5081b69c97f9d4645389b9270,SMB: rangecheck values read off incoming packet,lib/smb.c,lib/ldap.c,1,lib/smb.c,,
curl,curl-7_42_0,2015-04-22T05:56:12+00:00,CVE-2016-0754,curl:curl-7_42_0:CVE-2016-0754,2016-01-26T22:42:55+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,CVE-2016-0754,3017d8a8d8849ebd4feae4f5eae037cd55736a61,curl: avoid local drive traversal when saving file (Windows),src/tool_cb_hdr.c,lib/inet_pton.c,4,src/tool_cb_hdr.c;src/tool_doswin.c;src/tool_doswin.h;src/tool_operate.c,,
curl,curl-7_42_0,2015-04-22T05:56:12+00:00,CVE-2016-0754,curl:curl-7_42_0:CVE-2016-0754,2016-01-26T22:42:55+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,CVE-2016-0754,3017d8a8d8849ebd4feae4f5eae037cd55736a61,curl: avoid local drive traversal when saving file (Windows),src/tool_doswin.c,lib/version.c,4,src/tool_cb_hdr.c;src/tool_doswin.c;src/tool_doswin.h;src/tool_operate.c,,
curl,curl-7_42_0,2015-04-22T05:56:12+00:00,CVE-2016-0754,curl:curl-7_42_0:CVE-2016-0754,2016-01-26T22:42:55+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,CVE-2016-0754,3017d8a8d8849ebd4feae4f5eae037cd55736a61,curl: avoid local drive traversal when saving file (Windows),src/tool_doswin.h,lib/netrc.h,4,src/tool_cb_hdr.c;src/tool_doswin.c;src/tool_doswin.h;src/tool_operate.c,,
curl,curl-7_42_0,2015-04-22T05:56:12+00:00,CVE-2016-0754,curl:curl-7_42_0:CVE-2016-0754,2016-01-26T22:42:55+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,CVE-2016-0754,3017d8a8d8849ebd4feae4f5eae037cd55736a61,curl: avoid local drive traversal when saving file (Windows),src/tool_operate.c,lib/transfer.c,4,src/tool_cb_hdr.c;src/tool_doswin.c;src/tool_doswin.h;src/tool_operate.c,,
curl,curl-7_54_1,2017-06-14T06:08:56+00:00,CVE-2017-1000099,curl:curl-7_54_1:CVE-2017-1000099,2017-08-09T08:00:00+00:00,osv_published,all,6.5,MEDIUM,osv_severity,explicit_id+osv_range,CURL-CVE-2017-1000099;CVE-2017-1000099,c9332fa5e84f24da300b42b1a931ade929d3e27d,file: output the correct buffer to the user,lib/file.c,lib/asyn-thread.c,1,lib/file.c,,
curl,curl-7_54_1,2017-06-14T06:08:56+00:00,CVE-2017-1000100,curl:curl-7_54_1:CVE-2017-1000100,2017-08-09T08:00:00+00:00,osv_published,all,6.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2017-1000100;CVE-2017-1000100,358b2b131ad6c095696f20dcfa62b8305263f898,tftp: reject file name lengths that don't fit,lib/tftp.c,lib/cookie.c,1,lib/tftp.c,,
curl,curl-7_54_1,2017-06-14T06:08:56+00:00,CVE-2017-1000101,curl:curl-7_54_1:CVE-2017-1000101,2017-08-09T08:00:00+00:00,osv_published,all,6.5,MEDIUM,osv_severity,explicit_id+osv_range,CURL-CVE-2017-1000101;CVE-2017-1000101,453e7a7a03a2cec749abd3878a48e728c515cca7,glob: do not continue parsing after a strtoul() overflow range,src/tool_urlglob.c,lib/asyn-ares.c,1,src/tool_urlglob.c,,
