repo,snapshot_tag,snapshot_date,event_id,event_observation_id,event_published,event_date_source,severity_band,severity_score,severity_label,severity_source,ground_truth_source,ground_truth_aliases,fixed_commit,commit_subject,case_file,control_file,changed_source_files_count,changed_source_files_sample,review_decision,review_notes
curl,curl-7_42_0,2015-04-22T05:56:12+00:00,CVE-2015-3153,curl:curl-7_42_0:CVE-2015-3153,2015-04-29T08:00:00+00:00,osv_published,all,,HIGH,osv_severity,osv_range,CURL-CVE-2015-3153;CVE-2015-3153,6ba2e88a642434bd0ffa95465e4a7d034d03ea10,CURLOPT_HEADEROPT: default to separate,lib/url.c,lib/ftp.c,1,lib/url.c,,
curl,curl-7_42_0,2015-04-22T05:56:12+00:00,CVE-2016-0754,curl:curl-7_42_0:CVE-2016-0754,2016-01-26T22:42:55+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,CVE-2016-0754,3017d8a8d8849ebd4feae4f5eae037cd55736a61,curl: avoid local drive traversal when saving file (Windows),src/tool_cb_hdr.c,lib/inet_pton.c,4,src/tool_cb_hdr.c;src/tool_doswin.c;src/tool_doswin.h;src/tool_operate.c,,
curl,curl-7_54_1,2017-06-14T06:08:56+00:00,CVE-2017-1000099,curl:curl-7_54_1:CVE-2017-1000099,2017-08-09T08:00:00+00:00,osv_published,all,6.5,MEDIUM,osv_severity,explicit_id+osv_range,CURL-CVE-2017-1000099;CVE-2017-1000099,c9332fa5e84f24da300b42b1a931ade929d3e27d,file: output the correct buffer to the user,lib/file.c,lib/asyn-thread.c,1,lib/file.c,,
curl,curl-7_54_1,2017-06-14T06:08:56+00:00,CVE-2017-1000100,curl:curl-7_54_1:CVE-2017-1000100,2017-08-09T08:00:00+00:00,osv_published,all,6.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2017-1000100;CVE-2017-1000100,358b2b131ad6c095696f20dcfa62b8305263f898,tftp: reject file name lengths that don't fit,lib/tftp.c,lib/cookie.c,1,lib/tftp.c,,
curl,curl-7_54_1,2017-06-14T06:08:56+00:00,CVE-2017-1000254,curl:curl-7_54_1:CVE-2017-1000254,2017-10-04T08:00:00+00:00,osv_published,all,7.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2017-1000254;CVE-2017-1000254,5ff2c5ff25750aba1a8f64fbcad8e5b891512584,FTP: zero terminate the entry path even on bad input,lib/ftp.c,lib/ssh.c,1,lib/ftp.c,,
curl,curl-7_54_1,2017-06-14T06:08:56+00:00,CVE-2017-8816,curl:curl-7_54_1:CVE-2017-8816,2017-11-29T08:00:00+00:00,osv_published,all,9.8,CRITICAL,osv_severity,explicit_id+osv_range,CURL-CVE-2017-8816;CVE-2017-8816,7f2a1df6f5fc598750b2c6f34465c8d924db28cc,ntlm: avoid integer overflow for malloc size,lib/curl_ntlm_core.c,lib/socks_sspi.c,1,lib/curl_ntlm_core.c,,
curl,curl-7_54_1,2017-06-14T06:08:56+00:00,CVE-2017-8817,curl:curl-7_54_1:CVE-2017-8817,2017-11-29T08:00:00+00:00,osv_published,all,9.8,CRITICAL,osv_severity,explicit_id+osv_range,CURL-CVE-2017-8817;CVE-2017-8817,0b664ba968437715819bfe4c7ada5679d16ebbc3,wildcardmatch: fix heap buffer overflow in setcharset,lib/curl_fnmatch.c,CMake/CurlTests.c,1,lib/curl_fnmatch.c,,
curl,curl-7_54_1,2017-06-14T06:08:56+00:00,CVE-2018-1000005,curl:curl-7_54_1:CVE-2018-1000005,2018-01-24T08:00:00+00:00,osv_published,all,9.1,CRITICAL,osv_severity,osv_range,CURL-CVE-2018-1000005;CVE-2018-1000005,fa3dbb9a147488a2943bda809c66fc497efe06cb,http2: fix incorrect trailer buffer size,lib/http2.c,src/tool_getparam.c,1,lib/http2.c,,
curl,curl-7_54_1,2017-06-14T06:08:56+00:00,CVE-2018-1000007,curl:curl-7_54_1:CVE-2018-1000007,2018-01-24T08:00:00+00:00,osv_published,all,9.8,CRITICAL,osv_severity,osv_range,CURL-CVE-2018-1000007;CVE-2018-1000007,af32cd3859336ab963591ca0df9b1e33a7ee066b,http: prevent custom Authorization headers in redirects,lib/http.c,src/tool_operate.c,3,lib/http.c;lib/setopt.c;lib/urldata.h,,
curl,curl-7_65_2,2019-07-17T07:26:17+00:00,CVE-2019-15601,curl:curl-7_65_2:CVE-2019-15601,2020-01-06T09:05:37+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,CVE-2019-15601,1b71bc532bde8621fd3260843f8197182a467ff2,"file: on Windows, refuse paths that start with \\",lib/file.c,lib/altsvc.c,1,lib/file.c,,
curl,curl-7_65_2,2019-07-17T07:26:17+00:00,CVE-2019-5482,curl:curl-7_65_2:CVE-2019-5482,2019-09-11T08:00:00+00:00,osv_published,all,9.8,CRITICAL,osv_severity,explicit_id+osv_range,CURL-CVE-2019-5482;CVE-2019-5482,facb0e4662415b5f28163e853dc6742ac5fafb3d,"tftp: Alloc maximum blksize, and use default unless OACK is received",lib/tftp.c,lib/pop3.c,1,lib/tftp.c,,
curl,curl-7_65_2,2019-07-17T07:26:17+00:00,CVE-2020-8169,curl:curl-7_65_2:CVE-2020-8169,2020-06-24T08:00:00+00:00,osv_published,all,7.5,HIGH,osv_severity,osv_range,CURL-CVE-2020-8169;CVE-2020-8169,600a8cded447cd7118ed50142c576567c0cf5158,url: make the updated credentials URL-encoded in the URL,lib/url.c,lib/ftp.c,1,lib/url.c,,
curl,curl-7_65_2,2019-07-17T07:26:17+00:00,CVE-2020-8177,curl:curl-7_65_2:CVE-2020-8177,2020-06-24T08:00:00+00:00,osv_published,all,7.8,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2020-8177;CVE-2020-8177,8236aba58542c5f89f1d41ca09d84579efb05e22,tool_getparam: -i is not OK if -J is used,src/tool_cb_hdr.c,src/tool_cb_prg.c,2,src/tool_cb_hdr.c;src/tool_getparam.c,,
