pair_id,repo,snapshot_tag,snapshot_key,event_id,event_observation_id,ground_truth_policy,ground_truth_source,label,kind,file_path,suffix,loc,size_bytes,ci_gzip,shannon_entropy,cyclomatic_density,halstead_volume,composite_score,directory_depth,prior_touches_total,prior_touches_365d,total_churn,churn_365d,author_count_total,author_count_365d,file_age_days,latest_touch_days,log_loc,log_size_bytes,log_prior_touches_total,log_prior_touches_365d,log_total_churn,log_churn_365d
0,curl,curl-7_42_0,curl:curl-7_42_0,CVE-2015-3153,curl:curl-7_42_0:CVE-2015-3153,expanded_advisory_plus_explicit,osv_range,1,case,lib/url.c,.c,4753.0,188963.0,0.25444134566026155,0.6360473428301345,0.14306753629286767,0.23253054550896818,0.31163731337130357,1.0,1164.0,62.0,31774.0,719.0,64.0,19.0,5592.649837962963,0.35805555555555557,8.46674164792014,12.14931179970841,7.060476365999801,4.143134726391533,10.366435096057655,6.579251212010101
0,curl,curl-7_42_0,curl:curl-7_42_0,CVE-2015-3153,curl:curl-7_42_0:CVE-2015-3153,expanded_advisory_plus_explicit,osv_range,0,control,lib/ftp.c,.c,3568.0,138122.0,0.258865350921649,0.6608371204593569,0.1577914798206278,0.13174126137648692,0.30820477445696176,1.0,702.0,18.0,25120.0,297.0,25.0,5.0,5592.649837962963,35.70734953703704,8.18004072349016,11.835899871511314,6.555356891810665,2.9444389791664403,10.131459428706979,5.697093486505405
1,curl,curl-7_42_0,curl:curl-7_42_0,CVE-2015-3236,curl:curl-7_42_0:CVE-2015-3236,expanded_advisory_plus_explicit,explicit_id,1,case,lib/http.c,.c,2951.0,120295.0,0.25892181719938484,0.6821083621365173,0.22602507624534057,0.1266786540694902,0.330355786160936,1.0,600.0,45.0,16165.0,662.0,36.0,10.0,5592.649837962963,0.3580439814814815,7.990238185720363,11.697710651202156,6.398594934535208,3.828641396489095,9.69066555029379,6.4967749901858625
1,curl,curl-7_42_0,curl:curl-7_42_0,CVE-2015-3236,curl:curl-7_42_0:CVE-2015-3236,expanded_advisory_plus_explicit,explicit_id,0,control,lib/ssh.c,.c,2746.0,107404.0,0.20678000819336337,0.6736941971349312,0.1562272396212673,0.1411510988012072,0.29584031064039285,1.0,266.0,14.0,16963.0,183.0,21.0,5.0,3092.333009259259,35.70734953703704,7.918264686095274,11.584362014908077,5.58724865840025,2.70805020110221,9.738848730594482,5.214935757608986
2,curl,curl-7_42_0,curl:curl-7_42_0,CVE-2015-3237,curl:curl-7_42_0:CVE-2015-3237,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,lib/smb.c,.c,778.0,27334.0,0.22722616521548256,0.7097185982226264,0.13753213367609254,0.03037807481771022,0.29333337068571463,1.0,63.0,37.0,1668.0,1467.0,6.0,5.0,5216.329039351852,28.29804398148148,6.658011045870748,10.2159232113291,4.1588830833596715,3.6375861597263857,7.419979923661835,7.291656209174461
2,curl,curl-7_42_0,curl:curl-7_42_0,CVE-2015-3237,curl:curl-7_42_0:CVE-2015-3237,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,lib/ldap.c,.c,828.0,26776.0,0.23382880191216016,0.7259944443829669,0.17632850241545894,0.009275714091985243,0.30660746379647363,1.0,169.0,36.0,3847.0,873.0,12.0,5.0,5592.649837962963,28.29804398148148,6.720220155135295,10.195298589071585,5.135798437050262,3.6109179126442243,8.255308811785596,6.773080375655535
3,curl,curl-7_42_0,curl:curl-7_42_0,CVE-2016-0754,curl:curl-7_42_0:CVE-2016-0754,expanded_advisory_plus_explicit,explicit_id,1,case,src/tool_cb_hdr.c,.c,178.0,6009.0,0.41720752205025796,0.765475726559351,0.12359550561797752,0.0,0.36788271901121516,1.0,18.0,1.0,342.0,5.0,4.0,1.0,1305.594050925926,53.368287037037035,5.187385805840755,8.701180027529253,2.9444389791664403,0.6931471805599453,5.8377304471659395,1.791759469228055
3,curl,curl-7_42_0,curl:curl-7_42_0,CVE-2016-0754,curl:curl-7_42_0:CVE-2016-0754,expanded_advisory_plus_explicit,explicit_id,0,control,lib/inet_pton.c,.c,207.0,6136.0,0.38852672750977835,0.7966606250113626,0.1642512077294686,0.0,0.37564190864153113,1.0,32.0,0.0,734.0,0.0,5.0,0.0,4214.339872685186,833.2544212962963,5.337538079701318,8.722091302389098,3.4965075614664802,0.0,6.5998704992128365,0.0
4,curl,curl-7_42_0,curl:curl-7_42_0,CVE-2016-0754,curl:curl-7_42_0:CVE-2016-0754,expanded_advisory_plus_explicit,explicit_id,1,case,src/tool_doswin.c,.c,241.0,8269.0,0.39702503325674204,0.7544398448555464,0.17427385892116182,0.0,0.36975451333886405,1.0,14.0,0.0,335.0,0.0,4.0,0.0,1310.5679976851852,422.699212962963,5.488937726156687,9.020389788017736,2.70805020110221,0.0,5.817111159963204,0.0
4,curl,curl-7_42_0,curl:curl-7_42_0,CVE-2016-0754,curl:curl-7_42_0:CVE-2016-0754,expanded_advisory_plus_explicit,explicit_id,0,control,lib/version.c,.c,323.0,8300.0,0.31144578313253013,0.7473362956392285,0.14551083591331268,0.0,0.33103708409295457,1.0,114.0,13.0,1256.0,47.0,21.0,6.0,5592.649837962963,49.763819444444444,5.780743515792329,9.024131268455035,4.74493212836325,2.6390573296152584,7.136483208590247,3.871201010907891
