pair_id,repo,snapshot_tag,snapshot_commit,snapshot_date,snapshot_key,event_id,event_observation_id,ground_truth_policy,ground_truth_source,ground_truth_aliases,event_published,event_date_source,severity_band,severity_score,severity_label,severity_source,fixed_commit,case_file,control_file,case_file_path,case_suffix,case_size_bytes,case_loc,case_ci_gzip,case_shannon_entropy,case_cyclomatic_density,case_halstead_volume,case_composite_score,case_directory_depth,case_prior_touches_total,case_prior_touches_365d,case_total_churn,case_churn_365d,case_author_count_total,case_author_count_365d,case_file_age_days,case_latest_touch_days,control_file_path,control_suffix,control_size_bytes,control_loc,control_ci_gzip,control_shannon_entropy,control_cyclomatic_density,control_halstead_volume,control_composite_score,control_directory_depth,control_prior_touches_total,control_prior_touches_365d,control_total_churn,control_churn_365d,control_author_count_total,control_author_count_365d,control_file_age_days,control_latest_touch_days,delta_composite,delta_ci_gzip,delta_entropy,delta_cc_density,delta_halstead,delta_log_prior_touches_365d,delta_log_churn_365d
0,curl,curl-7_42_0,22691f849ac959ffaa821a3ca7f746ee54bd5e52,2015-04-22T05:56:12+00:00,curl:curl-7_42_0,CVE-2015-3153,curl:curl-7_42_0:CVE-2015-3153,expanded_advisory_plus_explicit,osv_range,CURL-CVE-2015-3153;CVE-2015-3153,2015-04-29T08:00:00+00:00,osv_published,all,,HIGH,osv_severity,6ba2e88a642434bd0ffa95465e4a7d034d03ea10,lib/url.c,lib/ftp.c,lib/url.c,.c,188963.0,4753.0,0.25444134566026155,0.6360473428301345,0.14306753629286767,0.23253054550896818,0.31163731337130357,1,1164,62,31774,719,64,19,5592.649837962963,0.35805555555555557,lib/ftp.c,.c,138122.0,3568.0,0.258865350921649,0.6608371204593569,0.1577914798206278,0.13174126137648692,0.30820477445696176,1,702,18,25120,297,25,5,5592.649837962963,35.70734953703704,0.0034325389143418095,-0.00442400526138742,-0.02478977762922241,-0.01472394352776013,0.10078928413248125,1.1986957472250923,0.8821577255046966
1,curl,curl-7_42_0,22691f849ac959ffaa821a3ca7f746ee54bd5e52,2015-04-22T05:56:12+00:00,curl:curl-7_42_0,CVE-2015-3236,curl:curl-7_42_0:CVE-2015-3236,expanded_advisory_plus_explicit,explicit_id,CVE-2015-3236,2015-06-17T05:43:13+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,24a8359b256f8a3d7892f21f156a4bf0a42710d5,lib/http.c,lib/ssh.c,lib/http.c,.c,120295.0,2951.0,0.25892181719938484,0.6821083621365173,0.22602507624534057,0.1266786540694902,0.330355786160936,1,600,45,16165,662,36,10,5592.649837962963,0.3580439814814815,lib/ssh.c,.c,107404.0,2746.0,0.20678000819336337,0.6736941971349312,0.1562272396212673,0.1411510988012072,0.29584031064039285,1,266,14,16963,183,21,5,3092.333009259259,35.70734953703704,0.03451547552054318,0.05214180900602147,0.008414165001586094,0.06979783662407327,-0.014472444731716994,1.120591195386885,1.2818392325768766
2,curl,curl-7_42_0,22691f849ac959ffaa821a3ca7f746ee54bd5e52,2015-04-22T05:56:12+00:00,curl:curl-7_42_0,CVE-2015-3237,curl:curl-7_42_0:CVE-2015-3237,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2015-3237;CVE-2015-3237,2015-06-17T08:00:00+00:00,osv_published,all,,HIGH,osv_severity,50c7f17e503fbab5081b69c97f9d4645389b9270,lib/smb.c,lib/ldap.c,lib/smb.c,.c,27334.0,778.0,0.22722616521548256,0.7097185982226264,0.13753213367609254,0.03037807481771022,0.29333337068571463,1,63,37,1668,1467,6,5,5216.329039351852,28.29804398148148,lib/ldap.c,.c,26776.0,828.0,0.23382880191216016,0.7259944443829669,0.17632850241545894,0.009275714091985243,0.30660746379647363,1,169,36,3847,873,12,5,5592.649837962963,28.29804398148148,-0.013274093110759,-0.0066026366966775996,-0.0162758461603405,-0.0387963687393664,0.021102360725724977,0.02666824708216131,0.5185758335189252
3,curl,curl-7_42_0,22691f849ac959ffaa821a3ca7f746ee54bd5e52,2015-04-22T05:56:12+00:00,curl:curl-7_42_0,CVE-2016-0754,curl:curl-7_42_0:CVE-2016-0754,expanded_advisory_plus_explicit,explicit_id,CVE-2016-0754,2016-01-26T22:42:55+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,3017d8a8d8849ebd4feae4f5eae037cd55736a61,src/tool_cb_hdr.c,lib/inet_pton.c,src/tool_cb_hdr.c,.c,6009.0,178.0,0.41720752205025796,0.765475726559351,0.12359550561797752,0.0,0.36788271901121516,1,18,1,342,5,4,1,1305.594050925926,53.368287037037035,lib/inet_pton.c,.c,6136.0,207.0,0.38852672750977835,0.7966606250113626,0.1642512077294686,0.0,0.37564190864153113,1,32,0,734,0,5,0,4214.339872685186,833.2544212962963,-0.007759189630315966,0.028680794540479615,-0.031184898452011556,-0.04065570211149108,0.0,0.6931471805599453,1.791759469228055
4,curl,curl-7_42_0,22691f849ac959ffaa821a3ca7f746ee54bd5e52,2015-04-22T05:56:12+00:00,curl:curl-7_42_0,CVE-2016-0754,curl:curl-7_42_0:CVE-2016-0754,expanded_advisory_plus_explicit,explicit_id,CVE-2016-0754,2016-01-26T22:42:55+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,3017d8a8d8849ebd4feae4f5eae037cd55736a61,src/tool_doswin.c,lib/version.c,src/tool_doswin.c,.c,8269.0,241.0,0.39702503325674204,0.7544398448555464,0.17427385892116182,0.0,0.36975451333886405,1,14,0,335,0,4,0,1310.5679976851852,422.699212962963,lib/version.c,.c,8300.0,323.0,0.31144578313253013,0.7473362956392285,0.14551083591331268,0.0,0.33103708409295457,1,114,13,1256,47,21,6,5592.649837962963,49.763819444444444,0.038717429245909485,0.08557925012421191,0.007103549216317839,0.028763023007849137,0.0,-2.6390573296152584,-3.871201010907891
5,curl,curl-7_42_0,22691f849ac959ffaa821a3ca7f746ee54bd5e52,2015-04-22T05:56:12+00:00,curl:curl-7_42_0,CVE-2016-0754,curl:curl-7_42_0:CVE-2016-0754,expanded_advisory_plus_explicit,explicit_id,CVE-2016-0754,2016-01-26T22:42:55+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,3017d8a8d8849ebd4feae4f5eae037cd55736a61,src/tool_doswin.h,lib/netrc.h,src/tool_doswin.h,.h,1564.0,34.0,0.45971867007672634,0.6656789429549794,0.17647058823529413,0.0,0.3780778772562214,1,21,0,152,0,3,0,5216.329039351852,422.5715625,lib/netrc.h,.h,1568.0,31.0,0.44642857142857145,0.6737462600597899,0.03225806451612903,0.0,0.33989393828683684,1,18,0,234,0,5,0,5592.649837962963,609.8608101851852,0.038183938969384545,0.013290098648154891,-0.008067317104810456,0.1442125237191651,0.0,0.0,0.0
6,curl,curl-7_42_0,22691f849ac959ffaa821a3ca7f746ee54bd5e52,2015-04-22T05:56:12+00:00,curl:curl-7_42_0,CVE-2016-0754,curl:curl-7_42_0:CVE-2016-0754,expanded_advisory_plus_explicit,explicit_id,CVE-2016-0754,2016-01-26T22:42:55+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,3017d8a8d8849ebd4feae4f5eae037cd55736a61,src/tool_operate.c,lib/transfer.c,src/tool_operate.c,.c,64237.0,1435.0,0.26263679810700996,0.6829589851202302,0.08571428571428572,0.02854022188622487,0.2836919059053974,1,146,18,3730,284,18,7,1295.3279398148147,13.925740740740741,lib/transfer.c,.c,65242.0,1526.0,0.29713987921890805,0.710437023833932,0.20445609436435125,0.07879025593914317,0.3398574428446451,1,608,18,21940,221,29,7,5592.649837962963,14.417233796296296,-0.056165536939247696,-0.03450308111189809,-0.027478038713701802,-0.11874180865006553,-0.0502500340529183,0.0,0.24981179839637147
7,curl,curl-7_54_1,54b636f14546d3fde9f9c67c3b32701d78563161,2017-06-14T06:08:56+00:00,curl:curl-7_54_1,CVE-2017-1000099,curl:curl-7_54_1:CVE-2017-1000099,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2017-1000099;CVE-2017-1000099,2017-08-09T08:00:00+00:00,osv_published,all,6.5,MEDIUM,osv_severity,c9332fa5e84f24da300b42b1a931ade929d3e27d,lib/file.c,lib/asyn-thread.c,lib/file.c,.c,17147.0,477.0,0.3141074240391905,0.7463755465121436,0.16771488469601678,0.0,0.33602440597859184,1,174,11,1914,61,18,5,6376.658680555555,6.380405092592593,lib/asyn-thread.c,.c,17308.0,544.0,0.2727062629997689,0.7211902387010374,0.08272058823529412,0.0,0.2943487875444981,1,123,7,3107,48,16,2,4796.950520833333,34.800925925925924,0.04167561843409373,0.0414011610394216,0.025185307811106172,0.08499429646072267,0.0,0.4054651081081646,0.2353140869344652
8,curl,curl-7_54_1,54b636f14546d3fde9f9c67c3b32701d78563161,2017-06-14T06:08:56+00:00,curl:curl-7_54_1,CVE-2017-1000100,curl:curl-7_54_1:CVE-2017-1000100,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2017-1000100;CVE-2017-1000100,2017-08-09T08:00:00+00:00,osv_published,all,6.5,HIGH,osv_severity,358b2b131ad6c095696f20dcfa62b8305263f898,lib/tftp.c,lib/cookie.c,lib/tftp.c,.c,41430.0,1118.0,0.23142650253439537,0.6257147769278213,0.13595706618962433,0.026678654069490194,0.27240028829681684,1,178,10,4282,73,23,4,4302.6234722222225,37.65459490740741,lib/cookie.c,.c,41223.0,1140.0,0.2926764185042331,0.678964513983703,0.08771929824561403,0.0,0.2903153182579859,1,181,12,4055,206,17,4,6376.658680555555,92.33137731481482,-0.01791502996116906,-0.061249915969837726,-0.05324973705588176,0.0482377679440103,0.026678654069490194,-0.16705408466316607,-1.0286537000611986
9,curl,curl-7_54_1,54b636f14546d3fde9f9c67c3b32701d78563161,2017-06-14T06:08:56+00:00,curl:curl-7_54_1,CVE-2017-1000101,curl:curl-7_54_1:CVE-2017-1000101,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2017-1000101;CVE-2017-1000101,2017-08-09T08:00:00+00:00,osv_published,all,6.5,MEDIUM,osv_severity,453e7a7a03a2cec749abd3878a48e728c515cca7,src/tool_urlglob.c,lib/asyn-ares.c,src/tool_urlglob.c,.c,20132.0,593.0,0.2772203457182595,0.7322826987349679,0.22934232715008432,0.0,0.3348024085343136,1,111,11,2970,118,10,3,6376.658680555555,0.9466550925925926,lib/asyn-ares.c,.c,20135.0,572.0,0.30787186491184504,0.7342085523069742,0.14335664335664336,0.0,0.3245390515853854,1,114,9,2040,67,14,2,4796.950520833333,5.87681712962963,0.010263356948928215,-0.030651519193585552,-0.001925853572006364,0.08598568379344096,0.0,0.18232155679395445,0.5596157879354227
