repo,n_pairs,n_events,n_snapshots,mean_delta_composite,median_delta_composite,positive_share
zlib,12,3,2,0.04855023388284785,0.03064124494324591,0.75
psf-requests,2,1,1,0.021371512373166285,0.021371512373166285,1.0
django-django,3,3,2,0.018951376196113017,0.018755037519951834,1.0
sqlite,12,9,2,0.013821128516861576,0.015816663775570117,0.75
openssl,6,5,1,0.012687061089117343,0.015059325591549655,0.6666666666666666
curl,57,42,5,0.00648524829010807,0.010197523684672083,0.5964912280701754
jq,4,2,1,0.009026265107308973,0.0020503425413729848,0.5
redis,1,1,1,0.0013919033429681815,0.0013919033429681815,1.0
openssh,7,6,3,-0.007073086625327375,-0.004371250366104029,0.2857142857142857
git,10,2,1,0.004616508468566291,-0.009593209577192313,0.4
traefik-traefik,1,1,1,-0.018037185921293497,-0.018037185921293497,0.0
