repo,snapshot_tag,snapshot_date,event_id,event_observation_id,event_published,event_date_source,severity_band,severity_score,severity_label,severity_source,ground_truth_source,ground_truth_aliases,fixed_commit,commit_subject,case_file,control_file,changed_source_files_count,changed_source_files_sample,review_decision,review_notes
curl,curl-7_42_0,2015-04-22T05:56:12+00:00,CVE-2015-3153,curl:curl-7_42_0:CVE-2015-3153,2015-04-29T08:00:00+00:00,osv_published,high_critical,,HIGH,osv_severity,osv_range,CURL-CVE-2015-3153;CVE-2015-3153,6ba2e88a642434bd0ffa95465e4a7d034d03ea10,CURLOPT_HEADEROPT: default to separate,lib/url.c,lib/ftp.c,1,lib/url.c,,
curl,curl-7_42_0,2015-04-22T05:56:12+00:00,CVE-2015-3237,curl:curl-7_42_0:CVE-2015-3237,2015-06-17T08:00:00+00:00,osv_published,high_critical,,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2015-3237;CVE-2015-3237,50c7f17e503fbab5081b69c97f9d4645389b9270,SMB: rangecheck values read off incoming packet,lib/smb.c,lib/ldap.c,1,lib/smb.c,,
curl,curl-7_54_1,2017-06-14T06:08:56+00:00,CVE-2017-1000100,curl:curl-7_54_1:CVE-2017-1000100,2017-08-09T08:00:00+00:00,osv_published,high_critical,6.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2017-1000100;CVE-2017-1000100,358b2b131ad6c095696f20dcfa62b8305263f898,tftp: reject file name lengths that don't fit,lib/tftp.c,lib/cookie.c,1,lib/tftp.c,,
curl,curl-7_54_1,2017-06-14T06:08:56+00:00,CVE-2017-1000254,curl:curl-7_54_1:CVE-2017-1000254,2017-10-04T08:00:00+00:00,osv_published,high_critical,7.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2017-1000254;CVE-2017-1000254,5ff2c5ff25750aba1a8f64fbcad8e5b891512584,FTP: zero terminate the entry path even on bad input,lib/ftp.c,lib/ssh.c,1,lib/ftp.c,,
curl,curl-7_54_1,2017-06-14T06:08:56+00:00,CVE-2017-1000257,curl:curl-7_54_1:CVE-2017-1000257,2017-10-12T08:00:00+00:00,osv_published,high_critical,9.1,CRITICAL,osv_severity,explicit_id+osv_range,CURL-CVE-2017-1000257;CVE-2017-1000257,13c9a9ded3ae744a1e11cbc14e9146d9fa427040,"imap: if a FETCH response has no size, don't call write callback",lib/imap.c,lib/transfer.c,1,lib/imap.c,,
curl,curl-7_54_1,2017-06-14T06:08:56+00:00,CVE-2017-8816,curl:curl-7_54_1:CVE-2017-8816,2017-11-29T08:00:00+00:00,osv_published,high_critical,9.8,CRITICAL,osv_severity,explicit_id+osv_range,CURL-CVE-2017-8816;CVE-2017-8816,7f2a1df6f5fc598750b2c6f34465c8d924db28cc,ntlm: avoid integer overflow for malloc size,lib/curl_ntlm_core.c,lib/socks_sspi.c,1,lib/curl_ntlm_core.c,,
curl,curl-7_54_1,2017-06-14T06:08:56+00:00,CVE-2017-8817,curl:curl-7_54_1:CVE-2017-8817,2017-11-29T08:00:00+00:00,osv_published,high_critical,9.8,CRITICAL,osv_severity,explicit_id+osv_range,CURL-CVE-2017-8817;CVE-2017-8817,0b664ba968437715819bfe4c7ada5679d16ebbc3,wildcardmatch: fix heap buffer overflow in setcharset,lib/curl_fnmatch.c,CMake/CurlTests.c,1,lib/curl_fnmatch.c,,
curl,curl-7_54_1,2017-06-14T06:08:56+00:00,CVE-2017-8818,curl:curl-7_54_1:CVE-2017-8818,2017-11-29T08:00:00+00:00,osv_published,high_critical,9.8,CRITICAL,osv_severity,explicit_id+osv_range,CURL-CVE-2017-8818;CVE-2017-8818,9b5e12a5491d2e6b68e0c88ca56f3a9ef9fba400,url: fix alignment of ssl_backend_data struct,lib/url.c,lib/multi.c,2,lib/url.c;lib/urldata.h,,
curl,curl-7_54_1,2017-06-14T06:08:56+00:00,CVE-2018-1000005,curl:curl-7_54_1:CVE-2018-1000005,2018-01-24T08:00:00+00:00,osv_published,high_critical,9.1,CRITICAL,osv_severity,osv_range,CURL-CVE-2018-1000005;CVE-2018-1000005,fa3dbb9a147488a2943bda809c66fc497efe06cb,http2: fix incorrect trailer buffer size,lib/http2.c,src/tool_getparam.c,1,lib/http2.c,,
curl,curl-7_54_1,2017-06-14T06:08:56+00:00,CVE-2018-1000007,curl:curl-7_54_1:CVE-2018-1000007,2018-01-24T08:00:00+00:00,osv_published,high_critical,9.8,CRITICAL,osv_severity,osv_range,CURL-CVE-2018-1000007;CVE-2018-1000007,af32cd3859336ab963591ca0df9b1e33a7ee066b,http: prevent custom Authorization headers in redirects,lib/http.c,src/tool_operate.c,3,lib/http.c;lib/setopt.c;lib/urldata.h,,
