repo,event_id,published_epoch,published,fixed_commit,fixed_epoch,aliases,source,event_date_source,severity_score,severity_label,severity_source,snapshot_commit,changed_source_files_count,changed_source_files,snapshot_tag,snapshot_date,snapshot_key
curl,CVE-2015-3153,1430294400,2015-04-29T08:00:00+00:00,6ba2e88a642434bd0ffa95465e4a7d034d03ea10,1430247757,CURL-CVE-2015-3153;CVE-2015-3153,osv_range,osv_published,,HIGH,osv_severity,22691f849ac959ffaa821a3ca7f746ee54bd5e52,1,lib/url.c,curl-7_42_0,2015-04-22T05:56:12+00:00,curl:curl-7_42_0
curl,CVE-2015-3237,1434528000,2015-06-17T08:00:00+00:00,50c7f17e503fbab5081b69c97f9d4645389b9270,1434519793,CURL-CVE-2015-3237;CVE-2015-3237,explicit_id+osv_range,osv_published,,HIGH,osv_severity,22691f849ac959ffaa821a3ca7f746ee54bd5e52,1,lib/smb.c,curl-7_42_0,2015-04-22T05:56:12+00:00,curl:curl-7_42_0
curl,CVE-2017-1000100,1502265600,2017-08-09T08:00:00+00:00,358b2b131ad6c095696f20dcfa62b8305263f898,1502090670,CURL-CVE-2017-1000100;CVE-2017-1000100,explicit_id+osv_range,osv_published,6.5,HIGH,osv_severity,54b636f14546d3fde9f9c67c3b32701d78563161,1,lib/tftp.c,curl-7_54_1,2017-06-14T06:08:56+00:00,curl:curl-7_54_1
curl,CVE-2017-1000254,1507104000,2017-10-04T08:00:00+00:00,5ff2c5ff25750aba1a8f64fbcad8e5b891512584,1506923417,CURL-CVE-2017-1000254;CVE-2017-1000254,explicit_id+osv_range,osv_published,7.5,HIGH,osv_severity,54b636f14546d3fde9f9c67c3b32701d78563161,1,lib/ftp.c,curl-7_54_1,2017-06-14T06:08:56+00:00,curl:curl-7_54_1
curl,CVE-2017-1000257,1507795200,2017-10-12T08:00:00+00:00,13c9a9ded3ae744a1e11cbc14e9146d9fa427040,1508680963,CURL-CVE-2017-1000257;CVE-2017-1000257,explicit_id+osv_range,osv_published,9.1,CRITICAL,osv_severity,54b636f14546d3fde9f9c67c3b32701d78563161,1,lib/imap.c,curl-7_54_1,2017-06-14T06:08:56+00:00,curl:curl-7_54_1
curl,CVE-2017-8816,1511942400,2017-11-29T08:00:00+00:00,7f2a1df6f5fc598750b2c6f34465c8d924db28cc,1511767174,CURL-CVE-2017-8816;CVE-2017-8816,explicit_id+osv_range,osv_published,9.8,CRITICAL,osv_severity,54b636f14546d3fde9f9c67c3b32701d78563161,1,lib/curl_ntlm_core.c,curl-7_54_1,2017-06-14T06:08:56+00:00,curl:curl-7_54_1
curl,CVE-2017-8817,1511942400,2017-11-29T08:00:00+00:00,0b664ba968437715819bfe4c7ada5679d16ebbc3,1511767174,CURL-CVE-2017-8817;CVE-2017-8817,explicit_id+osv_range,osv_published,9.8,CRITICAL,osv_severity,54b636f14546d3fde9f9c67c3b32701d78563161,1,lib/curl_fnmatch.c,curl-7_54_1,2017-06-14T06:08:56+00:00,curl:curl-7_54_1
curl,CVE-2017-8818,1511942400,2017-11-29T08:00:00+00:00,9b5e12a5491d2e6b68e0c88ca56f3a9ef9fba400,1511767165,CURL-CVE-2017-8818;CVE-2017-8818,explicit_id+osv_range,osv_published,9.8,CRITICAL,osv_severity,54b636f14546d3fde9f9c67c3b32701d78563161,2,lib/url.c;lib/urldata.h,curl-7_54_1,2017-06-14T06:08:56+00:00,curl:curl-7_54_1
curl,CVE-2018-1000005,1516780800,2018-01-24T08:00:00+00:00,fa3dbb9a147488a2943bda809c66fc497efe06cb,1515656004,CURL-CVE-2018-1000005;CVE-2018-1000005,osv_range,osv_published,9.1,CRITICAL,osv_severity,54b636f14546d3fde9f9c67c3b32701d78563161,1,lib/http2.c,curl-7_54_1,2017-06-14T06:08:56+00:00,curl:curl-7_54_1
curl,CVE-2018-1000007,1516780800,2018-01-24T08:00:00+00:00,af32cd3859336ab963591ca0df9b1e33a7ee066b,1516611600,CURL-CVE-2018-1000007;CVE-2018-1000007,osv_range,osv_published,9.8,CRITICAL,osv_severity,54b636f14546d3fde9f9c67c3b32701d78563161,2,lib/http.c;lib/urldata.h,curl-7_54_1,2017-06-14T06:08:56+00:00,curl:curl-7_54_1
curl,CVE-2018-1000300,1526457600,2018-05-16T08:00:00+00:00,583b42cb3b809b1bf597af160468ccba728c2248,1526276431,CURL-CVE-2018-1000300;CVE-2018-1000300,explicit_id+osv_range,osv_published,9.8,CRITICAL,osv_severity,54b636f14546d3fde9f9c67c3b32701d78563161,1,lib/pingpong.c,curl-7_54_1,2017-06-14T06:08:56+00:00,curl:curl-7_54_1
curl,CVE-2019-5481,1568188800,2019-09-11T08:00:00+00:00,9069838b30fb3b48af0123e39f664cea683254a5,1568009674,CURL-CVE-2019-5481;CVE-2019-5481,explicit_id+osv_range,osv_published,9.8,CRITICAL,osv_severity,72c2cac8f0ac3a89c21d00b6c6e36fe6c6a8e62b,1,lib/security.c,curl-7_65_2,2019-07-17T07:26:17+00:00,curl:curl-7_65_2
