pair_id,repo,snapshot_tag,snapshot_key,event_id,event_observation_id,ground_truth_policy,ground_truth_source,label,kind,file_path,suffix,loc,size_bytes,ci_gzip,shannon_entropy,cyclomatic_density,halstead_volume,composite_score,directory_depth,prior_touches_total,prior_touches_365d,total_churn,churn_365d,author_count_total,author_count_365d,file_age_days,latest_touch_days,log_loc,log_size_bytes,log_prior_touches_total,log_prior_touches_365d,log_total_churn,log_churn_365d
0,curl,curl-7_42_0,curl:curl-7_42_0,CVE-2015-3153,curl:curl-7_42_0:CVE-2015-3153,expanded_advisory_plus_explicit,osv_range,1,case,lib/url.c,.c,4753.0,188963.0,0.25444134566026155,0.6360473428301345,0.14306753629286767,0.23253054550896818,0.31163731337130357,1.0,1164.0,62.0,31774.0,719.0,64.0,19.0,5592.649837962963,0.35805555555555557,8.46674164792014,12.14931179970841,7.060476365999801,4.143134726391533,10.366435096057655,6.579251212010101
0,curl,curl-7_42_0,curl:curl-7_42_0,CVE-2015-3153,curl:curl-7_42_0:CVE-2015-3153,expanded_advisory_plus_explicit,osv_range,0,control,lib/ftp.c,.c,3568.0,138122.0,0.258865350921649,0.6608371204593569,0.1577914798206278,0.13174126137648692,0.30820477445696176,1.0,702.0,18.0,25120.0,297.0,25.0,5.0,5592.649837962963,35.70734953703704,8.18004072349016,11.835899871511314,6.555356891810665,2.9444389791664403,10.131459428706979,5.697093486505405
1,curl,curl-7_42_0,curl:curl-7_42_0,CVE-2015-3237,curl:curl-7_42_0:CVE-2015-3237,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,lib/smb.c,.c,778.0,27334.0,0.22722616521548256,0.7097185982226264,0.13753213367609254,0.03037807481771022,0.29333337068571463,1.0,63.0,37.0,1668.0,1467.0,6.0,5.0,5216.329039351852,28.29804398148148,6.658011045870748,10.2159232113291,4.1588830833596715,3.6375861597263857,7.419979923661835,7.291656209174461
1,curl,curl-7_42_0,curl:curl-7_42_0,CVE-2015-3237,curl:curl-7_42_0:CVE-2015-3237,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,lib/ldap.c,.c,828.0,26776.0,0.23382880191216016,0.7259944443829669,0.17632850241545894,0.009275714091985243,0.30660746379647363,1.0,169.0,36.0,3847.0,873.0,12.0,5.0,5592.649837962963,28.29804398148148,6.720220155135295,10.195298589071585,5.135798437050262,3.6109179126442243,8.255308811785596,6.773080375655535
2,curl,curl-7_54_1,curl:curl-7_54_1,CVE-2017-1000100,curl:curl-7_54_1:CVE-2017-1000100,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,lib/tftp.c,.c,1118.0,41430.0,0.23142650253439537,0.6257147769278213,0.13595706618962433,0.026678654069490194,0.27240028829681684,1.0,178.0,10.0,4282.0,73.0,23.0,4.0,4302.6234722222225,37.65459490740741,7.020190708311925,10.631784671878874,5.187385805840755,2.3978952727983707,8.36240897761537,4.30406509320417
2,curl,curl-7_54_1,curl:curl-7_54_1,CVE-2017-1000100,curl:curl-7_54_1:CVE-2017-1000100,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,lib/cookie.c,.c,1140.0,41223.0,0.2926764185042331,0.678964513983703,0.08771929824561403,0.0,0.2903153182579859,1.0,181.0,12.0,4055.0,206.0,17.0,4.0,6376.658680555555,92.33137731481482,7.039660349862076,10.62677589000806,5.204006687076795,2.5649493574615367,8.30795254527102,5.332718793265369
3,curl,curl-7_54_1,curl:curl-7_54_1,CVE-2017-1000254,curl:curl-7_54_1:CVE-2017-1000254,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,lib/ftp.c,.c,3535.0,136695.0,0.2597754124144994,0.6614420619351947,0.1586987270155587,0.1310612781659529,0.30889461574483373,1.0,749.0,30.0,25819.0,526.0,34.0,10.0,6376.658680555555,34.87927083333334,8.170751423757535,11.82551476112811,6.620073206530356,3.4339872044851463,10.158904664400634,6.267200548541362
3,curl,curl-7_54_1,curl:curl-7_54_1,CVE-2017-1000254,curl:curl-7_54_1:CVE-2017-1000254,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,lib/ssh.c,.c,2838.0,110668.0,0.2056692088047132,0.6723263992005173,0.15821000704721636,0.14635243732711806,0.2964045356240317,1.0,307.0,25.0,17665.0,509.0,28.0,6.0,3876.341851851852,19.796145833333334,7.951207156472972,11.614299043345595,5.730099782973574,3.258096538021482,9.779397167305078,6.234410725718371
4,curl,curl-7_54_1,curl:curl-7_54_1,CVE-2017-1000257,curl:curl-7_54_1:CVE-2017-1000257,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,lib/imap.c,.c,1570.0,60637.0,0.2257532529643617,0.6340041898995966,0.24394904458598726,0.05468944598876373,0.30278229178563176,1.0,297.0,9.0,8442.0,76.0,20.0,3.0,2740.3436921296297,79.34204861111111,7.359467638255621,11.012677038242007,5.697093486505405,2.302585092994046,9.0410929746695,4.343805421853684
4,curl,curl-7_54_1,curl:curl-7_54_1,CVE-2017-1000257,curl:curl-7_54_1:CVE-2017-1000257,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,lib/transfer.c,.c,1508.0,64157.0,0.2937793225992487,0.7090546526873882,0.21021220159151194,0.08008998999203047,0.33999954666958637,1.0,655.0,24.0,22499.0,318.0,37.0,7.0,6376.658680555555,14.853634259259259,7.319202458767849,11.06910406998471,6.486160788944089,3.2188758248682006,10.021270588192511,5.765191102784844
