pair_id,repo,snapshot_tag,snapshot_commit,snapshot_date,snapshot_key,event_id,event_observation_id,ground_truth_policy,ground_truth_source,ground_truth_aliases,event_published,event_date_source,fixed_commit,case_file,control_file,case_file_path,case_suffix,case_size_bytes,case_loc,case_ci_gzip,case_shannon_entropy,case_cyclomatic_density,case_halstead_volume,case_composite_score,case_directory_depth,case_prior_touches_total,case_prior_touches_365d,case_total_churn,case_churn_365d,case_author_count_total,case_author_count_365d,case_file_age_days,case_latest_touch_days,control_file_path,control_suffix,control_size_bytes,control_loc,control_ci_gzip,control_shannon_entropy,control_cyclomatic_density,control_halstead_volume,control_composite_score,control_directory_depth,control_prior_touches_total,control_prior_touches_365d,control_total_churn,control_churn_365d,control_author_count_total,control_author_count_365d,control_file_age_days,control_latest_touch_days,delta_composite,delta_ci_gzip,delta_entropy,delta_cc_density,delta_halstead,delta_log_prior_touches_365d,delta_log_churn_365d
0,curl,curl-7_37_0,3fed9acaef45ac8b99ceecc38afbed3494e2d3ef,2014-05-20T21:42:47+00:00,curl:curl-7_37_0,CVE-2014-3613,curl:curl-7_37_0:CVE-2014-3613,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2014-3613;CVE-2014-3613,2014-09-10T08:00:00+00:00,osv_published,8a75dbeb2305297640453029b7905ef51b87e8dd,lib/cookie.c,lib/connect.c,lib/cookie.c,.c,37964.0,1038.0,0.291117901169529,0.6755200311916011,0.09344894026974952,0.0,0.2905595083449148,1,148,7,3465,320,10,4,5256.3071875,123.57314814814815,lib/connect.c,.c,39634.0,1065.0,0.3015088055709744,0.7254789738702444,0.16338028169014085,0.06617780977719878,0.3340018409436301,1,341,30,6527,704,23,5,4614.530208333334,5.09337962962963,-0.04344233259871533,-0.010390904401445411,-0.049958942678643314,-0.06993134142039133,-0.06617780977719878,-1.3545456628053105,-0.7867566796822532
1,curl,curl-7_37_0,3fed9acaef45ac8b99ceecc38afbed3494e2d3ef,2014-05-20T21:42:47+00:00,curl:curl-7_37_0,CVE-2014-3707,curl:curl-7_37_0:CVE-2014-3707,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2014-3707;CVE-2014-3707,2014-11-05T08:00:00+00:00,osv_published,b3875606925536f82fc61f3114ac42f29eaf6945,lib/formdata.c,lib/telnet.c,lib/formdata.c,.c,46495.0,1319.0,0.2541778685880202,0.69011685851983,0.17437452615617893,0.009275714091985243,0.3029585162913672,1,158,9,6294,161,8,3,5256.3071875,100.52251157407407,lib/telnet.c,.c,46237.0,1391.0,0.22107835715985033,0.7088386514261761,0.203450754852624,0.05235619560570122,0.3104570004966011,1,150,4,6304,54,15,2,5256.3071875,31.347025462962964,-0.007498484205233857,0.03309951142816989,-0.018721792906346124,-0.029076228696445078,-0.043080481513715976,0.6931471805599456,1.0802631499999125
2,curl,curl-7_37_0,3fed9acaef45ac8b99ceecc38afbed3494e2d3ef,2014-05-20T21:42:47+00:00,curl:curl-7_37_0,CVE-2014-3707,curl:curl-7_37_0:CVE-2014-3707,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2014-3707;CVE-2014-3707,2014-11-05T08:00:00+00:00,osv_published,b3875606925536f82fc61f3114ac42f29eaf6945,lib/strdup.c,src/tool_binmode.c,lib/strdup.c,.c,1502.0,41.0,0.45872170439414117,0.6899257272009703,0.0975609756097561,0.0,0.3644926255473332,1,26,0,198,0,3,0,5256.3071875,496.9117708333333,src/tool_binmode.c,.c,1456.0,43.0,0.46016483516483514,0.6803275278871005,0.023255813953488372,0.0,0.3438445534088651,1,29,0,314,0,2,0,5256.3071875,499.18217592592595,0.020648072138468088,-0.0014431307706939678,0.009598199313869848,0.07430516165626773,0.0,0.0,0.0
3,curl,curl-7_37_0,3fed9acaef45ac8b99ceecc38afbed3494e2d3ef,2014-05-20T21:42:47+00:00,curl:curl-7_37_0,CVE-2014-3707,curl:curl-7_37_0:CVE-2014-3707,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2014-3707;CVE-2014-3707,2014-11-05T08:00:00+00:00,osv_published,b3875606925536f82fc61f3114ac42f29eaf6945,lib/strdup.h,lib/gopher.h,lib/strdup.h,.h,1214.0,27.0,0.471993410214168,0.6333555255262023,0.037037037037037035,0.0,0.3405800187297719,1,12,0,82,0,3,0,4016.2311689814815,496.9117708333333,lib/gopher.h,.h,1208.0,26.0,0.4685430463576159,0.6278054158717854,0.038461538461538464,0.0,0.3381864957577239,1,17,0,157,0,4,0,5256.3071875,499.18217592592595,0.002393522972047979,0.003450363856552119,0.005550109654416935,-0.0014245014245014287,0.0,0.0,0.0
4,curl,curl-7_37_0,3fed9acaef45ac8b99ceecc38afbed3494e2d3ef,2014-05-20T21:42:47+00:00,curl:curl-7_37_0,CVE-2014-3707,curl:curl-7_37_0:CVE-2014-3707,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2014-3707;CVE-2014-3707,2014-11-05T08:00:00+00:00,osv_published,b3875606925536f82fc61f3114ac42f29eaf6945,lib/url.c,lib/ftp.c,lib/url.c,.c,183708.0,4597.0,0.2554924118710127,0.6365046342900144,0.14291929519251687,0.22854022188622486,0.3115317217451176,1,1106,65,31085,1051,50,16,5256.3071875,13.491296296296296,lib/ftp.c,.c,138574.0,3582.0,0.25827355781026745,0.6611573313739132,0.1605248464544947,0.13241805466187415,0.3088595368078112,1,686,25,24839,780,23,4,5256.3071875,24.226122685185185,0.002672184937306421,-0.00278114593925477,-0.024652697083898834,-0.017605551261977825,0.09612216722435071,0.931558204004943,0.2978732434579694
5,curl,curl-7_37_0,3fed9acaef45ac8b99ceecc38afbed3494e2d3ef,2014-05-20T21:42:47+00:00,curl:curl-7_37_0,CVE-2014-3707,curl:curl-7_37_0:CVE-2014-3707,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2014-3707;CVE-2014-3707,2014-11-05T08:00:00+00:00,osv_published,b3875606925536f82fc61f3114ac42f29eaf6945,lib/urldata.h,lib/config-vxworks.h,lib/urldata.h,.h,68110.0,1365.0,0.3133313757157539,0.69940521037148,0.014652014652014652,0.19815672819030147,0.3126451467622537,1,576,36,6449,181,48,14,5256.3071875,5.09337962962963,lib/config-vxworks.h,.h,26521.0,195.0,0.2022925229063761,0.5866949394461727,0.005128205128205128,0.0,0.21669942326135017,1,44,0,2050,0,6,0,2964.9944444444445,451.1192361111111,0.09594572350090352,0.11103885280937784,0.11271027092530728,0.009523809523809525,0.19815672819030147,3.6109179126442243,5.204006687076795
6,curl,curl-7_37_0,3fed9acaef45ac8b99ceecc38afbed3494e2d3ef,2014-05-20T21:42:47+00:00,curl:curl-7_37_0,CVE-2014-3707,curl:curl-7_37_0:CVE-2014-3707,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2014-3707;CVE-2014-3707,2014-11-05T08:00:00+00:00,osv_published,b3875606925536f82fc61f3114ac42f29eaf6945,src/tool_setup.h,lib/rtsp.h,src/tool_setup.h,.h,2391.0,55.0,0.4713508992053534,0.7259513290070827,0.05454545454545454,0.0,0.3635613909250784,1,24,0,231,0,4,0,4989.965729166666,468.7436574074074,lib/rtsp.h,.h,2356.0,54.0,0.4410016977928693,0.6044894630315135,0.018518518518518517,0.0,0.3139650683926014,1,11,0,161,0,3,0,1580.3224189814814,499.18217592592595,0.04959632253247698,0.030349201412484095,0.12146186597556918,0.036026936026936025,0.0,0.0,0.0
7,curl,curl-7_37_0,3fed9acaef45ac8b99ceecc38afbed3494e2d3ef,2014-05-20T21:42:47+00:00,curl:curl-7_37_0,CVE-2015-3148,curl:curl-7_37_0:CVE-2015-3148,expanded_advisory_plus_explicit,explicit_id,CVE-2015-3148,2015-04-21T21:20:37+00:00,fixed_commit_epoch,79b9d5f1a42578f807a6c94914bc65cbaa304b6d,lib/http.c,lib/ssh.c,lib/http.c,.c,118124.0,2892.0,0.25910060614269753,0.6827405879297536,0.22268326417704012,0.12761244052742385,0.32984619748706107,1,561,31,15548,675,31,7,5256.3071875,0.2863773148148148,lib/ssh.c,.c,105819.0,2709.0,0.20665475954223722,0.6741822952613471,0.15466961978589885,0.1405141463136344,0.2954804603481148,1,253,19,16798,172,18,7,2755.9903587962963,24.226122685185185,0.03436573713894625,0.05244584660046031,0.008558292668406464,0.06801364439114127,-0.012901705786210554,0.4700036292457357,1.362901481545185
8,curl,curl-7_37_0,3fed9acaef45ac8b99ceecc38afbed3494e2d3ef,2014-05-20T21:42:47+00:00,curl:curl-7_37_0,CVE-2016-0754,curl:curl-7_37_0:CVE-2016-0754,expanded_advisory_plus_explicit,explicit_id,CVE-2016-0754,2016-01-26T22:42:55+00:00,fixed_commit_epoch,3017d8a8d8849ebd4feae4f5eae037cd55736a61,src/tool_cb_hdr.c,lib/if2ip.c,src/tool_cb_hdr.c,.c,5988.0,177.0,0.4166666666666667,0.7655248959902614,0.12429378531073447,0.0,0.3678593686107088,1,17,0,337,0,3,0,969.2514004629629,499.18217592592595,lib/if2ip.c,.c,5957.0,181.0,0.3337250293772033,0.7717371513380908,0.1270718232044199,0.0,0.34146683431326186,1,81,0,872,0,9,0,5256.3071875,405.29019675925923,0.026392534297446923,0.08294163728946341,-0.006212255347829432,-0.0027780378936854283,0.0,0.0,0.0
9,curl,curl-7_37_0,3fed9acaef45ac8b99ceecc38afbed3494e2d3ef,2014-05-20T21:42:47+00:00,curl:curl-7_37_0,CVE-2016-0754,curl:curl-7_37_0:CVE-2016-0754,expanded_advisory_plus_explicit,explicit_id,CVE-2016-0754,2016-01-26T22:42:55+00:00,fixed_commit_epoch,3017d8a8d8849ebd4feae4f5eae037cd55736a61,src/tool_doswin.c,src/tool_cb_dbg.c,src/tool_doswin.c,.c,8269.0,241.0,0.39702503325674204,0.7544398448555464,0.17427385892116182,0.0,0.36975451333886405,1,14,1,335,6,4,1,974.2253472222222,86.3565625,src/tool_cb_dbg.c,.c,8333.0,233.0,0.33817352694107766,0.7687115575670438,0.27896995708154504,0.0,0.3792730727699115,1,11,4,335,22,3,1,969.2514004629629,80.13369212962964,-0.009518559431047457,0.05885150631566438,-0.014271712711497408,-0.10469609816038322,0.0,-0.916290731874155,-1.1895840668738364
