roc_auc,average_precision,brier_score,log_loss,pairwise_accuracy,model,held_out_repo,n_files,n_pairs
0.5832489743726357,0.6022241482211776,0.2462966789201164,0.6856976997932588,0.6058394160583942,baseline_size,curl,274,137
0.5925195801587725,0.6119228558837068,0.24460258870359655,0.6813774820562537,0.6131386861313869,baseline_history,curl,274,137
0.5843145612446055,0.606861593273406,0.24597293346214025,0.6843795896333597,0.6131386861313869,baseline_history_plus_structure,curl,274,137
0.5959294581490756,0.6237920941232424,0.24205197544407311,0.6751453127400231,0.635036496350365,baseline_plus_composite,curl,274,137
0.6,0.6087301587301587,0.24913063799203336,0.691825095074182,0.6,baseline_size,django-django,10,5
0.64,0.6277777777777778,0.24957042530310192,0.6923217339056967,0.6,baseline_history,django-django,10,5
0.36,0.5688888888888889,0.2555096542072749,0.7041960558323854,0.4,baseline_history_plus_structure,django-django,10,5
0.31999999999999995,0.5546031746031745,0.2634850308267794,0.7193810195685373,0.4,baseline_plus_composite,django-django,10,5
0.5692729766803841,0.6075173595568513,0.24601811189970238,0.6851164998242856,0.5925925925925926,baseline_size,git,54,27
0.5692729766803841,0.5706600099925057,0.2595981445062079,0.7170538173716868,0.5555555555555556,baseline_history,git,54,27
0.5541838134430727,0.5342799694383309,0.26258887563344097,0.7243355252229435,0.48148148148148145,baseline_history_plus_structure,git,54,27
0.5679012345679012,0.5549392366059944,0.25606220789372885,0.7095617566166154,0.5185185185185185,baseline_plus_composite,git,54,27
0.4897959183673469,0.5954957740672027,0.24888131539369576,0.690534174643281,0.42857142857142855,baseline_size,jq,14,7
0.5102040816326531,0.6555032269317984,0.30272259163740445,1.0495346251973878,0.2857142857142857,baseline_history,jq,14,7
0.5102040816326531,0.6555032269317984,0.30255201147632566,1.0397498691830398,0.2857142857142857,baseline_history_plus_structure,jq,14,7
0.5510204081632654,0.6412698412698412,0.2995280481893591,0.9651915355967046,0.42857142857142855,baseline_plus_composite,jq,14,7
0.64,0.6831727044884939,0.24660375512409344,0.6862272924398581,0.7,baseline_size,openssh,20,10
0.79,0.7933225108225107,0.22336296435803887,0.638454859125026,0.8,baseline_history,openssh,20,10
0.76,0.7588768094650448,0.22872629068971354,0.6493453265949178,0.8,baseline_history_plus_structure,openssh,20,10
0.6900000000000001,0.6890601503759397,0.23736148061599321,0.6678662133388334,0.7,baseline_plus_composite,openssh,20,10
0.5088449531737773,0.4915181889879072,0.25411724418927817,0.7015707808452869,0.5806451612903226,baseline_size,openssl,62,31
0.6711758584807491,0.7140331595107314,0.23120088818318332,0.6550910398052611,0.6774193548387096,baseline_history,openssl,62,31
0.6503642039542143,0.6790855662627583,0.23390753096063807,0.6601662218844014,0.6774193548387096,baseline_history_plus_structure,openssl,62,31
0.5723204994797086,0.5737723738876149,0.2479644467813224,0.6901656487666916,0.6129032258064516,baseline_plus_composite,openssl,62,31
1.0,1.0,0.2540677805030729,0.7013496285208092,1.0,baseline_size,pallets-flask,2,1
0.0,0.5,0.2508645163132972,0.6948765564785023,0.0,baseline_history,pallets-flask,2,1
0.0,0.5,0.2559488476142243,0.705045435500369,0.0,baseline_history_plus_structure,pallets-flask,2,1
0.0,0.5,0.3377849877904682,0.8708317709650981,0.0,baseline_plus_composite,pallets-flask,2,1
1.0,1.0,0.23186617741101448,0.656522832592513,1.0,baseline_size,php-src,2,1
0.0,0.5,0.3634672197914407,0.9448150987740473,0.0,baseline_history,php-src,2,1
0.0,0.5,0.3605619681703096,0.9363151787568149,0.0,baseline_history_plus_structure,php-src,2,1
0.0,0.5,0.35951809423373826,0.9278212142179967,0.0,baseline_plus_composite,php-src,2,1
0.4444444444444445,0.5555555555555556,0.2612561557493929,0.7158624166229038,0.3333333333333333,baseline_size,psf-requests,6,3
0.33333333333333337,0.5,0.2543128275753653,0.7017772206393472,0.3333333333333333,baseline_history,psf-requests,6,3
0.33333333333333337,0.5,0.2587529478417814,0.710688963359102,0.3333333333333333,baseline_history_plus_structure,psf-requests,6,3
0.6666666666666667,0.6388888888888888,0.2575224385645502,0.7089932754106091,0.6666666666666666,baseline_plus_composite,psf-requests,6,3
0.5702479338842974,0.6356567674749493,0.24944691031170044,0.6918895135325049,0.5454545454545454,baseline_size,sqlite,22,11
0.36363636363636365,0.4439724018671387,0.28357844566459356,0.7623918891027288,0.36363636363636365,baseline_history,sqlite,22,11
0.39669421487603307,0.5119322198269567,0.28056798778011327,0.7565369518466493,0.36363636363636365,baseline_history_plus_structure,sqlite,22,11
0.5537190082644627,0.66538764266037,0.25982817066345587,0.7156120763728057,0.45454545454545453,baseline_plus_composite,sqlite,22,11
0.359375,0.45074786324786326,0.2785141165612073,0.7516872994449854,0.375,baseline_size,traefik-traefik,16,8
0.328125,0.4300820707070707,0.27877404206593537,0.7533642211135921,0.375,baseline_history,traefik-traefik,16,8
0.34375,0.5067151598401598,0.2759695019635022,0.7472903146680276,0.375,baseline_history_plus_structure,traefik-traefik,16,8
0.578125,0.5543470418470418,0.25245394785434794,0.7009508402946445,0.625,baseline_plus_composite,traefik-traefik,16,8
0.7069943289224954,0.6804774606813208,0.23870124894057387,0.6708343606385659,0.6521739130434783,baseline_size,zlib,46,23
0.775047258979206,0.7974577034781072,0.24482084499326076,0.6756331500180899,0.8260869565217391,baseline_history,zlib,46,23
0.7353497164461248,0.7503537652470168,0.2568350156598975,0.7015985800637566,0.8260869565217391,baseline_history_plus_structure,zlib,46,23
0.8128544423440454,0.8251655421176347,0.22136229619784215,0.6202694809524593,0.782608695652174,baseline_plus_composite,zlib,46,23
