repo,snapshot_tag,snapshot_date,event_id,event_observation_id,event_published,event_date_source,severity_band,severity_score,severity_label,severity_source,ground_truth_source,ground_truth_aliases,fixed_commit,commit_subject,case_file,control_file,changed_source_files_count,changed_source_files_sample,review_decision,review_notes
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2014-3620,curl:curl-7_37_0:CVE-2014-3620,2014-09-10T08:00:00+00:00,osv_published,high_critical,,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2014-3620;CVE-2014-3620,a76825a5efa6b41d3a1d4f275dada2f017f6f566,cookies: reject incoming cookies set for TLDs,lib/cookie.c,lib/connect.c,1,lib/cookie.c,,
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2014-8150,curl:curl-7_37_0:CVE-2014-8150,2015-01-08T08:00:00+00:00,osv_published,high_critical,,HIGH,osv_severity,osv_range,CURL-CVE-2014-8150;CVE-2014-8150,178bd7db34f77e020fb8562890c5625ccbd67093,url-parsing: reject CRLFs within URLs,lib/url.c,lib/ftp.c,1,lib/url.c,,
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2016-3739,curl:curl-7_37_0:CVE-2016-3739,2016-05-18T08:00:00+00:00,osv_published,high_critical,5.3,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2016-3739;CVE-2016-3739,6efd2fa529a189bf41736a610f6184cd8ad94b4d,"mbedtls/polarssl: set ""hostname"" unconditionally",lib/vtls/polarssl.c,lib/vtls/vtls.c,2,lib/vtls/mbedtls.c;lib/vtls/polarssl.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-5419,curl:curl-7_50_0:CVE-2016-5419,2016-08-03T08:00:00+00:00,osv_published,high_critical,7.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2016-5419;CVE-2016-5419,247d890da88f9ee817079e246c59f3d7d12fde5f,TLS: switch off SSL session id when client cert is used,lib/url.c,lib/ssh.c,3,lib/url.c;lib/urldata.h;lib/vtls/vtls.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-5419,curl:curl-7_50_0:CVE-2016-5419,2016-08-03T08:00:00+00:00,osv_published,high_critical,7.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2016-5419;CVE-2016-5419,247d890da88f9ee817079e246c59f3d7d12fde5f,TLS: switch off SSL session id when client cert is used,lib/urldata.h,lib/config-vxworks.h,3,lib/url.c;lib/urldata.h;lib/vtls/vtls.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-5419,curl:curl-7_50_0:CVE-2016-5419,2016-08-03T08:00:00+00:00,osv_published,high_critical,7.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2016-5419;CVE-2016-5419,247d890da88f9ee817079e246c59f3d7d12fde5f,TLS: switch off SSL session id when client cert is used,lib/vtls/vtls.c,lib/vauth/ntlm.c,3,lib/url.c;lib/urldata.h;lib/vtls/vtls.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8617,curl:curl-7_50_0:CVE-2016-8617,2016-11-02T08:00:00+00:00,osv_published,high_critical,7.0,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2016-8617;CVE-2016-8617,efd24d57426bd77c9b5860e6b297904703750412,base64: check for integer overflow on large input,lib/base64.c,src/tool_cb_dbg.c,1,lib/base64.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8615,curl:curl-7_50_0:CVE-2016-8615,2016-11-02T08:00:00+00:00,osv_published,high_critical,7.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2016-8615;CVE-2016-8615,cff89bc088b7884098ea0c5378bbda3d49c437bc,cookie: replace use of fgets() with custom version,lib/cookie.c,lib/connect.c,1,lib/cookie.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8623,curl:curl-7_50_0:CVE-2016-8623,2016-11-02T08:00:00+00:00,osv_published,high_critical,7.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2016-8623;CVE-2016-8623,c5be3d7267c725dbd093ff3a883e07ee8cf2a1d5,cookies: getlist() now holds deep copies of all cookies,lib/cookie.h,projects/wolfssl_options.h,3,lib/cookie.c;lib/cookie.h;lib/http.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8625,curl:curl-7_50_0:CVE-2016-8625,2016-11-02T08:00:00+00:00,osv_published,high_critical,7.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2016-8625;CVE-2016-8625,9c91ec778104ae3b744b39444d544e82d5ee9ece,idn: switch to libidn2 use and IDNA2008 support,lib/curl_setup.h,lib/config-tpf.h,6,lib/curl_setup.h;lib/easy.c;lib/strerror.c;lib/strerror.h;lib/url.c;lib/version.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8622,curl:curl-7_50_0:CVE-2016-8622,2016-11-02T08:00:00+00:00,osv_published,high_critical,9.8,CRITICAL,osv_severity,explicit_id+osv_range,CURL-CVE-2016-8622;CVE-2016-8622,53e71e47d6b81650d26ec33a58d0dca24c7ffb2c,unescape: avoid integer overflow,lib/dict.c,src/tool_main.c,2,lib/dict.c;lib/escape.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8625,curl:curl-7_50_0:CVE-2016-8625,2016-11-02T08:00:00+00:00,osv_published,high_critical,7.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2016-8625;CVE-2016-8625,9c91ec778104ae3b744b39444d544e82d5ee9ece,idn: switch to libidn2 use and IDNA2008 support,lib/easy.c,lib/ftplistparser.c,6,lib/curl_setup.h;lib/easy.c;lib/strerror.c;lib/strerror.h;lib/url.c;lib/version.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8622,curl:curl-7_50_0:CVE-2016-8622,2016-11-02T08:00:00+00:00,osv_published,high_critical,9.8,CRITICAL,osv_severity,explicit_id+osv_range,CURL-CVE-2016-8622;CVE-2016-8622,53e71e47d6b81650d26ec33a58d0dca24c7ffb2c,unescape: avoid integer overflow,lib/escape.c,src/tool_getpass.c,2,lib/dict.c;lib/escape.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8623,curl:curl-7_50_0:CVE-2016-8623,2016-11-02T08:00:00+00:00,osv_published,high_critical,7.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2016-8623;CVE-2016-8623,c5be3d7267c725dbd093ff3a883e07ee8cf2a1d5,cookies: getlist() now holds deep copies of all cookies,lib/http.c,lib/multi.c,3,lib/cookie.c;lib/cookie.h;lib/http.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8618,curl:curl-7_50_0:CVE-2016-8618,2016-11-02T08:00:00+00:00,osv_published,high_critical,9.8,CRITICAL,osv_severity,explicit_id+osv_range,CURL-CVE-2016-8618;CVE-2016-8618,8732ec40db652c53fa58cd13e2acb8eab6e40874,aprintf: detect wrap-around when growing allocation,lib/mprintf.c,lib/smb.c,1,lib/mprintf.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8621,curl:curl-7_50_0:CVE-2016-8621,2016-11-02T08:00:00+00:00,osv_published,high_critical,7.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2016-8621;CVE-2016-8621,96a80b5a262fb6dd2ddcea7987296f3b9a405618,parsedate: handle cut off numbers better,lib/parsedate.c,src/tool_help.c,1,lib/parsedate.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8619,curl:curl-7_50_0:CVE-2016-8619,2016-11-02T08:00:00+00:00,osv_published,high_critical,9.8,CRITICAL,osv_severity,explicit_id+osv_range,CURL-CVE-2016-8619;CVE-2016-8619,3d6460edeee21d7d790ec570d0887bed1f4366dd,krb5: avoid realloc(0),lib/security.c,lib/select.c,1,lib/security.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8625,curl:curl-7_50_0:CVE-2016-8625,2016-11-02T08:00:00+00:00,osv_published,high_critical,7.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2016-8625;CVE-2016-8625,9c91ec778104ae3b744b39444d544e82d5ee9ece,idn: switch to libidn2 use and IDNA2008 support,lib/strerror.c,lib/ldap.c,6,lib/curl_setup.h;lib/easy.c;lib/strerror.c;lib/strerror.h;lib/url.c;lib/version.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8625,curl:curl-7_50_0:CVE-2016-8625,2016-11-02T08:00:00+00:00,osv_published,high_critical,7.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2016-8625;CVE-2016-8625,9c91ec778104ae3b744b39444d544e82d5ee9ece,idn: switch to libidn2 use and IDNA2008 support,lib/strerror.h,lib/curl_ldap.h,6,lib/curl_setup.h;lib/easy.c;lib/strerror.c;lib/strerror.h;lib/url.c;lib/version.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8625,curl:curl-7_50_0:CVE-2016-8625,2016-11-02T08:00:00+00:00,osv_published,high_critical,7.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2016-8625;CVE-2016-8625,9c91ec778104ae3b744b39444d544e82d5ee9ece,idn: switch to libidn2 use and IDNA2008 support,lib/version.c,lib/hash.c,6,lib/curl_setup.h;lib/easy.c;lib/strerror.c;lib/strerror.h;lib/url.c;lib/version.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-9952,curl:curl-7_50_0:CVE-2016-9952,2016-12-21T08:00:00+00:00,osv_published,high_critical,8.1,HIGH,osv_severity,osv_range,CURL-CVE-2016-9952;CVE-2016-9952,0354eed41085baa5ba8777019ebf5e9ef32c001d,schannel: fix wildcard cert name validation on Win CE,lib/hostcheck.c,src/tool_cfgable.c,2,lib/hostcheck.c;lib/vtls/schannel.c,,
