roc_auc,average_precision,brier_score,log_loss,pairwise_accuracy,model,held_out_repo,n_files,n_pairs
0.5787227556774881,0.5998208532757987,0.24520189134557946,0.6834737027229013,0.5925925925925926,baseline_size,curl,162,81
0.47203170248437737,0.4711666999187941,0.2778213830961653,0.7585882504848327,0.4444444444444444,baseline_history,curl,162,81
0.4709647919524462,0.4734249044946452,0.27856026671983175,0.7606924804070034,0.4444444444444444,baseline_history_plus_structure,curl,162,81
0.5029721079103795,0.49893501570743337,0.2663554439097644,0.7310585484081495,0.49382716049382713,baseline_plus_composite,curl,162,81
0.625,0.6220238095238095,0.25019717051313634,0.6941194848281631,0.5,baseline_size,django-django,8,4
0.5625,0.5666666666666667,0.2461605946571958,0.6854772105038212,0.5,baseline_history,django-django,8,4
0.125,0.3946428571428572,0.2631782612382225,0.7196585767897816,0.25,baseline_history_plus_structure,django-django,8,4
0.3125,0.5821428571428572,0.2734338541904253,0.7390447245553171,0.25,baseline_plus_composite,django-django,8,4
0.60546875,0.5946640616435508,0.24495953721321706,0.6830700247395056,0.625,baseline_size,git,32,16
0.5546875,0.5982499965018004,0.26744218948884857,0.7508927201730577,0.625,baseline_history,git,32,16
0.52734375,0.5776574001676547,0.27724755521490696,0.774346079139166,0.625,baseline_history_plus_structure,git,32,16
0.546875,0.6335101105699974,0.2667748743229411,0.739899072884225,0.5,baseline_plus_composite,git,32,16
0.7777777777777779,0.8055555555555556,0.24113199732384102,0.6750115606304972,1.0,baseline_size,openssh,6,3
1.0,1.0,0.24715951517492177,0.6822087488063358,1.0,baseline_history,openssh,6,3
1.0,1.0,0.24981614542008238,0.6876630229178682,1.0,baseline_history_plus_structure,openssh,6,3
0.7777777777777779,0.8055555555555556,0.2680913996150982,0.7276091333958267,0.6666666666666666,baseline_plus_composite,openssh,6,3
0.4444444444444444,0.6666666666666667,0.2657311104560761,0.7267567560461181,0.3333333333333333,baseline_size,openssl,6,3
0.6666666666666666,0.8333333333333333,0.23555231795216433,0.674940961139033,0.6666666666666666,baseline_history,openssl,6,3
0.6666666666666666,0.8333333333333333,0.23122129739524766,0.664652076857839,0.6666666666666666,baseline_history_plus_structure,openssl,6,3
0.6666666666666667,0.7555555555555555,0.22581602158892092,0.6434139700106966,0.6666666666666666,baseline_plus_composite,openssl,6,3
1.0,1.0,0.2489683614792328,0.6910049994614805,1.0,baseline_size,pallets-flask,2,1
1.0,1.0,0.24774373519652457,0.6886327019570629,1.0,baseline_history,pallets-flask,2,1
0.0,0.5,0.25830374964743463,0.7097669864739833,0.0,baseline_history_plus_structure,pallets-flask,2,1
0.0,0.5,0.369628416435313,0.9398284718821648,0.0,baseline_plus_composite,pallets-flask,2,1
1.0,1.0,0.2356477031431902,0.6635145356286756,1.0,baseline_size,php-src,2,1
0.0,0.5,0.36543422459445524,0.9443934184955938,0.0,baseline_history,php-src,2,1
0.0,0.5,0.3583176678374658,0.9258987657142574,0.0,baseline_history_plus_structure,php-src,2,1
0.0,0.5,0.35456241957289236,0.909832961310143,0.0,baseline_plus_composite,php-src,2,1
0.5,0.75,0.25634340879952605,0.7060099433292628,0.5,baseline_size,psf-requests,4,2
0.25,0.5,0.25298941761617255,0.699140668996387,0.5,baseline_history,psf-requests,4,2
0.25,0.5,0.2539284971936968,0.7010360875249576,0.5,baseline_history_plus_structure,psf-requests,4,2
1.0,1.0,0.22542527715791866,0.6434912844702877,1.0,baseline_plus_composite,psf-requests,4,2
0.6122448979591837,0.6430795395081108,0.2486300201397765,0.6902247964745146,0.5714285714285714,baseline_size,sqlite,14,7
0.40816326530612246,0.4737484737484737,0.28393355513590024,0.7620910660012133,0.42857142857142855,baseline_history,sqlite,14,7
0.46938775510204084,0.5769230769230769,0.29718068997279434,0.7936891168622571,0.42857142857142855,baseline_history_plus_structure,sqlite,14,7
0.5714285714285715,0.6430795395081108,0.26722097653715027,0.7306402484497946,0.42857142857142855,baseline_plus_composite,sqlite,14,7
0.25,0.5,0.3270106562972522,0.8534557346823094,0.0,baseline_size,traefik-traefik,4,2
0.25,0.5,0.3147316302301427,0.8276592724064122,0.0,baseline_history,traefik-traefik,4,2
0.0,0.41666666666666663,0.3154466650858531,0.8285534916817986,0.0,baseline_history_plus_structure,traefik-traefik,4,2
0.5,0.5833333333333333,0.2932200182746283,0.7816886856446739,0.5,baseline_plus_composite,traefik-traefik,4,2
0.6916099773242631,0.6660683494641597,0.2399217822582552,0.6739262606679555,0.6190476190476191,baseline_size,zlib,42,21
0.854875283446712,0.8533237736974277,0.22029225829635393,0.6190338741104824,0.9047619047619048,baseline_history,zlib,42,21
0.8276643990929705,0.8423346452682265,0.2312723189458464,0.642103576648316,0.9047619047619048,baseline_history_plus_structure,zlib,42,21
0.8752834467120181,0.8787683924036318,0.1893539566650308,0.5461293875771881,0.8571428571428571,baseline_plus_composite,zlib,42,21
