repo,n_pairs,n_events,n_snapshots,mean_delta_composite,median_delta_composite,positive_share
zlib,21,3,2,0.05184690589534241,0.04235020292102032,0.8095238095238095
psf-requests,2,1,1,0.021371512373166285,0.021371512373166285,1.0
curl,81,47,5,0.009919134997322823,0.006729971423118486,0.5802469135802469
traefik-traefik,2,2,2,0.006524160666604384,0.006524160666604384,0.5
openssl,3,2,1,0.0057461844442477,0.0043851222323536,0.6666666666666666
php-src,1,1,1,0.004271369151483628,0.004271369151483628,1.0
openssh,3,3,2,-0.0023823941717467565,-0.004191899040380864,0.3333333333333333
sqlite,7,6,1,0.009537770834413586,-0.004797249420839422,0.42857142857142855
git,16,6,2,-0.0019376329087503284,-0.0055797932975890085,0.4375
django-django,4,4,1,-0.010254111472933605,-0.02361996544986844,0.25
pallets-flask,1,1,1,-0.055035075373471354,-0.055035075373471354,0.0
