roc_auc,average_precision,brier_score,log_loss,pairwise_accuracy,model,held_out_repo,n_files,n_pairs
0.5618992695117263,0.5408597469685257,0.24720710275770075,0.6875127549530863,0.5686274509803921,baseline_size,curl,204,102
0.623510188389081,0.6421801232604625,0.2345638314244664,0.6597872078809215,0.6568627450980392,baseline_history,curl,204,102
0.6200499807766244,0.6297157399185159,0.23717253434144445,0.6655971632994182,0.6372549019607843,baseline_history_plus_structure,curl,204,102
0.6230296039984622,0.6485371962971557,0.2328577225003945,0.6555490305666821,0.6862745098039216,baseline_plus_composite,curl,204,102
0.6,0.6087301587301587,0.24760552649601864,0.6887191112786306,0.6,baseline_size,django-django,10,5
0.6799999999999999,0.696190476190476,0.25173472416324266,0.6966672351163498,0.6,baseline_history,django-django,10,5
0.72,0.7295238095238095,0.2437841336889488,0.6805258391074813,0.8,baseline_history_plus_structure,django-django,10,5
0.44000000000000006,0.6000000000000001,0.2620347673235387,0.717416104647845,0.4,baseline_plus_composite,django-django,10,5
0.5582990397805213,0.6118767945362358,0.24628517534711006,0.6856434870693809,0.5925925925925926,baseline_size,git,54,27
0.5171467764060356,0.5014823716036168,0.2887801072005909,0.7885503572504587,0.4444444444444444,baseline_history,git,54,27
0.51440329218107,0.5018822903998748,0.2878453389212058,0.7862948234262501,0.4444444444444444,baseline_history_plus_structure,git,54,27
0.5267489711934156,0.5135314026163718,0.2838393849447092,0.7781331519768481,0.4444444444444444,baseline_plus_composite,git,54,27
0.4375,0.6488095238095237,0.25351215633776464,0.7001680677391573,0.25,baseline_size,jq,8,4
0.75,0.8303571428571428,0.20347600975220645,0.5934897109031059,0.75,baseline_history,jq,8,4
0.8125,0.8928571428571428,0.20403662129022015,0.597931224928735,0.75,baseline_history_plus_structure,jq,8,4
0.75,0.8303571428571428,0.2170286488696061,0.6212035212831598,0.5,baseline_plus_composite,jq,8,4
0.654320987654321,0.7449346405228758,0.24604710725838233,0.6851813009048121,0.6666666666666666,baseline_size,openssh,18,9
0.7777777777777778,0.7611703111703112,0.21382649961020528,0.6193326139916082,0.7777777777777778,baseline_history,openssh,18,9
0.7901234567901234,0.7391855058521726,0.21339104560703573,0.618618399470233,0.7777777777777778,baseline_history_plus_structure,openssh,18,9
0.7530864197530864,0.7464165464165464,0.22071272700469594,0.633613637077875,0.7777777777777778,baseline_plus_composite,openssh,18,9
0.5057232049947971,0.4908545186602509,0.25443187275841217,0.7022431186450753,0.5483870967741935,baseline_size,openssl,62,31
0.7075962539021852,0.7055776933236828,0.22448340431803282,0.641406180932327,0.7419354838709677,baseline_history,openssl,62,31
0.6992715920915713,0.6664369077090079,0.22531656106534154,0.6430367394084695,0.7419354838709677,baseline_history_plus_structure,openssl,62,31
0.627471383975026,0.6036466484248192,0.23944410688746515,0.6742508099918945,0.6774193548387096,baseline_plus_composite,openssl,62,31
1.0,1.0,0.23229776829401072,0.6575689538633941,1.0,baseline_size,php-src,2,1
0.0,0.5,0.36772582843364554,0.9543687148719961,0.0,baseline_history,php-src,2,1
0.0,0.5,0.3792314220139081,0.9821041731925685,0.0,baseline_history_plus_structure,php-src,2,1
0.0,0.5,0.3637258833278859,0.9382174827631888,0.0,baseline_plus_composite,php-src,2,1
0.0,0.5,0.26551838529571803,0.7242154197766741,0.0,baseline_size,psf-requests,2,1
0.0,0.5,0.26065760722345577,0.714636459966239,0.0,baseline_history,psf-requests,2,1
0.0,0.5,0.2662422589424519,0.7256940107812786,0.0,baseline_history_plus_structure,psf-requests,2,1
0.0,0.5,0.2971596162353702,0.7877340943683601,0.0,baseline_plus_composite,psf-requests,2,1
0.5371900826446282,0.6076090576090576,0.2494350150691749,0.6918125290914889,0.5454545454545454,baseline_size,sqlite,22,11
0.40495867768595045,0.46034491823965507,0.2835554053039073,0.7651574654133636,0.36363636363636365,baseline_history,sqlite,22,11
0.4380165289256198,0.4900122206342303,0.27584483679912325,0.7474148758390912,0.36363636363636365,baseline_history_plus_structure,sqlite,22,11
0.5454545454545455,0.599230270620645,0.2631998011033186,0.7233984272878798,0.45454545454545453,baseline_plus_composite,sqlite,22,11
0.3469387755102041,0.4437641723356009,0.2707905971129662,0.7357419802625145,0.42857142857142855,baseline_size,traefik-traefik,14,7
0.3673469387755102,0.4659863945578231,0.28073562969346316,0.7577364428606003,0.42857142857142855,baseline_history,traefik-traefik,14,7
0.38775510204081637,0.4596371882086168,0.2787386007680701,0.7539863005956556,0.42857142857142855,baseline_history_plus_structure,traefik-traefik,14,7
0.5510204081632654,0.6192700156985871,0.25842540634945643,0.710424856501896,0.7142857142857143,baseline_plus_composite,traefik-traefik,14,7
1.0,1.0,0.22273544843633905,0.63841891435752,1.0,baseline_size,zlib,6,3
0.6666666666666667,0.7555555555555555,0.33289133802081855,0.9008669648341431,1.0,baseline_history,zlib,6,3
0.4444444444444445,0.5555555555555556,0.3407258626509446,0.9235155304157286,0.3333333333333333,baseline_history_plus_structure,zlib,6,3
0.5555555555555556,0.7222222222222222,0.33232484228200726,0.9015805253755115,0.6666666666666666,baseline_plus_composite,zlib,6,3
