repo,n_pairs,n_events,n_snapshots,mean_delta_composite,median_delta_composite,positive_share
sqlite,11,8,1,0.015205502757553805,0.013836679681222375,0.7272727272727273
traefik-traefik,7,4,2,0.019242091357833908,0.012855181625124945,0.7142857142857143
curl,102,62,5,0.009725535456014017,0.006278606307459356,0.6078431372549019
php-src,1,1,1,0.004271369151483628,0.004271369151483628,1.0
openssh,9,9,4,-0.001799209248020338,0.001758625744247233,0.5555555555555556
git,27,15,4,0.003264019634124776,0.0003806699271060032,0.5185185185185185
zlib,3,3,2,0.003286523451929424,-0.00231328281432025,0.3333333333333333
jq,4,4,1,-0.006556174917328031,-0.004341265176500075,0.5
openssl,31,18,2,0.0008409304396831256,-0.004958001708231907,0.41935483870967744
django-django,5,5,1,-0.003606321428778536,-0.012153170821788739,0.4
psf-requests,1,1,1,-0.04047930851515663,-0.04047930851515663,0.0
