repo,snapshot_tag,snapshot_date,event_id,event_observation_id,event_published,event_date_source,severity_band,severity_score,severity_label,severity_source,ground_truth_source,ground_truth_source_family,ground_truth_aliases,fixed_commit,commit_subject,case_file,control_file,changed_source_files_count,changed_source_files_sample,review_decision,review_notes
django-django,1.8.1,2015-05-01T20:26:55+00:00,CVE-2016-2513,django-django:1.8.1:CVE-2016-2513,2016-04-08T15:59:00+00:00,osv_published,all,3.1,LOW,osv_severity,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,CVE-2016-2513;GHSA-FP6P-5XVW-M74F;PYSEC-2016-16,f4e6e02f7713a6924d16540be279909ff4091eb6,[1.8.x] Fixed CVE-2016-2513 -- Fixed user enumeration timing attack during login.,django/contrib/auth/hashers.py,django/contrib/admin/filters.py,1,django/contrib/auth/hashers.py,,
django-django,1.8.1,2015-05-01T20:26:55+00:00,CVE-2016-2512,django-django:1.8.1:CVE-2016-2512,2016-04-08T15:59:00+00:00,osv_published,all,7.4,HIGH,osv_severity,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,CVE-2016-2512;GHSA-PW27-W7W4-9QC7;PYSEC-2016-15,382ab137312961ad62feb8109d70a5a581fe8350,[1.8.x] Fixed CVE-2016-2512 -- Prevented spoofing is_safe_url() with basic auth.,django/utils/http.py,django/template/loader_tags.py,1,django/utils/http.py,,
django-django,1.8.1,2015-05-01T20:26:55+00:00,CVE-2016-7401,django-django:1.8.1:CVE-2016-7401,2016-09-14T17:42:24+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,explicit_only,CVE-2016-7401,6118ab7d0676f0d622278e5be215f14fb5410b6a,[1.8.x] Fixed CVE-2016-7401 -- Fixed CSRF protection bypass on a site with Google Analytics.,django/http/cookie.py,django/utils/_os.py,1,django/http/cookie.py,,
django-django,1.8.1,2015-05-01T20:26:55+00:00,CVE-2016-9013,django-django:1.8.1:CVE-2016-9013,2016-10-25T18:24:11+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,explicit_only,CVE-2016-9013,70f99952965a430daf69eeb9947079aae535d2d0,[1.8.x] Fixed CVE-2016-9013 -- Generated a random database user password when running tests on Oracle.,django/db/backends/oracle/creation.py,django/core/management/commands/loaddata.py,1,django/db/backends/oracle/creation.py,,
django-django,1.8.1,2015-05-01T20:26:55+00:00,CVE-2017-7234,django-django:1.8.1:CVE-2017-7234,2017-03-28T16:57:34+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,explicit_only,CVE-2017-7234,4a6b945dffe8d10e7cec107d93e6efaebfbded29,[1.8.x] Fixed CVE-2017-7234 -- Fixed open redirect vulnerability in views.static.serve().,django/views/static.py,django/utils/tree.py,1,django/views/static.py,,
django-django,1.8.17,2016-12-01T22:20:59+00:00,CVE-2017-7234,django-django:1.8.17:CVE-2017-7234,2017-03-28T16:57:34+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,explicit_only,CVE-2017-7234,4a6b945dffe8d10e7cec107d93e6efaebfbded29,[1.8.x] Fixed CVE-2017-7234 -- Fixed open redirect vulnerability in views.static.serve().,django/views/static.py,django/utils/tree.py,1,django/views/static.py,,
django-django,1.11.6,2017-10-05T18:16:31+00:00,CVE-2018-7537,django-django:1.11.6:CVE-2018-7537,2018-02-27T18:56:26+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,explicit_only,CVE-2018-7537,a91436360b79a6ff995c3e5018bcc666dfaf1539,[1.11.x] Fixed CVE-2018-7537 -- Fixed catastrophic backtracking in django.utils.text.Truncator.,django/utils/text.py,django/utils/functional.py,1,django/utils/text.py,,
django-django,1.11.6,2017-10-05T18:16:31+00:00,CVE-2018-7536,django-django:1.11.6:CVE-2018-7536,2018-03-09T20:29:00+00:00,osv_published,all,5.3,MEDIUM,osv_severity,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,CVE-2018-7536;GHSA-R28V-MW67-M5P9;PYSEC-2018-5,abf89d729f210c692a50e0ad3f75fb6bec6fae16,[1.11.x] Fixed CVE-2018-7536 -- Fixed catastrophic backtracking in urlize and urlizetrunc template filters.,django/__init__.py,django/__main__.py,1,django/utils/html.py,,
django-django,1.11.6,2017-10-05T18:16:31+00:00,CVE-2018-7536,django-django:1.11.6:CVE-2018-7536,2018-03-09T20:29:00+00:00,osv_published,all,5.3,MEDIUM,osv_severity,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,CVE-2018-7536;GHSA-R28V-MW67-M5P9;PYSEC-2018-5,abf89d729f210c692a50e0ad3f75fb6bec6fae16,[1.11.x] Fixed CVE-2018-7536 -- Fixed catastrophic backtracking in urlize and urlizetrunc template filters.,django/utils/html.py,django/template/loader_tags.py,1,django/utils/html.py,,
django-django,1.11.6,2017-10-05T18:16:31+00:00,CVE-2018-14574,django-django:1.11.6:CVE-2018-14574,2018-07-25T16:13:03+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,explicit_only,CVE-2018-14574,d6eaee092709aad477a9894598496c6deec532ff,[1.11.x] Fixed CVE-2018-14574 -- Fixed open redirect possibility in CommonMiddleware.,django/middleware/common.py,django/utils/timezone.py,3,django/middleware/common.py;django/urls/resolvers.py;django/utils/http.py,,
