repo,event_id,published_epoch,published,fixed_commit,fixed_epoch,aliases,source,source_family,candidate_commits,candidate_commit_count,event_date_source,severity_score,severity_label,severity_source,snapshot_commit,changed_source_commit_count,changed_source_files_count,changed_source_files,snapshot_tag,snapshot_date,snapshot_key
django-django,CVE-2016-2512,1460131140,2016-04-08T15:59:00+00:00,382ab137312961ad62feb8109d70a5a581fe8350,1456751237,CVE-2016-2512;GHSA-PW27-W7W4-9QC7;PYSEC-2016-15,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,24fc9352183c449a8b11d1c7b442e70aa61a8800;382ab137312961ad62feb8109d70a5a581fe8350;640c99e8b30c97533bc23a7742bd5c9c74353256;a53ee2bbf4e6676ba67160a04d02be63c2bff767;c5544d289233f501917e25970c03ed444abbd4f0;fc6d147a63f89795dbcdecb0559256470fff4380,6,osv_published,7.4,HIGH,osv_severity,3d128dcadd4814bf92d4d83eda87bb68496f36ee,6,1,django/utils/http.py,1.8.1,2015-05-01T20:26:55+00:00,django-django:1.8.1
django-django,CVE-2016-2513,1460131140,2016-04-08T15:59:00+00:00,f4e6e02f7713a6924d16540be279909ff4091eb6,1456751237,CVE-2016-2513;GHSA-FP6P-5XVW-M74F;PYSEC-2016-16,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,67b46ba7016da2d259c1ecc7d666d11f5e1cfaab;af7d09b0c5c6ab68e629fd9baf736f9dd203b18e;f4e6e02f7713a6924d16540be279909ff4091eb6,3,osv_published,3.1,LOW,osv_severity,3d128dcadd4814bf92d4d83eda87bb68496f36ee,3,1,django/contrib/auth/hashers.py,1.8.1,2015-05-01T20:26:55+00:00,django-django:1.8.1
django-django,CVE-2016-7401,1473874944,2016-09-14T17:42:24+00:00,6118ab7d0676f0d622278e5be215f14fb5410b6a,1473874944,CVE-2016-7401,explicit_id,explicit_only,48b1e9fb1746569b13f84158f98c47a557a92ec4;6118ab7d0676f0d622278e5be215f14fb5410b6a;6fe846a8f08dc959003f298b5407e321c6fe3735;a1c2b2095fc126a37c461f6533c068f50e78939a;d1bc980db1c0fffd6d60677e62f70beadb9fe64a;d5430a5ff992992eae19be63da8818356d315751,6,fixed_commit_epoch,,UNKNOWN,unavailable,3d128dcadd4814bf92d4d83eda87bb68496f36ee,6,1,django/http/cookie.py,1.8.1,2015-05-01T20:26:55+00:00,django-django:1.8.1
django-django,CVE-2016-9013,1477419851,2016-10-25T18:24:11+00:00,70f99952965a430daf69eeb9947079aae535d2d0,1477419851,CVE-2016-9013,explicit_id,explicit_only,34e10720d81b8d407aa14d763b6a7fe8f13b4f2e;4844d86c7728c1a5a3bbce4ad336a8d32304072b;70f99952965a430daf69eeb9947079aae535d2d0;734ef022a17180288a2ea65e2319676692bc9926;90c61538bae7b6e86b846fcd1ab7887d9cdb2cbf;b04594135f58ee1bd6b7e42fcdc6036761974feb;b8ae2c16cfc4bf88c1720eafd8e35438181a7413;da7910d4834726eca596af0a830762fa5fb2dfd9,8,fixed_commit_epoch,,UNKNOWN,unavailable,3d128dcadd4814bf92d4d83eda87bb68496f36ee,8,1,django/db/backends/oracle/creation.py,1.8.1,2015-05-01T20:26:55+00:00,django-django:1.8.1
django-django,CVE-2017-7233,1490720254,2017-03-28T16:57:34+00:00,8339277518c7d8ec280070a780915304654e3b66,1490720254,CVE-2017-7233,explicit_id,explicit_only,0b9f366c60134a0ca2873c156b9c80acb7ffd8b5;254326cb3682389f55f886804d2c43f7b9f23e4f;2c3c029edeaa75e01373f3ec4a02fcc9184a2a76;2d656d1fa1b66e3c86d27edc985e839aa921bc8f;5ea48a70afac5e5684b504f09286e7defdd1a81a;8339277518c7d8ec280070a780915304654e3b66;97e77b7bc14eafda704a01881cb2a3dc164947bc;b749c980a066a15b58b236656e57b66073a35a52;f824655bc2c50b19d2f202d7640785caabc82787;fd7105e130e55f67f6b0ba232a8c40f9af51a906,10,fixed_commit_epoch,,UNKNOWN,unavailable,3d128dcadd4814bf92d4d83eda87bb68496f36ee,10,1,django/utils/http.py,1.8.1,2015-05-01T20:26:55+00:00,django-django:1.8.1
django-django,CVE-2017-7234,1490720254,2017-03-28T16:57:34+00:00,4a6b945dffe8d10e7cec107d93e6efaebfbded29,1490720254,CVE-2017-7234,explicit_id,explicit_only,001ff508081a893d0cf81df1214dbd234606c360;2a9f6ef71b8e23fd267ee2be1be26dde8ab67037;4a6b945dffe8d10e7cec107d93e6efaebfbded29;5f1ffb07afc1e59729ce2b283124116d6c0659e4;a1f948b468b6621083a03b0d53432341b7a4d753,5,fixed_commit_epoch,,UNKNOWN,unavailable,3d128dcadd4814bf92d4d83eda87bb68496f36ee,5,1,django/views/static.py,1.8.1,2015-05-01T20:26:55+00:00,django-django:1.8.1
django-django,CVE-2017-7233,1490720254,2017-03-28T16:57:34+00:00,8339277518c7d8ec280070a780915304654e3b66,1490720254,CVE-2017-7233,explicit_id,explicit_only,0b9f366c60134a0ca2873c156b9c80acb7ffd8b5;254326cb3682389f55f886804d2c43f7b9f23e4f;2c3c029edeaa75e01373f3ec4a02fcc9184a2a76;2d656d1fa1b66e3c86d27edc985e839aa921bc8f;5ea48a70afac5e5684b504f09286e7defdd1a81a;8339277518c7d8ec280070a780915304654e3b66;97e77b7bc14eafda704a01881cb2a3dc164947bc;b749c980a066a15b58b236656e57b66073a35a52;f824655bc2c50b19d2f202d7640785caabc82787;fd7105e130e55f67f6b0ba232a8c40f9af51a906,10,fixed_commit_epoch,,UNKNOWN,unavailable,d3d12fc11da56e4ea8af37a22a9a0aa6579ab2d5,10,1,django/utils/http.py,1.8.17,2016-12-01T22:20:59+00:00,django-django:1.8.17
django-django,CVE-2017-7234,1490720254,2017-03-28T16:57:34+00:00,4a6b945dffe8d10e7cec107d93e6efaebfbded29,1490720254,CVE-2017-7234,explicit_id,explicit_only,001ff508081a893d0cf81df1214dbd234606c360;2a9f6ef71b8e23fd267ee2be1be26dde8ab67037;4a6b945dffe8d10e7cec107d93e6efaebfbded29;5f1ffb07afc1e59729ce2b283124116d6c0659e4;a1f948b468b6621083a03b0d53432341b7a4d753,5,fixed_commit_epoch,,UNKNOWN,unavailable,d3d12fc11da56e4ea8af37a22a9a0aa6579ab2d5,5,1,django/views/static.py,1.8.17,2016-12-01T22:20:59+00:00,django-django:1.8.17
django-django,CVE-2018-7537,1519757786,2018-02-27T18:56:26+00:00,a91436360b79a6ff995c3e5018bcc666dfaf1539,1519757786,CVE-2018-7537,explicit_id,explicit_only,94c5da1d17a6b0d378866c66b605102c19f7988c;97b7dd59bb8d6163239061e2022153c3415d146d;a91436360b79a6ff995c3e5018bcc666dfaf1539;d17974a287a6ea2e361daff88fcc004cbd6835fa,4,fixed_commit_epoch,,UNKNOWN,unavailable,5d5ae260f83a530a03d08235fda9e0d575fd61d1,4,1,django/utils/text.py,1.11.6,2017-10-05T18:16:31+00:00,django-django:1.11.6
django-django,CVE-2018-7536,1520627340,2018-03-09T20:29:00+00:00,abf89d729f210c692a50e0ad3f75fb6bec6fae16,1519757659,CVE-2018-7536;GHSA-R28V-MW67-M5P9;PYSEC-2018-5,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,1ca63a66ef3163149ad822701273e8a1844192c2;1cc5aceac0a73468a6d1a671b9c86423e5bcf011;2d73ffc6f96e399716a1ed3f58acd4e99afa3d33;5bbbdd26d1ea4f3bb164ad64b0d0d458d8bfdd02;6a0dc2176f4ebf907e124d433411e52bba39a28e;7636aca6771649c41df96fd4a6eb3226a1c5a4fa;8618271caa0b09daba39ff3b46567d33ae1e1d3a;abf89d729f210c692a50e0ad3f75fb6bec6fae16;c686dd8e6bb3817bcf04b8f13c025b4d3c3dc6dc;c8e5c1f4205078d8b58420cc585917384e51dab2;e157315da3ae7005fa0683ffc9751dbeca7306c8,11,osv_published,5.3,MEDIUM,osv_severity,5d5ae260f83a530a03d08235fda9e0d575fd61d1,11,2,django/__init__.py;django/utils/html.py,1.11.6,2017-10-05T18:16:31+00:00,django-django:1.11.6
