pair_id,repo,snapshot_tag,snapshot_commit,snapshot_date,snapshot_key,event_id,event_observation_id,ground_truth_policy,ground_truth_source,ground_truth_source_family,ground_truth_aliases,event_published,event_date_source,severity_band,severity_score,severity_label,severity_source,fixed_commit,case_file,control_file,case_file_path,case_suffix,case_size_bytes,case_loc,case_ci_gzip,case_shannon_entropy,case_cyclomatic_density,case_halstead_volume,case_composite_score,case_directory_depth,case_prior_touches_total,case_prior_touches_365d,case_total_churn,case_churn_365d,case_author_count_total,case_author_count_365d,case_file_age_days,case_latest_touch_days,control_file_path,control_suffix,control_size_bytes,control_loc,control_ci_gzip,control_shannon_entropy,control_cyclomatic_density,control_halstead_volume,control_composite_score,control_directory_depth,control_prior_touches_total,control_prior_touches_365d,control_total_churn,control_churn_365d,control_author_count_total,control_author_count_365d,control_file_age_days,control_latest_touch_days,delta_composite,delta_ci_gzip,delta_entropy,delta_cc_density,delta_halstead,delta_log_prior_touches_365d,delta_log_churn_365d
0,django-django,1.8.1,3d128dcadd4814bf92d4d83eda87bb68496f36ee,2015-05-01T20:26:55+00:00,django-django:1.8.1,CVE-2016-2513,django-django:1.8.1:CVE-2016-2513,supported_advisory_plus_explicit,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,CVE-2016-2513;GHSA-FP6P-5XVW-M74F;PYSEC-2016-16,2016-04-08T15:59:00+00:00,osv_published,all,3.1,LOW,osv_severity,f4e6e02f7713a6924d16540be279909ff4091eb6,django/contrib/auth/hashers.py,django/contrib/admin/filters.py,django/contrib/auth/hashers.py,.py,17327.0,413.0,0.23985687077970796,0.7593706795776904,0.048426150121065374,0.0,0.28461979860223463,3,42,4,879,73,18,4,1225.6895717592593,81.04362268518518,django/contrib/admin/filters.py,.py,17367.0,370.0,0.203777278747049,0.7474184593599411,0.0918918918918919,0.0,0.2805383227316738,3,32,6,774,49,17,6,1459.404537037037,81.04362268518518,0.004081475870560847,0.03607959203265895,0.011952220217749332,-0.04346574177082652,0.0,-0.33647223662121295,0.39204208777602423
1,django-django,1.8.1,3d128dcadd4814bf92d4d83eda87bb68496f36ee,2015-05-01T20:26:55+00:00,django-django:1.8.1,CVE-2016-2512,django-django:1.8.1:CVE-2016-2512,supported_advisory_plus_explicit,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,CVE-2016-2512;GHSA-PW27-W7W4-9QC7;PYSEC-2016-15,2016-04-08T15:59:00+00:00,osv_published,all,7.4,HIGH,osv_severity,382ab137312961ad62feb8109d70a5a581fe8350,django/utils/http.py,django/template/loader_tags.py,django/utils/http.py,.py,9978.0,251.0,0.36470234515935057,0.8252913147358605,0.055776892430278883,0.0,0.346825480334329,2,53,9,566,74,23,6,2858.344340277778,43.87747685185185,django/template/loader_tags.py,.py,9868.0,218.0,0.2877989460883664,0.8059324546379529,0.16055045871559634,0.0,0.34185380494965606,2,75,8,1213,48,23,4,3579.792337962963,70.96943287037037,0.004971675384672913,0.07690339907098415,0.01935886009790755,-0.10477356628531745,0.0,0.10536051565782634,0.42566781542568366
2,django-django,1.8.1,3d128dcadd4814bf92d4d83eda87bb68496f36ee,2015-05-01T20:26:55+00:00,django-django:1.8.1,CVE-2016-7401,django-django:1.8.1:CVE-2016-7401,supported_advisory_plus_explicit,explicit_id,explicit_only,CVE-2016-7401,2016-09-14T17:42:24+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,6118ab7d0676f0d622278e5be215f14fb5410b6a,django/http/cookie.py,django/utils/_os.py,django/http/cookie.py,.py,4390.0,91.0,0.34464692482915715,0.8282508832124414,0.1978021978021978,0.0,0.3787608025239711,2,8,2,120,24,5,1,922.0930092592592,81.04362268518518,django/utils/_os.py,.py,4411.0,112.0,0.4014962593516209,0.8429883719147244,0.10714285714285714,0.0,0.3795376436582592,2,26,4,270,14,13,3,2839.6540972222224,72.86236111111111,-0.0007768411342881087,-0.05684933452246377,-0.014737488702282975,0.09065934065934066,0.0,-0.5108256237659905,0.5108256237659905
3,django-django,1.8.1,3d128dcadd4814bf92d4d83eda87bb68496f36ee,2015-05-01T20:26:55+00:00,django-django:1.8.1,CVE-2016-9013,django-django:1.8.1:CVE-2016-9013,supported_advisory_plus_explicit,explicit_id,explicit_only,CVE-2016-9013,2016-10-25T18:24:11+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,70f99952965a430daf69eeb9947079aae535d2d0,django/db/backends/oracle/creation.py,django/core/management/commands/loaddata.py,django/db/backends/oracle/creation.py,.py,14210.0,274.0,0.2023926812104152,0.7734168983932054,0.12408759124087591,0.0,0.29421191879604086,4,62,13,1681,239,22,5,3262.6177546296294,81.04362268518518,django/core/management/commands/loaddata.py,.py,12783.0,260.0,0.2881952593287961,0.7770934845511756,0.2153846153846154,0.0,0.34790178788519677,4,90,7,2079,73,27,7,2815.597222222222,70.22991898148148,-0.053689869089155906,-0.08580257811838088,-0.003676586157970174,-0.09129702414373948,0.0,0.5596157879354227,1.176573830137821
4,django-django,1.8.1,3d128dcadd4814bf92d4d83eda87bb68496f36ee,2015-05-01T20:26:55+00:00,django-django:1.8.1,CVE-2017-7234,django-django:1.8.1:CVE-2017-7234,supported_advisory_plus_explicit,explicit_id,explicit_only,CVE-2017-7234,2017-03-28T16:57:34+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,4a6b945dffe8d10e7cec107d93e6efaebfbded29,django/views/static.py,django/utils/tree.py,django/views/static.py,.py,5142.0,134.0,0.4056787242318164,0.8373546154249107,0.12686567164179105,0.0,0.3837686721815594,2,59,4,702,29,16,3,3505.070763888889,67.91986111111112,django/utils/tree.py,.py,5120.0,122.0,0.346484375,0.8228528156805002,0.11475409836065574,0.0,0.3559902701769556,2,15,2,326,11,10,2,2560.733784722222,144.31148148148148,0.027778402004603797,0.05919434923181638,0.01450179974441057,0.01211157328113531,0.0,0.5108256237659905,0.9162907318741551
5,django-django,1.8.17,d3d12fc11da56e4ea8af37a22a9a0aa6579ab2d5,2016-12-01T22:20:59+00:00,django-django:1.8.17,CVE-2017-7234,django-django:1.8.17:CVE-2017-7234,supported_advisory_plus_explicit,explicit_id,explicit_only,CVE-2017-7234,2017-03-28T16:57:34+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,4a6b945dffe8d10e7cec107d93e6efaebfbded29,django/views/static.py,django/utils/tree.py,django/views/static.py,.py,5142.0,134.0,0.4056787242318164,0.8373546154249107,0.12686567164179105,0.0,0.3837686721815594,2,59,0,702,0,16,0,4085.149976851852,647.9990740740741,django/utils/tree.py,.py,5120.0,122.0,0.346484375,0.8228528156805002,0.11475409836065574,0.0,0.3559902701769556,2,15,0,326,0,10,0,3140.812997685185,724.3906944444444,0.027778402004603797,0.05919434923181638,0.01450179974441057,0.01211157328113531,0.0,0.0,0.0
6,django-django,1.11.6,5d5ae260f83a530a03d08235fda9e0d575fd61d1,2017-10-05T18:16:31+00:00,django-django:1.11.6,CVE-2018-7537,django-django:1.11.6:CVE-2018-7537,supported_advisory_plus_explicit,explicit_id,explicit_only,CVE-2018-7537,2018-02-27T18:56:26+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,a91436360b79a6ff995c3e5018bcc666dfaf1539,django/utils/text.py,django/utils/functional.py,django/utils/text.py,.py,14941.0,381.0,0.325145572585503,0.7798927007485478,0.11811023622047244,0.0,0.3365916250795484,2,94,3,1437,12,36,3,4467.701782407407,325.0317708333333,django/utils/functional.py,.py,14822.0,351.0,0.2841047092160302,0.7752897484925566,0.10541310541310542,0.0,0.31809322348406177,2,103,4,1771,44,38,4,4447.865729166667,85.21160879629629,0.018498401595486602,0.04104086336947277,0.004602952255991166,0.012697130807367021,0.0,-0.2231435513142097,-1.2417131323087829
7,django-django,1.11.6,5d5ae260f83a530a03d08235fda9e0d575fd61d1,2017-10-05T18:16:31+00:00,django-django:1.11.6,CVE-2018-7536,django-django:1.11.6:CVE-2018-7536,supported_advisory_plus_explicit,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,CVE-2018-7536;GHSA-R28V-MW67-M5P9;PYSEC-2018-5,2018-03-09T20:29:00+00:00,osv_published,all,5.3,MEDIUM,osv_severity,abf89d729f210c692a50e0ad3f75fb6bec6fae16,django/__init__.py,django/__main__.py,django/__init__.py,.py,902.0,21.0,0.49889135254988914,0.8986798952508388,0.14285714285714285,0.0,0.443920844892849,1,84,17,375,34,12,1,4467.701782407407,0.0,django/__main__.py,.py,211.0,7.0,0.8009478672985783,0.9678395753508261,0.2857142857142857,0.0,0.6224721935443189,1,37,0,1307,0,4,0,4467.701782407407,758.7652662037037,-0.17855134865146993,-0.3020565147486891,-0.0691596800999873,-0.14285714285714285,0.0,2.8903717578961645,3.5553480614894135
8,django-django,1.11.6,5d5ae260f83a530a03d08235fda9e0d575fd61d1,2017-10-05T18:16:31+00:00,django-django:1.11.6,CVE-2018-7536,django-django:1.11.6:CVE-2018-7536,supported_advisory_plus_explicit,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,CVE-2018-7536;GHSA-R28V-MW67-M5P9;PYSEC-2018-5,2018-03-09T20:29:00+00:00,osv_published,all,5.3,MEDIUM,osv_severity,abf89d729f210c692a50e0ad3f75fb6bec6fae16,django/utils/html.py,django/template/loader_tags.py,django/utils/html.py,.py,14007.0,323.0,0.34061540658242306,0.7914679541718135,0.09287925696594428,0.0,0.33872798219473427,2,118,2,1426,2,40,2,4467.701782407407,215.17489583333332,django/template/loader_tags.py,.py,14320.0,313.0,0.28205307262569834,0.7897136191713169,0.11501597444089456,0.0,0.3236137298741888,2,87,3,1342,8,28,2,4467.701782407407,184.65543981481483,0.015114252320545474,0.05856233395672472,0.0017543350004965985,-0.022136717474950288,0.0,-0.2876820724517808,-1.0986122886681098
9,django-django,1.11.6,5d5ae260f83a530a03d08235fda9e0d575fd61d1,2017-10-05T18:16:31+00:00,django-django:1.11.6,CVE-2018-14574,django-django:1.11.6:CVE-2018-14574,supported_advisory_plus_explicit,explicit_id,explicit_only,CVE-2018-14574,2018-07-25T16:13:03+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,d6eaee092709aad477a9894598496c6deec532ff,django/middleware/common.py,django/utils/timezone.py,django/middleware/common.py,.py,8764.0,174.0,0.32222729347329987,0.8252461343660179,0.1724137931034483,0.0,0.36182179762881495,2,88,2,955,15,32,2,4467.701782407407,333.35966435185185,django/utils/timezone.py,.py,8688.0,234.0,0.28947974217311234,0.8099132609834662,0.11965811965811966,0.0,0.33299904528317115,2,35,3,728,132,12,3,2148.2190393518517,325.0317708333333,0.0288227523456438,0.03274755130018753,0.015332873382551737,0.052755673445328624,0.0,-0.2876820724517808,-2.1177604059819726
