repo,event_id,published_epoch,published,fixed_commit,fixed_epoch,aliases,source,source_family,event_date_source,severity_score,severity_label,severity_source,snapshot_commit,changed_source_files_count,changed_source_files,snapshot_tag,snapshot_date,snapshot_key
fastapi-fastapi,CVE-2024-24762,1707143586,2024-02-05T14:33:06+00:00,7633d1571cc0c2792b766f67172edb9427c66899,1706964150,CVE-2024-24762;GHSA-2JV5-9R88-3W3P;GHSA-QF9M-VFGH-M389;PYSEC-2024-38,explicit_id+osv_range,explicit_plus_range,osv_published,7.5,HIGH,osv_severity,069645444547cdfb083f84e84982f03fb4e597cf,1,fastapi/__init__.py,0.77.0,2022-05-10T01:40:03+00:00,fastapi-fastapi:0.77.0
fastapi-fastapi,CVE-2024-24762,1707143586,2024-02-05T14:33:06+00:00,7633d1571cc0c2792b766f67172edb9427c66899,1706964150,CVE-2024-24762;GHSA-2JV5-9R88-3W3P;GHSA-QF9M-VFGH-M389;PYSEC-2024-38,explicit_id+osv_range,explicit_plus_range,osv_published,7.5,HIGH,osv_severity,8cc967a7605d3883bd04ceb5d25cc94ae079612f,1,fastapi/__init__.py,0.95.2,2023-05-16T13:39:43+00:00,fastapi-fastapi:0.95.2
scrapy-scrapy,GHSA-9X8M-2XPF-CRP3,1658747717,2022-07-25T11:15:17+00:00,af7dd16d8ded3e6cb2946603688f4f4a5212e80f,1658747717,GHSA-9X8M-2XPF-CRP3,explicit_id,explicit_only,fixed_commit_epoch,,UNKNOWN,unavailable,e63188cbf753d560e43d8489c821bd6eb9fe54e9,1,scrapy/downloadermiddlewares/httpproxy.py,2.5.0,2021-04-06T14:13:32+00:00,scrapy-scrapy:2.5.0
django-django,CVE-2016-6186,1470412740,2016-08-05T15:59:00+00:00,d03bf6fe4e9bf5b07de62c1a271c4b41a7d3d158,1468589012,CVE-2016-6186;GHSA-C8C8-9472-W52H;PYSEC-2016-2,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,osv_published,6.1,MEDIUM,osv_severity,6e749c21e77dc74af068c8e943a6e6850ae0bb24,1,django/views/debug.py,1.9.6,2016-05-02T22:25:40+00:00,django-django:1.9.6
django-django,CVE-2016-9014,1477423109,2016-10-25T19:18:29+00:00,45acd6d836895a4c36575f48b3fb36a3dae98d19,1477423109,CVE-2016-9014,explicit_id,explicit_only,fixed_commit_epoch,,UNKNOWN,unavailable,6e749c21e77dc74af068c8e943a6e6850ae0bb24,1,django/http/request.py,1.9.6,2016-05-02T22:25:40+00:00,django-django:1.9.6
django-django,CVE-2024-41989,1723043756,2024-08-07T15:15:56+00:00,fc76660f589ac07e45e9cd34ccb8087aeb11904b,1722435119,BIT-DJANGO-2024-41989;CVE-2024-41989;GHSA-JH75-99HH-QVX9;PYSEC-2024-67,explicit_id+osv_range,explicit_plus_range,osv_published,7.5,HIGH,osv_severity,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,1,django/template/defaultfilters.py,4.2.4,2023-08-01T16:59:48+00:00,django-django:4.2.4
django-django,CVE-2024-41990,1723043756,2024-08-07T15:15:56+00:00,d0a82e26a74940bf0c78204933c3bdd6a283eb88,1722435131,BIT-DJANGO-2024-41990;CVE-2024-41990;GHSA-795C-9XPC-XW6G;PYSEC-2024-68,explicit_id+osv_range,explicit_plus_range,osv_published,7.5,HIGH,osv_severity,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,1,django/utils/html.py,4.2.4,2023-08-01T16:59:48+00:00,django-django:4.2.4
django-django,CVE-2024-41991,1723043756,2024-08-07T15:15:56+00:00,efea1ef7e2190e3f77ca0651b5458297bc0f6a9f,1722435143,BIT-DJANGO-2024-41991;CVE-2024-41991;GHSA-R836-HH6V-RG5G;PYSEC-2024-69,explicit_id+osv_range,explicit_plus_range,osv_published,7.5,HIGH,osv_severity,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,2,django/contrib/admin/widgets.py;django/utils/html.py,4.2.4,2023-08-01T16:59:48+00:00,django-django:4.2.4
django-django,CVE-2024-42005,1723043756,2024-08-07T15:15:56+00:00,f4af67b9b41e0f4c117a8741da3abbd1c869ab28,1722435155,BIT-DJANGO-2024-42005;CVE-2024-42005;GHSA-PV4P-CWWG-4RPH;PYSEC-2024-70,explicit_id+osv_range,explicit_plus_range,osv_published,7.3,HIGH,osv_severity,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,1,django/db/models/sql/query.py,4.2.4,2023-08-01T16:59:48+00:00,django-django:4.2.4
django-django,CVE-2024-11168,1733215811,2024-12-03T08:50:11+00:00,f663277a4c22ef96cbdebfd0ed76155b9d37b4f8,1733215811,CVE-2024-11168,explicit_id,explicit_only,fixed_commit_epoch,,UNKNOWN,unavailable,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,1,django/utils/http.py,4.2.4,2023-08-01T16:59:48+00:00,django-django:4.2.4
psf-requests,CVE-2023-32681,1685120572,2023-05-26T17:02:52+00:00,74ea7cf7a6a27a4eeb2ae24e162bcc942a6706d5,1684768137,CVE-2023-32681;GHSA-J8R2-6X86-Q33Q;PYSEC-2023-74,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,osv_published,6.1,MEDIUM,osv_severity,61c324da43dd8b775d3930d76265538b3ca27bc1,1,requests/sessions.py,v2.28.2,2023-01-12T16:16:09+00:00,psf-requests:v2.28.2
