repo,event_id,published_epoch,published,fixed_commit,fixed_epoch,aliases,source,source_family,candidate_commits,candidate_commit_count,event_date_source,severity_score,severity_label,severity_source,snapshot_commit,changed_source_commit_count,changed_source_files_count,changed_source_files,snapshot_tag,snapshot_date,snapshot_key
prometheus-prometheus,CVE-2019-10215,1570180734,2019-10-04T09:18:54+00:00,35857b59def018223440440b86929ed7c90a40c6,1570180734,CVE-2019-10215,explicit_id,explicit_only,35857b59def018223440440b86929ed7c90a40c6;5b8ff9b8a4e5deb5cd16d7e6eca10b6e31c67d4d,2,fixed_commit_epoch,,UNKNOWN,unavailable,40f0b4a9f649e7de3505b0c4c19e402ee7c191d0,2,1,web/ui/assets_vfsdata.go,v2.6.0-rc.0,2018-12-05T16:12:34+00:00,prometheus-prometheus:v2.6.0-rc.0
prometheus-prometheus,CVE-2021-3121,1612801846,2021-02-08T16:30:46+00:00,cf269b7dddc3704d9fe6715dab09068f3c16e04e,1612801846,CVE-2021-3121,explicit_id,explicit_only,cf269b7dddc3704d9fe6715dab09068f3c16e04e,1,fixed_commit_epoch,,UNKNOWN,unavailable,6ea4252299f542669aca11860abc2192bdc7bede,1,2,prompb/remote.pb.go;prompb/types.pb.go,v2.13.0,2019-10-04T10:32:24+00:00,prometheus-prometheus:v2.13.0
prometheus-prometheus,GHSA-VX57-7F4Q-FPC7,1621342065,2021-05-18T12:47:45+00:00,6eeded0fdf760e81af75d9c44ce539ab77da4505,1621342065,GHSA-VX57-7F4Q-FPC7,explicit_id,explicit_only,6eeded0fdf760e81af75d9c44ce539ab77da4505;db7f0bcec27bd8aeebad6b08ac849516efa9ae02,2,fixed_commit_epoch,,UNKNOWN,unavailable,6ea4252299f542669aca11860abc2192bdc7bede,2,1,web/web.go,v2.13.0,2019-10-04T10:32:24+00:00,prometheus-prometheus:v2.13.0
prometheus-prometheus,CVE-2021-29622,1621455307,2021-05-19T20:15:07+00:00,6eeded0fdf760e81af75d9c44ce539ab77da4505,1621342065,BIT-PROMETHEUS-2021-29622;CVE-2021-29622,explicit_id+osv_range,explicit_plus_range,6eeded0fdf760e81af75d9c44ce539ab77da4505;db7f0bcec27bd8aeebad6b08ac849516efa9ae02,2,osv_published,6.1,MEDIUM,osv_severity,6ea4252299f542669aca11860abc2192bdc7bede,2,1,web/web.go,v2.13.0,2019-10-04T10:32:24+00:00,prometheus-prometheus:v2.13.0
prometheus-prometheus,CVE-2021-3121,1612801846,2021-02-08T16:30:46+00:00,cf269b7dddc3704d9fe6715dab09068f3c16e04e,1612801846,CVE-2021-3121,explicit_id,explicit_only,cf269b7dddc3704d9fe6715dab09068f3c16e04e,1,fixed_commit_epoch,,UNKNOWN,unavailable,113d1672dcf990452baef67e722a7308508dc57e,1,2,prompb/remote.pb.go;prompb/types.pb.go,v2.20.0-rc.1,2020-07-20T17:07:16+00:00,prometheus-prometheus:v2.20.0-rc.1
prometheus-prometheus,GHSA-VX57-7F4Q-FPC7,1621342065,2021-05-18T12:47:45+00:00,6eeded0fdf760e81af75d9c44ce539ab77da4505,1621342065,GHSA-VX57-7F4Q-FPC7,explicit_id,explicit_only,6eeded0fdf760e81af75d9c44ce539ab77da4505;db7f0bcec27bd8aeebad6b08ac849516efa9ae02,2,fixed_commit_epoch,,UNKNOWN,unavailable,113d1672dcf990452baef67e722a7308508dc57e,2,1,web/web.go,v2.20.0-rc.1,2020-07-20T17:07:16+00:00,prometheus-prometheus:v2.20.0-rc.1
prometheus-prometheus,CVE-2021-29622,1621455307,2021-05-19T20:15:07+00:00,6eeded0fdf760e81af75d9c44ce539ab77da4505,1621342065,BIT-PROMETHEUS-2021-29622;CVE-2021-29622,explicit_id+osv_range,explicit_plus_range,6eeded0fdf760e81af75d9c44ce539ab77da4505;db7f0bcec27bd8aeebad6b08ac849516efa9ae02,2,osv_published,6.1,MEDIUM,osv_severity,113d1672dcf990452baef67e722a7308508dc57e,2,1,web/web.go,v2.20.0-rc.1,2020-07-20T17:07:16+00:00,prometheus-prometheus:v2.20.0-rc.1
pallets-flask,CVE-2023-30861,1683047062,2023-05-02T17:04:22+00:00,f3b8f570545200c87465d18386f3fc9f2258307a,1682955310,CVE-2023-30861;GHSA-M2QF-HXJV-5GPQ;PYSEC-2023-62,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,47af817c8fe01045c641b97f8fb784c7ad864eee;70f906c51ce49c485f1d355703e9cc3386b1cc2b;afd63b16170b7c047f5758eb910c416511e9c965;f3b8f570545200c87465d18386f3fc9f2258307a,4,osv_published,7.5,HIGH,osv_severity,6f7762538bffe3ce9d03508ecab230bfff3e3dcd,4,1,src/flask/__init__.py,2.0.2,2021-10-04T14:31:29+00:00,pallets-flask:2.0.2
pallets-flask,CVE-2023-30861,1683047062,2023-05-02T17:04:22+00:00,f3b8f570545200c87465d18386f3fc9f2258307a,1682955310,CVE-2023-30861;GHSA-M2QF-HXJV-5GPQ;PYSEC-2023-62,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,47af817c8fe01045c641b97f8fb784c7ad864eee;70f906c51ce49c485f1d355703e9cc3386b1cc2b;afd63b16170b7c047f5758eb910c416511e9c965;f3b8f570545200c87465d18386f3fc9f2258307a,4,osv_published,7.5,HIGH,osv_severity,ef557b3ff2602b9956a2f3ac02c6e134c529fccc,4,1,src/flask/__init__.py,2.0.3,2022-02-14T19:46:23+00:00,pallets-flask:2.0.3
pallets-flask,CVE-2023-30861,1683047062,2023-05-02T17:04:22+00:00,f3b8f570545200c87465d18386f3fc9f2258307a,1682955310,CVE-2023-30861;GHSA-M2QF-HXJV-5GPQ;PYSEC-2023-62,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,47af817c8fe01045c641b97f8fb784c7ad864eee;70f906c51ce49c485f1d355703e9cc3386b1cc2b;afd63b16170b7c047f5758eb910c416511e9c965;f3b8f570545200c87465d18386f3fc9f2258307a,4,osv_published,7.5,HIGH,osv_severity,187d7179f605d28c3d24e9f4d65d3295fb099afe,4,1,src/flask/__init__.py,2.1.3,2022-07-13T20:54:33+00:00,pallets-flask:2.1.3
pallets-flask,CVE-2023-30861,1683047062,2023-05-02T17:04:22+00:00,f3b8f570545200c87465d18386f3fc9f2258307a,1682955310,CVE-2023-30861;GHSA-M2QF-HXJV-5GPQ;PYSEC-2023-62,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,47af817c8fe01045c641b97f8fb784c7ad864eee;70f906c51ce49c485f1d355703e9cc3386b1cc2b;afd63b16170b7c047f5758eb910c416511e9c965;f3b8f570545200c87465d18386f3fc9f2258307a,4,osv_published,7.5,HIGH,osv_severity,41d4f62909bb426c84e9d057151f7d734695320a,4,1,src/flask/__init__.py,2.2.3,2023-02-15T22:33:32+00:00,pallets-flask:2.2.3
go-gitea-gitea,CVE-2022-0905,1646870400,2022-03-10T00:00:00+00:00,1314f38b59748397b3429fb9bc9f9d6bac85d2f2,1646877605,BIT-GITEA-2022-0905;CVE-2022-0905;GHSA-JR9C-H74F-2V28;GO-2022-0609,osv_range+osv_ref,reference_plus_range,1314f38b59748397b3429fb9bc9f9d6bac85d2f2;f460b7543ed500e49c133c2cd85c8c55ee9dbe27,2,osv_published,6.5,MEDIUM,osv_severity,195c9999a1fce5a0f6e796be9a831761400c3003,2,1,modules/auth/pam/pam.go,v1.15.0-rc1,2021-07-15T15:47:57+00:00,go-gitea-gitea:v1.15.0-rc1
go-gitea-gitea,CVE-2022-1058,1648131312,2022-03-24T14:15:12+00:00,e3d8e92bdc67562783de9a76b5b7842b68daeb48,1648065683,BIT-GITEA-2022-1058;CVE-2022-1058;GHSA-4RQQ-RXVC-V2RC;GO-2024-2752,osv_range+osv_ref,reference_plus_range,bab7d885aa675f33573092f9ea0f081473dc517c;e3d8e92bdc67562783de9a76b5b7842b68daeb48,2,osv_published,7.2,HIGH,osv_severity,195c9999a1fce5a0f6e796be9a831761400c3003,2,1,modules/context/context.go,v1.15.0-rc1,2021-07-15T15:47:57+00:00,go-gitea-gitea:v1.15.0-rc1
go-gitea-gitea,CVE-2022-1928,1653782400,2022-05-29T00:00:00+00:00,65e0688a5c9dacad50e71024b7529fdf0e3c2e9c,1653750614,BIT-GITEA-2022-1928;CVE-2022-1928;GHSA-PH3W-2843-72MX;GO-2022-0612,osv_range+osv_ref,reference_plus_range,65e0688a5c9dacad50e71024b7529fdf0e3c2e9c;713bc6c8dca072c3946e5ff1ab6b1c58748f1a1a,2,osv_published,4.4,MEDIUM,osv_severity,195c9999a1fce5a0f6e796be9a831761400c3003,2,2,modules/typesniffer/typesniffer.go;routers/common/repo.go,v1.15.0-rc1,2021-07-15T15:47:57+00:00,go-gitea-gitea:v1.15.0-rc1
