repo,event_id,published_epoch,published,fixed_commit,fixed_epoch,aliases,source,event_date_source,snapshot_commit,changed_source_files_count,changed_source_files,snapshot_tag,snapshot_date,snapshot_key
django-django,CVE-2024-41989,1723043756,2024-08-07T15:15:56+00:00,fc76660f589ac07e45e9cd34ccb8087aeb11904b,1722435119,BIT-DJANGO-2024-41989;CVE-2024-41989;GHSA-JH75-99HH-QVX9;PYSEC-2024-67,explicit_id+osv_range,osv_published,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,1,django/template/defaultfilters.py,4.2.4,2023-08-01T16:59:48+00:00,django-django:4.2.4
django-django,CVE-2024-41990,1723043756,2024-08-07T15:15:56+00:00,d0a82e26a74940bf0c78204933c3bdd6a283eb88,1722435131,BIT-DJANGO-2024-41990;CVE-2024-41990;GHSA-795C-9XPC-XW6G;PYSEC-2024-68,explicit_id+osv_range,osv_published,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,1,django/utils/html.py,4.2.4,2023-08-01T16:59:48+00:00,django-django:4.2.4
django-django,CVE-2024-41991,1723043756,2024-08-07T15:15:56+00:00,efea1ef7e2190e3f77ca0651b5458297bc0f6a9f,1722435143,BIT-DJANGO-2024-41991;CVE-2024-41991;GHSA-R836-HH6V-RG5G;PYSEC-2024-69,explicit_id+osv_range,osv_published,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,2,django/contrib/admin/widgets.py;django/utils/html.py,4.2.4,2023-08-01T16:59:48+00:00,django-django:4.2.4
django-django,CVE-2024-42005,1723043756,2024-08-07T15:15:56+00:00,f4af67b9b41e0f4c117a8741da3abbd1c869ab28,1722435155,BIT-DJANGO-2024-42005;CVE-2024-42005;GHSA-PV4P-CWWG-4RPH;PYSEC-2024-70,explicit_id+osv_range,osv_published,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,1,django/db/models/sql/query.py,4.2.4,2023-08-01T16:59:48+00:00,django-django:4.2.4
django-django,CVE-2024-11168,1733215811,2024-12-03T08:50:11+00:00,f663277a4c22ef96cbdebfd0ed76155b9d37b4f8,1733215811,CVE-2024-11168,explicit_id,fixed_commit_epoch,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,1,django/utils/http.py,4.2.4,2023-08-01T16:59:48+00:00,django-django:4.2.4
traefik-traefik,CVE-2024-28869,1712956116,2024-04-12T21:08:36+00:00,240b83b77351dfd8cadb91c305b84e9d22e0f9c6,1712848683,CVE-2024-28869;GHSA-4VWX-54MW-VQFW;GO-2024-2722,osv_range+osv_ref,osv_published,dae0491b612ae9d706ffa2f0faa941bce00f0c01,1,pkg/config/static/static_config.go,v2.10.6,2023-11-28T14:46:10+00:00,traefik-traefik:v2.10.6
traefik-traefik,CVE-2025-47952,1748576232,2025-05-30T03:37:12+00:00,08d5dfee0164aa54dd44a467870042e18e8d3f00,1748005805,CVE-2025-47952;GHSA-VRCH-868G-9JX5;GO-2025-3719,osv_range+osv_ref,osv_published,dae0491b612ae9d706ffa2f0faa941bce00f0c01,4,integration/simple_test.go;pkg/muxer/http/mux.go;pkg/server/server_entrypoint_tcp.go;pkg/server/server_entrypoint_tcp_test.go,v2.10.6,2023-11-28T14:46:10+00:00,traefik-traefik:v2.10.6
traefik-traefik,CVE-2025-54386,1754091141,2025-08-01T23:32:21+00:00,5ef853a0c53068f69a6c229a5815a0dc6e0a8800,1753187045,CVE-2025-54386;GHSA-Q6GG-9F92-R9WG;GO-2025-3835,osv_range+osv_ref,osv_published,dae0491b612ae9d706ffa2f0faa941bce00f0c01,1,pkg/plugins/client.go,v2.10.6,2023-11-28T14:46:10+00:00,traefik-traefik:v2.10.6
zlib,CVE-2023-45853,1697249709,2023-10-14T02:15:09+00:00,51b7f2abdade71cd9bb0e7a373ef2610ec6f9daf,1705948357,CVE-2023-45853;GHSA-MQ29-J5XF-CJWR,osv_range,osv_published,09155eaa2f9270dc4ed1fa13e2b4b2613e6e4851,10,contrib/infback9/inftree9.c;deflate.c;deflate.h;gzguts.h;gzlib.c;inftrees.c;trees.c;zconf.h;zlib.h;zutil.h,v1.3,2023-08-18T08:45:36+00:00,zlib:v1.3
zlib,CVE-2014-9485,1705532888,2024-01-17T23:08:08+00:00,14a5f8f266c16c87ab6c086fc52b770b27701e01,1705532888,CVE-2014-9485,explicit_id,fixed_commit_epoch,09155eaa2f9270dc4ed1fa13e2b4b2613e6e4851,1,contrib/minizip/miniunz.c,v1.3,2023-08-18T08:45:36+00:00,zlib:v1.3
jq,CVE-2023-50246,1702500230,2023-12-13T20:43:50+00:00,71c2ab509a8628dbbad4bc7b3f98a64aa90d3297,1702495222,CVE-2023-50246;GHSA-686W-5M7M-54VC,explicit_id+nvd_ref+osv_range+osv_ref,nvd_published+osv_published,4af3f99728f924b327b6f455c52452ef0ca09e1a,1,src/jv.c,jq-1.7rc1,2023-07-30T02:28:38+00:00,jq:jq-1.7rc1
jq,CVE-2023-50268,1702500594,2023-12-13T20:49:54+00:00,c9a51565214eece8f1053089739aea73145bfd6b,1702495037,CVE-2023-50268;GHSA-7HMR-442F-QC8J,explicit_id+nvd_ref+osv_range+osv_ref,nvd_published+osv_published,4af3f99728f924b327b6f455c52452ef0ca09e1a,1,src/jv.c,jq-1.7rc1,2023-07-30T02:28:38+00:00,jq:jq-1.7rc1
