pair_id,repo,snapshot_tag,snapshot_key,event_id,event_observation_id,ground_truth_policy,ground_truth_source,label,kind,file_path,suffix,loc,size_bytes,ci_gzip,shannon_entropy,cyclomatic_density,halstead_volume,composite_score,directory_depth,prior_touches_total,prior_touches_365d,total_churn,churn_365d,author_count_total,author_count_365d,file_age_days,latest_touch_days,log_loc,log_size_bytes,log_prior_touches_total,log_prior_touches_365d,log_total_churn,log_churn_365d
0,django-django,4.2.4,django-django:4.2.4,CVE-2024-41991,django-django:4.2.4:CVE-2024-41991,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,django/contrib/admin/widgets.py,.py,499.0,19395.0,0.2510440835266821,0.7425921286969158,0.08016032064128256,0.0,0.29177301394149296,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.214608098422191,9.872822138225242,0.0,0.0,0.0,0.0
0,django-django,4.2.4,django-django:4.2.4,CVE-2024-41991,django-django:4.2.4:CVE-2024-41991,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,django/db/migrations/executor.py,.py,379.0,18923.0,0.22105374412091106,0.7851840342508458,0.25065963060686014,0.0,0.3347144084372946,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.940171252720432,9.848186236751038,0.0,0.0,0.0,0.0
1,django-django,4.2.4,django-django:4.2.4,CVE-2024-42005,django-django:4.2.4:CVE-2024-42005,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,django/db/models/sql/query.py,.py,2466.0,115124.0,0.25448212362322364,0.7247318644156342,0.11273317112733171,0.19439799143437392,0.3215903056082635,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.810758116529357,11.653773773557608,0.0,0.0,0.0,0.0
1,django-django,4.2.4,django-django:4.2.4,CVE-2024-42005,django-django:4.2.4:CVE-2024-42005,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,django/db/models/fields/__init__.py,.py,2454.0,95674.0,0.1943892802642306,0.6791679935036491,0.10472697636511817,0.08734441125153758,0.2724254261044594,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.805882040228621,11.468712310293903,0.0,0.0,0.0,0.0
2,django-django,4.2.4,django-django:4.2.4,CVE-2024-41989,django-django:4.2.4:CVE-2024-41989,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,django/template/defaultfilters.py,.py,798.0,28012.0,0.2613522775953163,0.7283594437755752,0.06766917293233082,0.01344263202209266,0.29008121474258275,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.683360945766275,10.240423967124363,0.0,0.0,0.0,0.0
2,django-django,4.2.4,django-django:4.2.4,CVE-2024-41989,django-django:4.2.4:CVE-2024-41989,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,django/http/multipartparser.py,.py,624.0,27333.0,0.2778326564958109,0.786143681039976,0.1346153846153846,0.0005624549193878892,0.3251679748205309,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.437751649736401,10.215886627524746,0.0,0.0,0.0,0.0
3,django-django,4.2.4,django-django:4.2.4,CVE-2024-41990,django-django:4.2.4:CVE-2024-41990,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,django/utils/html.py,.py,353.0,14213.0,0.33476394849785407,0.7945395493010415,0.059490084985835696,0.0,0.32923831220454375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.869296913133774,9.56198267338684,0.0,0.0,0.0,0.0
3,django-django,4.2.4,django-django:4.2.4,CVE-2024-41990,django-django:4.2.4:CVE-2024-41990,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,django/utils/text.py,.py,389.0,14302.0,0.32366102642986994,0.7910530203208354,0.12339331619537275,0.006608919045777206,0.3413914830263325,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.966146739123692,9.5682245844549,0.0,0.0,0.0,0.0
4,django-django,4.2.4,django-django:4.2.4,CVE-2024-11168,django-django:4.2.4:CVE-2024-11168,expanded_advisory_plus_explicit,explicit_id,1,case,django/utils/http.py,.py,391.0,15368.0,0.3508589276418532,0.7997655086512362,0.056265984654731455,0.01799090900149345,0.3374574206605785,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.971261839790462,9.640107772607312,0.0,0.0,0.0,0.0
4,django-django,4.2.4,django-django:4.2.4,CVE-2024-11168,django-django:4.2.4:CVE-2024-11168,expanded_advisory_plus_explicit,explicit_id,0,control,django/utils/functional.py,.py,375.0,15162.0,0.2799762564305501,0.7738435440252159,0.09866666666666667,0.0,0.31447258191273675,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.929589143389895,9.62661352880094,0.0,0.0,0.0,0.0
5,traefik-traefik,v2.10.6,traefik-traefik:v2.10.6,CVE-2024-28869,traefik-traefik:v2.10.6:CVE-2024-28869,expanded_advisory_plus_explicit,osv_range+osv_ref,1,case,pkg/config/static/static_config.go,.go,250.0,22469.0,0.223374426988295,0.7606146146717601,0.084,0.0,0.2866243021169142,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.5254529391317835,10.019936365179374,0.0,0.0,0.0,0.0
5,traefik-traefik,v2.10.6,traefik-traefik:v2.10.6,CVE-2024-28869,traefik-traefik:v2.10.6:CVE-2024-28869,expanded_advisory_plus_explicit,osv_range+osv_ref,0,control,pkg/provider/consulcatalog/consul_catalog.go,.go,492.0,20592.0,0.26976495726495725,0.7723848696198026,0.16666666666666666,0.00874628412503391,0.32860024109078684,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.20050917404269,9.932706491205348,0.0,0.0,0.0,0.0
