roc_auc,average_precision,brier_score,log_loss,pairwise_accuracy,model,held_out_repo,n_files,n_pairs
0.52,0.5676190476190476,0.24887069039179358,0.6909059992771819,0.6,baseline_size,django-django,10,5
0.48,0.6111111111111112,0.256674734461416,0.7069092882217274,0.4,baseline_history,django-django,10,5
0.28,0.5438888888888889,0.2816875507173109,0.757030545903154,0.2,baseline_history_plus_structure,django-django,10,5
0.28,0.5412698412698412,0.26114945540724477,0.7142928795919758,0.4,baseline_plus_composite,django-django,10,5
0.5918367346938775,0.5936507936507935,0.24707796024046189,0.6872998151078493,0.42857142857142855,baseline_size,jq,14,7
0.5,0.5,0.5,18.021826694558573,0.5,baseline_history,jq,14,7
0.5,0.5,0.5,18.021826694558573,0.5,baseline_history_plus_structure,jq,14,7
0.5,0.5,0.5,18.021826694558573,0.5,baseline_plus_composite,jq,14,7
0.0,0.5,0.25692788292530044,0.7070204301906762,0.0,baseline_size,psf-requests,2,1
1.0,1.0,0.2601423732436129,0.7138547764314174,1.0,baseline_history,psf-requests,2,1
0.0,0.5,0.29037032197810614,0.7740951404690337,0.0,baseline_history_plus_structure,psf-requests,2,1
0.0,0.5,0.33545645286630643,0.86800809506751,0.0,baseline_plus_composite,psf-requests,2,1
0.4722222222222222,0.6,0.25710944568943966,0.7075270167524975,0.5,baseline_size,traefik-traefik,12,6
0.5,0.5472582972582972,0.26902626143250935,0.7329456892196483,0.5,baseline_history,traefik-traefik,12,6
0.5,0.5361471861471861,0.27387164182548246,0.7436559849865109,0.5,baseline_history_plus_structure,traefik-traefik,12,6
0.5833333333333334,0.5660714285714286,0.30355597962663017,0.8281274448711091,0.6666666666666666,baseline_plus_composite,traefik-traefik,12,6
0.5785123966942148,0.5735849934379346,0.25143892198703044,0.696726983615153,0.6363636363636364,baseline_size,zlib,22,11
0.34710743801652894,0.41958660026841843,0.3753163802533578,1.0326164825239925,0.2727272727272727,baseline_history,zlib,22,11
0.3140495867768595,0.40857706886415024,0.4215614963836492,1.1903500224572483,0.2727272727272727,baseline_history_plus_structure,zlib,22,11
0.5454545454545454,0.5135394908122181,0.35068598388750283,0.9513562189612762,0.45454545454545453,baseline_plus_composite,zlib,22,11
