pair_id,repo,snapshot_tag,snapshot_commit,snapshot_date,snapshot_key,event_id,event_observation_id,ground_truth_policy,ground_truth_source,ground_truth_aliases,event_published,event_date_source,fixed_commit,case_file,control_file,case_file_path,case_suffix,case_size_bytes,case_loc,case_ci_gzip,case_shannon_entropy,case_cyclomatic_density,case_halstead_volume,case_composite_score,case_directory_depth,case_prior_touches_total,case_prior_touches_365d,case_total_churn,case_churn_365d,case_author_count_total,case_author_count_365d,case_file_age_days,case_latest_touch_days,control_file_path,control_suffix,control_size_bytes,control_loc,control_ci_gzip,control_shannon_entropy,control_cyclomatic_density,control_halstead_volume,control_composite_score,control_directory_depth,control_prior_touches_total,control_prior_touches_365d,control_total_churn,control_churn_365d,control_author_count_total,control_author_count_365d,control_file_age_days,control_latest_touch_days,delta_composite,delta_ci_gzip,delta_entropy,delta_cc_density,delta_halstead,delta_log_prior_touches_365d,delta_log_churn_365d
0,django-django,4.2.4,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,2023-08-01T16:59:48+00:00,django-django:4.2.4,CVE-2024-41991,django-django:4.2.4:CVE-2024-41991,expanded_advisory_plus_explicit,explicit_id+osv_range,BIT-DJANGO-2024-41991;CVE-2024-41991;GHSA-R836-HH6V-RG5G;PYSEC-2024-69,2024-08-07T15:15:56+00:00,osv_published,efea1ef7e2190e3f77ca0651b5458297bc0f6a9f,django/contrib/admin/widgets.py,django/db/migrations/executor.py,django/contrib/admin/widgets.py,.py,19395.0,499.0,0.2510440835266821,0.7425921286969158,0.08016032064128256,0.0,0.29177301394149296,3,0,0,0,0,0,0,,,django/db/migrations/executor.py,.py,18923.0,379.0,0.22105374412091106,0.7851840342508458,0.25065963060686014,0.0,0.3347144084372946,3,0,0,0,0,0,0,,,-0.042941394495801644,0.02999033940577106,-0.04259190555393,-0.17049930996557758,0.0,0.0,0.0
1,django-django,4.2.4,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,2023-08-01T16:59:48+00:00,django-django:4.2.4,CVE-2024-42005,django-django:4.2.4:CVE-2024-42005,expanded_advisory_plus_explicit,explicit_id+osv_range,BIT-DJANGO-2024-42005;CVE-2024-42005;GHSA-PV4P-CWWG-4RPH;PYSEC-2024-70,2024-08-07T15:15:56+00:00,osv_published,f4af67b9b41e0f4c117a8741da3abbd1c869ab28,django/db/models/sql/query.py,django/db/models/fields/__init__.py,django/db/models/sql/query.py,.py,115124.0,2466.0,0.25448212362322364,0.7247318644156342,0.11273317112733171,0.19439799143437392,0.3215903056082635,4,0,0,0,0,0,0,,,django/db/models/fields/__init__.py,.py,95674.0,2454.0,0.1943892802642306,0.6791679935036491,0.10472697636511817,0.08734441125153758,0.2724254261044594,4,0,0,0,0,0,0,,,0.049164879503804104,0.06009284335899304,0.045563870911985105,0.008006194762213537,0.10705358018283634,0.0,0.0
2,django-django,4.2.4,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,2023-08-01T16:59:48+00:00,django-django:4.2.4,CVE-2024-41989,django-django:4.2.4:CVE-2024-41989,expanded_advisory_plus_explicit,explicit_id+osv_range,BIT-DJANGO-2024-41989;CVE-2024-41989;GHSA-JH75-99HH-QVX9;PYSEC-2024-67,2024-08-07T15:15:56+00:00,osv_published,fc76660f589ac07e45e9cd34ccb8087aeb11904b,django/template/defaultfilters.py,django/http/multipartparser.py,django/template/defaultfilters.py,.py,28012.0,798.0,0.2613522775953163,0.7283594437755752,0.06766917293233082,0.01344263202209266,0.29008121474258275,2,0,0,0,0,0,0,,,django/http/multipartparser.py,.py,27333.0,624.0,0.2778326564958109,0.786143681039976,0.1346153846153846,0.0005624549193878892,0.3251679748205309,2,0,0,0,0,0,0,,,-0.03508676007794814,-0.016480378900494586,-0.05778423726440085,-0.06694621168305379,0.012880177102704771,0.0,0.0
3,django-django,4.2.4,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,2023-08-01T16:59:48+00:00,django-django:4.2.4,CVE-2024-41990,django-django:4.2.4:CVE-2024-41990,expanded_advisory_plus_explicit,explicit_id+osv_range,BIT-DJANGO-2024-41990;CVE-2024-41990;GHSA-795C-9XPC-XW6G;PYSEC-2024-68,2024-08-07T15:15:56+00:00,osv_published,d0a82e26a74940bf0c78204933c3bdd6a283eb88,django/utils/html.py,django/utils/text.py,django/utils/html.py,.py,14213.0,353.0,0.33476394849785407,0.7945395493010415,0.059490084985835696,0.0,0.32923831220454375,2,0,0,0,0,0,0,,,django/utils/text.py,.py,14302.0,389.0,0.32366102642986994,0.7910530203208354,0.12339331619537275,0.006608919045777206,0.3413914830263325,2,0,0,0,0,0,0,,,-0.012153170821788739,0.011102922067984133,0.0034865289802061827,-0.06390323120953706,-0.006608919045777206,0.0,0.0
4,django-django,4.2.4,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,2023-08-01T16:59:48+00:00,django-django:4.2.4,CVE-2024-11168,django-django:4.2.4:CVE-2024-11168,expanded_advisory_plus_explicit,explicit_id,CVE-2024-11168,2024-12-03T08:50:11+00:00,fixed_commit_epoch,f663277a4c22ef96cbdebfd0ed76155b9d37b4f8,django/utils/http.py,django/utils/functional.py,django/utils/http.py,.py,15368.0,391.0,0.3508589276418532,0.7997655086512362,0.056265984654731455,0.01799090900149345,0.3374574206605785,2,0,0,0,0,0,0,,,django/utils/functional.py,.py,15162.0,375.0,0.2799762564305501,0.7738435440252159,0.09866666666666667,0.0,0.31447258191273675,2,0,0,0,0,0,0,,,0.02298483874784174,0.07088267121130315,0.025921964626020255,-0.04240068201193521,0.01799090900149345,0.0,0.0
5,traefik-traefik,v2.10.6,dae0491b612ae9d706ffa2f0faa941bce00f0c01,2023-11-28T14:46:10+00:00,traefik-traefik:v2.10.6,CVE-2024-28869,traefik-traefik:v2.10.6:CVE-2024-28869,expanded_advisory_plus_explicit,osv_range+osv_ref,CVE-2024-28869;GHSA-4VWX-54MW-VQFW;GO-2024-2722,2024-04-12T21:08:36+00:00,osv_published,240b83b77351dfd8cadb91c305b84e9d22e0f9c6,pkg/config/static/static_config.go,pkg/provider/consulcatalog/consul_catalog.go,pkg/config/static/static_config.go,.go,22469.0,250.0,0.223374426988295,0.7606146146717601,0.084,0.0,0.2866243021169142,3,0,0,0,0,0,0,,,pkg/provider/consulcatalog/consul_catalog.go,.go,20592.0,492.0,0.26976495726495725,0.7723848696198026,0.16666666666666666,0.00874628412503391,0.32860024109078684,3,0,0,0,0,0,0,,,-0.04197593897387264,-0.04639053027666226,-0.011770254948042513,-0.08266666666666665,-0.00874628412503391,0.0,0.0
6,traefik-traefik,v2.10.6,dae0491b612ae9d706ffa2f0faa941bce00f0c01,2023-11-28T14:46:10+00:00,traefik-traefik:v2.10.6,CVE-2025-47952,traefik-traefik:v2.10.6:CVE-2025-47952,expanded_advisory_plus_explicit,osv_range+osv_ref,CVE-2025-47952;GHSA-VRCH-868G-9JX5;GO-2025-3719,2025-05-30T03:37:12+00:00,osv_published,08d5dfee0164aa54dd44a467870042e18e8d3f00,integration/simple_test.go,integration/https_test.go,integration/simple_test.go,.go,51081.0,1134.0,0.12932401480002348,0.6537023268041945,0.01675485008818342,0.02854022188622487,0.21591169366957239,1,0,0,0,0,0,0,,,integration/https_test.go,.go,45919.0,998.0,0.10962782290555108,0.6951668858215819,0.004008016032064128,0.0,0.2118829477896817,1,0,0,0,0,0,0,,,0.004028745879890688,0.0196961918944724,-0.04146455901738744,0.012746834056119292,0.02854022188622487,0.0,0.0
7,traefik-traefik,v2.10.6,dae0491b612ae9d706ffa2f0faa941bce00f0c01,2023-11-28T14:46:10+00:00,traefik-traefik:v2.10.6,CVE-2025-47952,traefik-traefik:v2.10.6:CVE-2025-47952,expanded_advisory_plus_explicit,osv_range+osv_ref,CVE-2025-47952;GHSA-VRCH-868G-9JX5;GO-2025-3719,2025-05-30T03:37:12+00:00,osv_published,08d5dfee0164aa54dd44a467870042e18e8d3f00,pkg/muxer/http/mux.go,pkg/provider/consulcatalog/config.go,pkg/muxer/http/mux.go,.go,7536.0,266.0,0.27773354564755837,0.7783942520977006,0.20300751879699247,0.0,0.34268103366493297,3,0,0,0,0,0,0,,,pkg/provider/consulcatalog/config.go,.go,7664.0,235.0,0.2242954070981211,0.7926456622642677,0.2127659574468085,0.0,0.329825852039808,3,0,0,0,0,0,0,,,0.012855181625124945,0.05343813854943727,-0.014251410166567058,-0.009758438649816042,0.0,0.0,0.0
8,traefik-traefik,v2.10.6,dae0491b612ae9d706ffa2f0faa941bce00f0c01,2023-11-28T14:46:10+00:00,traefik-traefik:v2.10.6,CVE-2025-47952,traefik-traefik:v2.10.6:CVE-2025-47952,expanded_advisory_plus_explicit,osv_range+osv_ref,CVE-2025-47952;GHSA-VRCH-868G-9JX5;GO-2025-3719,2025-05-30T03:37:12+00:00,osv_published,08d5dfee0164aa54dd44a467870042e18e8d3f00,pkg/server/server_entrypoint_tcp.go,pkg/server/aggregator_test.go,pkg/server/server_entrypoint_tcp.go,.go,17940.0,493.0,0.28127090301003344,0.7498892002343154,0.1440162271805274,0.021431912080076644,0.32367274901689275,2,0,0,0,0,0,0,,,pkg/server/aggregator_test.go,.go,17281.0,652.0,0.0973323303049592,0.7255719407594589,0.009202453987730062,0.0,0.21771940737842385,2,0,0,0,0,0,0,,,0.1059533416384689,0.18393857270507424,0.024317259474856523,0.13481377319279733,0.021431912080076644,0.0,0.0
9,traefik-traefik,v2.10.6,dae0491b612ae9d706ffa2f0faa941bce00f0c01,2023-11-28T14:46:10+00:00,traefik-traefik:v2.10.6,CVE-2025-47952,traefik-traefik:v2.10.6:CVE-2025-47952,expanded_advisory_plus_explicit,osv_range+osv_ref,CVE-2025-47952;GHSA-VRCH-868G-9JX5;GO-2025-3719,2025-05-30T03:37:12+00:00,osv_published,08d5dfee0164aa54dd44a467870042e18e8d3f00,pkg/server/server_entrypoint_tcp_test.go,pkg/api/handler_entrypoint_test.go,pkg/server/server_entrypoint_tcp_test.go,.go,6515.0,175.0,0.2904067536454336,0.7723077858925945,0.022857142857142857,0.0,0.30107826211836297,2,0,0,0,0,0,0,,,pkg/api/handler_entrypoint_test.go,.go,6480.0,232.0,0.23179012345679012,0.7637334938541787,0.021551724137931036,0.0,0.2784200699301262,2,0,0,0,0,0,0,,,0.02265819218823678,0.05861663018864349,0.008574292038415865,0.0013054187192118212,0.0,0.0,0.0
