repo,snapshot_tag,snapshot_date,event_id,event_observation_id,event_published,event_date_source,ground_truth_source,ground_truth_aliases,fixed_commit,commit_subject,case_file,control_file,changed_source_files_count,changed_source_files_sample,review_decision,review_notes,source_family
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2014-3613,curl:curl-7_37_0:CVE-2014-3613,2014-09-10T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2014-3613;CVE-2014-3613,8a75dbeb2305297640453029b7905ef51b87e8dd,cookies: only use full host matches for hosts used as IP address,lib/cookie.c,lib/connect.c,1,lib/cookie.c,,,explicit_plus_range
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2014-3707,curl:curl-7_37_0:CVE-2014-3707,2014-11-05T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2014-3707;CVE-2014-3707,b3875606925536f82fc61f3114ac42f29eaf6945,curl_easy_duphandle: CURLOPT_COPYPOSTFIELDS read out of bounds,lib/formdata.c,lib/telnet.c,8,lib/formdata.c;lib/strdup.c;lib/strdup.h;lib/url.c;lib/urldata.h;src/tool_setup.h;src/tool_strdup.c;src/tool_strdup.h,,,explicit_plus_range
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2015-3148,curl:curl-7_37_0:CVE-2015-3148,2015-04-21T21:20:37+00:00,fixed_commit_epoch,explicit_id,CVE-2015-3148,79b9d5f1a42578f807a6c94914bc65cbaa304b6d,http_done: close Negotiate connections when done,lib/http.c,lib/ssh.c,1,lib/http.c,,,explicit_only
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2016-0754,curl:curl-7_37_0:CVE-2016-0754,2016-01-26T22:42:55+00:00,fixed_commit_epoch,explicit_id,CVE-2016-0754,3017d8a8d8849ebd4feae4f5eae037cd55736a61,curl: avoid local drive traversal when saving file (Windows),src/tool_cb_hdr.c,lib/if2ip.c,4,src/tool_cb_hdr.c;src/tool_doswin.c;src/tool_doswin.h;src/tool_operate.c,,,explicit_only
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2016-3739,curl:curl-7_37_0:CVE-2016-3739,2016-05-18T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2016-3739;CVE-2016-3739,6efd2fa529a189bf41736a610f6184cd8ad94b4d,"mbedtls/polarssl: set ""hostname"" unconditionally",lib/vtls/polarssl.c,lib/vtls/vtls.c,2,lib/vtls/mbedtls.c;lib/vtls/polarssl.c,,,explicit_plus_range
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-5419,curl:curl-7_50_0:CVE-2016-5419,2016-08-03T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2016-5419;CVE-2016-5419,247d890da88f9ee817079e246c59f3d7d12fde5f,TLS: switch off SSL session id when client cert is used,lib/url.c,src/tool_operate.c,3,lib/url.c;lib/urldata.h;lib/vtls/vtls.c,,,explicit_plus_range
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-5420,curl:curl-7_50_0:CVE-2016-5420,2016-08-02T22:34:27+00:00,fixed_commit_epoch,explicit_id,CVE-2016-5420,11ec5ad4352bba384404c56e77c7fab9382fd22d,TLS: only reuse connections with the same client cert,lib/vtls/vtls.c,lib/vauth/ntlm.c,1,lib/vtls/vtls.c,,,explicit_only
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-5421,curl:curl-7_50_0:CVE-2016-5421,2016-08-02T22:34:27+00:00,fixed_commit_epoch,explicit_id,CVE-2016-5421,75dc096e01ef1e21b6c57690d99371dedb2c0b80,curl_multi_cleanup: clear connection pointer for easy handles,lib/multi.c,lib/ssh.c,1,lib/multi.c,,,explicit_only
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-7167,curl:curl-7_50_0:CVE-2016-7167,2016-09-14T05:49:43+00:00,fixed_commit_epoch,explicit_id,CVE-2016-7167,01cf1308ee2e792c77bb1d2c9218c56a30fd40ae,curl_easy_unescape: deny negative string lengths as input,lib/escape.c,src/tool_getpass.c,1,lib/escape.c,,,explicit_only
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8615,curl:curl-7_50_0:CVE-2016-8615,2016-11-02T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2016-8615;CVE-2016-8615,cff89bc088b7884098ea0c5378bbda3d49c437bc,cookie: replace use of fgets() with custom version,lib/cookie.c,lib/connect.c,1,lib/cookie.c,,,explicit_plus_range
