repo,snapshot_tag,snapshot_date,event_id,event_observation_id,event_published,event_date_source,ground_truth_source,ground_truth_aliases,fixed_commit,commit_subject,case_file,control_file,changed_source_files_count,changed_source_files_sample,review_decision,review_notes,source_family,changed_source_files_full,changed_source_files_review_count,case_file_in_changed_files,multi_file_fix,commit_message_full,commit_mentions_event_id,message_has_security_signal,source_has_explicit_id,source_has_nvd_ref,source_has_osv_ref,source_has_osv_range,event_commit_review,file_review,overall_review
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2014-3613,curl:curl-7_37_0:CVE-2014-3613,2014-09-10T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2014-3613;CVE-2014-3613,8a75dbeb2305297640453029b7905ef51b87e8dd,cookies: only use full host matches for hosts used as IP address,lib/cookie.c,lib/connect.c,1,lib/cookie.c,,Commit message or body links the fix explicitly to a vulnerability identifier.,explicit_plus_range,lib/cookie.c,1,1,0,"cookies: only use full host matches for hosts used as IP address

By not detecting and rejecting domain names for partial literal IP
addresses properly when parsing received HTTP cookies, libcurl can be
fooled to both send cookies to wrong sites and to allow arbitrary sites
to set cookies for others.

CVE-2014-3613

Bug: http://curl.haxx.se/docs/adv_20140910A.html",1,1,1,0,0,1,accept,accept,accept
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2014-3707,curl:curl-7_37_0:CVE-2014-3707,2014-11-05T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2014-3707;CVE-2014-3707,b3875606925536f82fc61f3114ac42f29eaf6945,curl_easy_duphandle: CURLOPT_COPYPOSTFIELDS read out of bounds,lib/formdata.c,lib/telnet.c,8,lib/formdata.c;lib/strdup.c;lib/strdup.h;lib/url.c;lib/urldata.h;src/tool_setup.h;src/tool_strdup.c;src/tool_strdup.h,,Commit message or body links the fix explicitly to a vulnerability identifier.,explicit_plus_range,lib/formdata.c;lib/strdup.c;lib/strdup.h;lib/url.c;lib/urldata.h;src/tool_setup.h;src/tool_strdup.c;src/tool_strdup.h,8,1,1,"curl_easy_duphandle: CURLOPT_COPYPOSTFIELDS read out of bounds

When duplicating a handle, the data to post was duplicated using
strdup() when it could be binary and contain zeroes and it was not even
zero terminated! This caused read out of bounds crashes/segfaults.

Since the lib/strdup.c file no longer is easily shared with the curl
tool with this change, it now uses its own version instead.

Bug: http://curl.haxx.se/docs/adv_20141105.html
CVE: CVE-2014-3707
Reported-By: Symeon Paraschoudis",1,1,1,0,0,1,accept,ambiguous,ambiguous
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2015-3148,curl:curl-7_37_0:CVE-2015-3148,2015-04-21T21:20:37+00:00,fixed_commit_epoch,explicit_id,CVE-2015-3148,79b9d5f1a42578f807a6c94914bc65cbaa304b6d,http_done: close Negotiate connections when done,lib/http.c,lib/ssh.c,1,lib/http.c,,Commit message or body links the fix explicitly to a vulnerability identifier.,explicit_only,lib/http.c,1,1,0,"http_done: close Negotiate connections when done

When doing HTTP requests Negotiate authenticated, the entire connnection
may become authenticated and not just the specific HTTP request which is
otherwise how HTTP works, as Negotiate can basically use NTLM under the
hood. curl was not adhering to this fact but would assume that such
requests would also be authenticated per request.

CVE-2015-3148

Bug: http://curl.haxx.se/docs/adv_20150422B.html
Reported-by: Isaac Boukris",1,1,1,0,0,0,accept,accept,accept
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2016-0754,curl:curl-7_37_0:CVE-2016-0754,2016-01-26T22:42:55+00:00,fixed_commit_epoch,explicit_id,CVE-2016-0754,3017d8a8d8849ebd4feae4f5eae037cd55736a61,curl: avoid local drive traversal when saving file (Windows),src/tool_cb_hdr.c,lib/if2ip.c,4,src/tool_cb_hdr.c;src/tool_doswin.c;src/tool_doswin.h;src/tool_operate.c,,Commit message or body links the fix explicitly to a vulnerability identifier.,explicit_only,src/tool_cb_hdr.c;src/tool_doswin.c;src/tool_doswin.h;src/tool_operate.c,4,1,1,"curl: avoid local drive traversal when saving file (Windows)

curl does not sanitize colons in a remote file name that is used as the
local file name. This may lead to a vulnerability on systems where the
colon is a special path character. Currently Windows/DOS is the only OS
where this vulnerability applies.

CVE-2016-0754

Bug: http://curl.haxx.se/docs/adv_20160127B.html",1,1,1,0,0,0,accept,ambiguous,ambiguous
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2016-3739,curl:curl-7_37_0:CVE-2016-3739,2016-05-18T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2016-3739;CVE-2016-3739,6efd2fa529a189bf41736a610f6184cd8ad94b4d,"mbedtls/polarssl: set ""hostname"" unconditionally",lib/vtls/polarssl.c,lib/vtls/vtls.c,2,lib/vtls/mbedtls.c;lib/vtls/polarssl.c,,Commit message or body links the fix explicitly to a vulnerability identifier.,explicit_plus_range,lib/vtls/mbedtls.c;lib/vtls/polarssl.c,2,1,1,"mbedtls/polarssl: set ""hostname"" unconditionally

...as otherwise the TLS libs will skip the CN/SAN check and just allow
connection to any server. curl previously skipped this function when SNI
wasn't used or when connecting to an IP address specified host.

CVE-2016-3739

Bug: https://curl.haxx.se/docs/adv_20160518A.html
Reported-by: Moti Avrahami",1,1,1,0,0,1,accept,accept,accept
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-5419,curl:curl-7_50_0:CVE-2016-5419,2016-08-03T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2016-5419;CVE-2016-5419,247d890da88f9ee817079e246c59f3d7d12fde5f,TLS: switch off SSL session id when client cert is used,lib/url.c,src/tool_operate.c,3,lib/url.c;lib/urldata.h;lib/vtls/vtls.c,,Commit message or body links the fix explicitly to a vulnerability identifier.,explicit_plus_range,lib/url.c;lib/urldata.h;lib/vtls/vtls.c,3,1,1,"TLS: switch off SSL session id when client cert is used

CVE-2016-5419
Bug: https://curl.haxx.se/docs/adv_20160803A.html
Reported-by: Bru Rom
Contributions-by: Eric Rescorla and Ray Satiro",1,1,1,0,0,1,accept,accept,accept
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-5420,curl:curl-7_50_0:CVE-2016-5420,2016-08-02T22:34:27+00:00,fixed_commit_epoch,explicit_id,CVE-2016-5420,11ec5ad4352bba384404c56e77c7fab9382fd22d,TLS: only reuse connections with the same client cert,lib/vtls/vtls.c,lib/vauth/ntlm.c,1,lib/vtls/vtls.c,,Commit message or body links the fix explicitly to a vulnerability identifier.,explicit_only,lib/vtls/vtls.c,1,1,0,"TLS: only reuse connections with the same client cert

CVE-2016-5420
Bug: https://curl.haxx.se/docs/adv_20160803B.html",1,1,1,0,0,0,accept,accept,accept
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-5421,curl:curl-7_50_0:CVE-2016-5421,2016-08-02T22:34:27+00:00,fixed_commit_epoch,explicit_id,CVE-2016-5421,75dc096e01ef1e21b6c57690d99371dedb2c0b80,curl_multi_cleanup: clear connection pointer for easy handles,lib/multi.c,lib/ssh.c,1,lib/multi.c,,Commit message or body links the fix explicitly to a vulnerability identifier.,explicit_only,lib/multi.c,1,1,0,"curl_multi_cleanup: clear connection pointer for easy handles

CVE-2016-5421
Bug: https://curl.haxx.se/docs/adv_20160803C.html
Reported-by: Marcelo Echeverria and Fernando Muñoz",1,1,1,0,0,0,accept,accept,accept
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-7167,curl:curl-7_50_0:CVE-2016-7167,2016-09-14T05:49:43+00:00,fixed_commit_epoch,explicit_id,CVE-2016-7167,01cf1308ee2e792c77bb1d2c9218c56a30fd40ae,curl_easy_unescape: deny negative string lengths as input,lib/escape.c,src/tool_getpass.c,1,lib/escape.c,,Commit message or body links the fix explicitly to a vulnerability identifier.,explicit_only,lib/escape.c,1,1,0,"curl_easy_unescape: deny negative string lengths as input

CVE-2016-7167

Bug: https://curl.haxx.se/docs/adv_20160914.html",1,1,1,0,0,0,accept,accept,accept
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8615,curl:curl-7_50_0:CVE-2016-8615,2016-11-02T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2016-8615;CVE-2016-8615,cff89bc088b7884098ea0c5378bbda3d49c437bc,cookie: replace use of fgets() with custom version,lib/cookie.c,lib/connect.c,1,lib/cookie.c,,Commit message or body links the fix explicitly to a vulnerability identifier.,explicit_plus_range,lib/cookie.c,1,1,0,"cookie: replace use of fgets() with custom version

... that will ignore lines that are too long to fit in the buffer.

CVE-2016-8615

Bug: https://curl.haxx.se/docs/adv_20161102A.html
Reported-by: Cure53",1,1,1,0,0,1,accept,accept,accept
