pair_id,repo,security_event_id,security_ground_truth_policy,commit,label,kind,file_path,suffix,loc,size_bytes,ci_gzip,shannon_entropy,cyclomatic_density,halstead_volume,composite_score,log_loc,log_size_bytes
0,jq,CVE-2023-50268,expanded_advisory_event,c9a51565214eece8f1053089739aea73145bfd6b,1,security,src/jv.c,.c,1628.0,51781.0,0.24962824201927347,0.6784933626693421,0.1375921375921376,0.0968666793195208,0.3023208419536742,7.395721608602045,10.854797877511324
0,jq,CVE-2023-50268,expanded_advisory_event,8537b93a4301ecac98fb7dad92bba9cfd17a1f37,0,bugfix,src/compile.c,.c,1184.0,46081.0,0.23838458366788914,0.6903699974770905,0.20270270270270271,0.05545888516776376,0.3117353697624896,7.077498053569231,10.738177697205677
1,jq,CVE-2023-50246,expanded_advisory_event,71c2ab509a8628dbbad4bc7b3f98a64aa90d3297,1,security,src/jv.c,.c,1631.0,51862.0,0.24964328410011183,0.6786393246920671,0.13733905579399142,0.0968666793195208,0.3022937022088557,7.397561535524052,10.85636090547197
1,jq,CVE-2023-50246,expanded_advisory_event,860af44fee7dcea8797daeb836a9b7c971c67e65,0,bugfix,src/jv.c,.c,1630.0,51871.0,0.250043376838696,0.6786402673979232,0.13803680981595093,0.09715435539507719,0.302631943411121,7.396948602621014,10.856534424535402
2,jq,OSV-2024-330,expanded_advisory_event,6ce6e7c71355a0b6006e9e3371364f6945da5a29,1,security,src/util.c,.c,1067.0,37670.0,0.26883461640562784,0.7112684089155845,0.20618556701030927,0.0539158811108031,0.32820434929206344,6.97354301952014,10.536645846657073
2,jq,OSV-2024-330,expanded_advisory_event,a8ce2ff09af51b39be0d76091e6117caccd1b5c0,0,bugfix,src/jv_aux.c,.c,689.0,23045.0,0.21219353438923844,0.6932967343599051,0.22641509433962265,0.0,0.30203904417857036,6.536691597591305,10.04524749757396
3,jq,OSV-2024-330,expanded_advisory_event,6ce6e7c71355a0b6006e9e3371364f6945da5a29,1,security,src/decNumber/decBasic.c,.c,2323.0,179866.0,0.2184459542103566,0.5997386913547107,0.28971157985363755,0.09068905956085178,0.30465919468754155,7.751045117971802,12.099972967870523
3,jq,OSV-2024-330,expanded_advisory_event,fa3733cc4c001106847d2591f00abd401ce3e940,0,bugfix,src/decNumber/decNumberLocal.h,.h,496.0,39038.0,0.21914544802500127,0.6470795946705769,0.1814516129032258,0.024317398347295162,0.28397277122680764,6.208590026096629,10.572316425444868
4,jq,OSV-2024-330,expanded_advisory_event,6ce6e7c71355a0b6006e9e3371364f6945da5a29,1,security,src/decNumber/decNumber.c,.c,4769.0,389135.0,0.2127564983874491,0.5783237067117801,0.30236946949045923,0.14898479604392972,0.30860908914639174,8.470101583882387,12.871684175895599
4,jq,OSV-2024-330,expanded_advisory_event,34182cca7babec086bbc93dec209275be896ca9e,0,bugfix,src/jv_dtoa_tsd.c,.c,39.0,1207.0,0.3620546810273405,0.8680872465948556,0.1282051282051282,0.0,0.3826549771576043,3.6888794541139363,7.0967213784947605
5,jq,OSV-2023-1329,expanded_advisory_event,b86ff49f46a4a37e5a8e75a140cb5fd6e1331384,1,security,src/jv.c,.c,1647.0,52408.0,0.2491222714089452,0.6779184831892833,0.13782635094110504,0.09858419370033414,0.30233034804406606,7.4073177104694174,10.866833611286
5,jq,OSV-2023-1329,expanded_advisory_event,a03ae02f4489e35cc874bb529570092414eee729,0,bugfix,src/execute.c,.c,990.0,32611.0,0.23832449173591733,0.6951043449772948,0.1484848484848485,0.041785251488589734,0.2978919369469192,6.898714534329988,10.392435597782802
6,jq,CVE-2024-53427,expanded_advisory_event,a09a4dfd55e6c24d04b35062ccfe4509748b1dd3,1,security,src/jv.c,.c,1685.0,53482.0,0.2469055009161961,0.6760711301520995,0.13827893175074185,0.10028150156070534,0.301508403936073,7.430114138561801,10.887119125379296
6,jq,CVE-2024-53427,expanded_advisory_event,0f80921268edcc3d502e6d84612ba71fed6b0947,0,bugfix,src/compile.c,.c,1169.0,45279.0,0.2377702687780207,0.6936184443172025,0.2018819503849444,0.0539158811108031,0.3119432666368965,7.064759027791802,10.720620712877064
7,jq,CVE-2024-23337,expanded_advisory_event,de21386681c0df0104a99d9d09db23a9b2a78b1e,1,security,src/jv_aux.c,.c,700.0,23244.0,0.21205472379969023,0.6926099175641715,0.2257142857142857,0.0,0.30157669127163056,6.55250788703459,10.053845334124684
7,jq,CVE-2024-23337,expanded_advisory_event,4e3088f1888f367ce744d830423848d15a03f5d0,0,bugfix,src/util.c,.c,1067.0,37675.0,0.2687989382879894,0.7113773808028749,0.20618556701030927,0.0539158811108031,0.3282288379874237,6.97354301952014,10.536778565942708
8,jq,CVE-2024-23337,expanded_advisory_event,de21386681c0df0104a99d9d09db23a9b2a78b1e,1,security,src/jv.c,.c,1689.0,53664.0,0.2468880441264162,0.6760389706137375,0.13913558318531677,0.1005624549193879,0.3017625599573995,7.432483807917119,10.890516298915625
8,jq,CVE-2024-23337,expanded_advisory_event,0673dee1b38db5d49ae3f8cda0ba53fa4021c3ba,0,bugfix,src/execute.c,.c,1066.0,34642.0,0.2334738179088967,0.6895404234870566,0.14821763602251406,0.04757334309663985,0.29571836798632795,6.9726062513017535,10.4528509640072
9,jq,CVE-2025-48060,expanded_advisory_event,c6e041699d8cd31b97375a2596217aff2cfca85b,1,security,src/jv.c,.c,1716.0,54332.0,0.24633733343149525,0.674914490527926,0.14335664335664336,0.1011227255423254,0.30241981644050675,7.448333860897476,10.902887056132645
9,jq,CVE-2025-48060,expanded_advisory_event,df95871dd7415627bda6d70ce0569d0a4fbc22c6,0,bugfix,src/compile.c,.c,1170.0,45240.0,0.23764367816091955,0.6938414334558372,0.19914529914529913,0.05352753766208025,0.31119144893074846,7.065613363597717,10.719759034318209
10,jq,OSV-2025-363,expanded_advisory_event,c6e041699d8cd31b97375a2596217aff2cfca85b,1,security,src/jv.c,.c,1716.0,54332.0,0.24633733343149525,0.674914490527926,0.14335664335664336,0.1011227255423254,0.30241981644050675,7.448333860897476,10.902887056132645
10,jq,OSV-2025-363,expanded_advisory_event,dd4cec664cd2a45921189fab2a938a4966191a31,0,bugfix,src/execute.c,.c,1070.0,34899.0,0.23416143729046676,0.6897812950147032,0.15046728971962617,0.04797802640290989,0.2966044856445585,6.976348070447749,10.460242108190519
11,jq,CVE-2025-49014,expanded_advisory_event,499c91bca9d4d027833bc62787d1bb075c03680e,1,security,src/builtin.c,.c,1868.0,64315.0,0.22044624115680633,0.657153287099611,0.17612419700214133,0.13728650601125877,0.30248953213534685,7.533158807455563,11.071563712864302
11,jq,CVE-2025-49014,expanded_advisory_event,695830c453113ea4cf6b62c76046945ac24b0296,0,bugfix,src/builtin.c,.c,1870.0,64405.0,0.22038661594596692,0.6571746551358058,0.17593582887700535,0.13750394313469255,0.3024482270944247,7.534228326274089,11.072962075454468
