repo,security_commit,security_event_id,security_ground_truth_policy,bugfix_commit,n_pairs,mean_delta_composite,median_delta_composite,positive_share
jq,3985b80ce50bd75c6eb5a97cb3348c3f835ca8e0,GHSA-GF4G-95WJ-4Q4R,expanded_advisory_event,cec6b0f34603edc5cd12db1f63dacdf547b4bb4a,2,0.00917963849054998,0.00917963849054998,0.5
jq,c6e041699d8cd31b97375a2596217aff2cfca85b,OSV-2025-363,expanded_advisory_event,dd4cec664cd2a45921189fab2a938a4966191a31,1,0.005815330795948259,0.005815330795948259,1.0
jq,b86ff49f46a4a37e5a8e75a140cb5fd6e1331384,OSV-2023-1329,expanded_advisory_event,a03ae02f4489e35cc874bb529570092414eee729,1,0.004438411097146877,0.004438411097146877,1.0
jq,499c91bca9d4d027833bc62787d1bb075c03680e,CVE-2025-49014,expanded_advisory_event,695830c453113ea4cf6b62c76046945ac24b0296,1,4.130504092214604e-05,4.130504092214604e-05,1.0
jq,71c2ab509a8628dbbad4bc7b3f98a64aa90d3297,CVE-2023-50246,expanded_advisory_event,860af44fee7dcea8797daeb836a9b7c971c67e65,1,-0.000338241202265277,-0.000338241202265277,0.0
jq,c6e041699d8cd31b97375a2596217aff2cfca85b,CVE-2025-48060,expanded_advisory_event,df95871dd7415627bda6d70ce0569d0a4fbc22c6,1,-0.00877163249024171,-0.00877163249024171,0.0
jq,6ce6e7c71355a0b6006e9e3371364f6945da5a29,OSV-2024-330,expanded_advisory_event,a8ce2ff09af51b39be0d76091e6117caccd1b5c0,3,-0.009064719812328537,0.020686423460733905,0.6666666666666666
jq,c9a51565214eece8f1053089739aea73145bfd6b,CVE-2023-50268,expanded_advisory_event,8537b93a4301ecac98fb7dad92bba9cfd17a1f37,1,-0.00941452780881541,-0.00941452780881541,0.0
jq,de21386681c0df0104a99d9d09db23a9b2a78b1e,CVE-2024-23337,expanded_advisory_event,4e3088f1888f367ce744d830423848d15a03f5d0,2,-0.0103039773723608,-0.0103039773723608,0.5
jq,a09a4dfd55e6c24d04b35062ccfe4509748b1dd3,CVE-2024-53427,expanded_advisory_event,0f80921268edcc3d502e6d84612ba71fed6b0947,1,-0.0104348627008235,-0.0104348627008235,0.0
jq,5e159b34b179417e3e0404108190a2ac7d65611c,GHSA-F946-J5J2-4W5M,expanded_advisory_event,8001955fb76f784480fba3300fea602012ee9446,1,-0.018000388124541633,-0.018000388124541633,0.0
libxml2,2240fbf5912054af025fb6e01e26375100275e74,CVE-2018-9251,expanded_advisory_event,936e3d529a6fc17d552f4b6544ba8e51646069df,1,0.03378496116042001,0.03378496116042001,1.0
libxml2,055b382541c8b8ba12d8f0d709db7030e10e8135,CVE-2025-24928,expanded_advisory_event,4fec0889e0cd406710f96f97a566495cb8178f3b,1,0.024961629530958207,0.024961629530958207,1.0
libxml2,2240fbf5912054af025fb6e01e26375100275e74,CVE-2018-14567,expanded_advisory_event,1aabc9db40dc5ec1f8f22c09e74c63dda53f7ed6,1,0.019573094293007964,0.019573094293007964,1.0
libxml2,4bf899bf1b719d692be407b89f6610103f13bd5d,CVE-2008-3281,expanded_advisory_event,c537ccf0aea640e625abce653d5890afc934b340,5,0.016444324577354535,0.005770523552699858,0.8
libxml2,94691dc884d1a8ada39f073408b4bb92fe7fe882,CVE-2017-5969,expanded_advisory_event,cb4334b7abf265f55d1a41f435fedd67494eeb18,1,0.015437780182626148,0.015437780182626148,1.0
libxml2,932cc9896ab41475d4aa429c27d9afd175959d74,CVE-2017-9048,expanded_advisory_event,250faf3c832d998baa559ca1a1c61935235aba20,1,0.01536904563396424,0.01536904563396424,1.0
libxml2,09a2dd453007f9c7205274623acdd73747c22d64,CVE-2023-29469,expanded_advisory_event,0bef170486223f5da754b2104773cc332a079ada,1,0.01513348576350576,0.01513348576350576,1.0
libxml2,932cc9896ab41475d4aa429c27d9afd175959d74,CVE-2017-9047,expanded_advisory_event,0c56eb8215bea9e8e4aa934e45c677e6e132cf68,1,0.015123394158683412,0.015123394158683412,1.0
