repo,security_commit,security_parent,security_event_id,security_ids,security_ground_truth_policy,security_ground_truth_source,security_epoch,security_file,security_suffix,security_size_bytes,security_directory_depth,security_subsystem_key,security_top_level_key,security_prior_touches_total,security_prior_touches_365d,security_total_churn,security_churn_365d,security_file_age_days,security_loc,security_composite,security_ci_gzip,security_entropy,security_cc_density,security_halstead,bugfix_commit,bugfix_parent,bugfix_subject,bugfix_epoch,bugfix_file,bugfix_suffix,bugfix_directory_depth,bugfix_subsystem_key,bugfix_top_level_key,bugfix_size_bytes,bugfix_loc,bugfix_prior_touches_total,bugfix_prior_touches_365d,bugfix_total_churn,bugfix_churn_365d,bugfix_file_age_days,bugfix_composite,bugfix_ci_gzip,bugfix_entropy,bugfix_cc_density,bugfix_halstead,loc_ratio,same_suffix_match,same_subsystem_match,same_top_level_match,delta_composite,delta_ci_gzip,delta_entropy,delta_cc_density,delta_halstead,delta_log_prior_touches_total
jq,c9a51565214eece8f1053089739aea73145bfd6b,c5fd64ba975ee35df17bb0c335efb00bffce4d91,CVE-2023-50268,CVE-2023-50268,expanded_advisory_event,explicit_id+nvd_ref+osv_range+osv_ref,1702495037,src/jv.c,.c,51781.0,1,src,src,96.0,16.0,3898.0,226.0,4124.088587962963,1628.0,0.3023208419536742,0.24962824201927347,0.6784933626693421,0.1375921375921376,0.0968666793195208,8537b93a4301ecac98fb7dad92bba9cfd17a1f37,9a0d5be790f0c89c02ffde11144157f067b19fd1,Fix block flipping in block_drop_unreferenced,1551199748,src/compile.c,.c,1,src,src,46081,1184,96,6,3298,218,2385.7004398148147,0.3117353697624896,0.23838458366788914,0.6903699974770905,0.20270270270270271,0.05545888516776376,1.375,1,1,1,-0.00941452780881541,0.011243658351384328,-0.011876634807748365,-0.06511056511056512,0.041407794151757035,0.0
jq,71c2ab509a8628dbbad4bc7b3f98a64aa90d3297,c9a51565214eece8f1053089739aea73145bfd6b,CVE-2023-50246,CVE-2023-50246,expanded_advisory_event,explicit_id+nvd_ref+osv_range+osv_ref,1702495222,src/jv.c,.c,51862.0,1,src,src,97.0,17.0,3910.0,238.0,4124.090729166666,1631.0,0.3022937022088557,0.24964328410011183,0.6786393246920671,0.13733905579399142,0.0968666793195208,860af44fee7dcea8797daeb836a9b7c971c67e65,37f4cd2648faa2a4c78c3d4caf5d61cb491c7d22,Fix typos (#3173),1726219849,src/jv.c,.c,1,src,src,51871,1630,99,6,3919,50,4398.681319444445,0.302631943411121,0.250043376838696,0.6786402673979232,0.13803680981595093,0.09715435539507719,1.0006134969325153,1,1,1,-0.000338241202265277,-0.00040009273858415684,-9.427058560440571e-07,-0.0006977540219595124,-0.00028767607555639507,-0.020202707317519497
jq,6ce6e7c71355a0b6006e9e3371364f6945da5a29,e4d0b12d7d5b91e6bb1d2d233018bc63ed28e3ae,OSV-2024-330,OSV-2024-330,expanded_advisory_event,osv_range,1714417426,src/util.c,.c,37670.0,1,src,src,41.0,10.0,1640.0,950.0,3568.633738425926,1067.0,0.32820434929206344,0.26883461640562784,0.7112684089155845,0.20618556701030927,0.0539158811108031,a8ce2ff09af51b39be0d76091e6117caccd1b5c0,4003202ccf241cedb01cbe5f81523bcc40d588ad,Avoid zero-length `calloc` (#3280),1741095231,src/jv_aux.c,.c,1,src,src,23045,689,41,3,1181,29,4480.6327083333335,0.30203904417857036,0.21219353438923844,0.6932967343599051,0.22641509433962265,0.0,1.5486211901306242,1,1,1,0.026165305113493076,0.0566410820163894,0.017971674555679384,-0.02022952732931338,0.0539158811108031,0.0
jq,6ce6e7c71355a0b6006e9e3371364f6945da5a29,e4d0b12d7d5b91e6bb1d2d233018bc63ed28e3ae,OSV-2024-330,OSV-2024-330,expanded_advisory_event,osv_range,1714417426,src/decNumber/decBasic.c,.c,179866.0,2,src/decNumber,src,1.0,0.0,3908.0,0.0,1651.0365972222223,2323.0,0.30465919468754155,0.2184459542103566,0.5997386913547107,0.28971157985363755,0.09068905956085178,fa3733cc4c001106847d2591f00abd401ce3e940,82987df98dc03d95a58363731a647520283071cd,fix typos,1577983932,src/decNumber/decNumberLocal.h,.h,2,src/decNumber,src,39038,496,1,1,757,757,71.94523148148149,0.28397277122680764,0.21914544802500127,0.6470795946705769,0.1814516129032258,0.024317398347295162,4.683467741935484,0,1,1,0.020686423460733905,-0.0006994938146446805,-0.047340903315866156,0.10825996695041173,0.06637166121355662,0.0
jq,6ce6e7c71355a0b6006e9e3371364f6945da5a29,e4d0b12d7d5b91e6bb1d2d233018bc63ed28e3ae,OSV-2024-330,OSV-2024-330,expanded_advisory_event,osv_range,1714417426,src/decNumber/decNumber.c,.c,389135.0,2,src/decNumber,src,2.0,1.0,8147.0,6.0,1651.0365972222223,4769.0,0.30860908914639174,0.2127564983874491,0.5783237067117801,0.30236946949045923,0.14898479604392972,34182cca7babec086bbc93dec209275be896ca9e,d18b2d078c2383d9472d0a0a226e07009025574f,Fix Windows build for 1.7 release (pthread stuff),1630696698,src/jv_dtoa_tsd.c,.c,1,src,src,1207,39,2,1,50,4,682.0466898148148,0.3826549771576043,0.3620546810273405,0.8680872465948556,0.1282051282051282,0.0,122.28205128205128,1,0,1,-0.07404588801121259,-0.14929818263989142,-0.28976353988307546,0.17416434128533104,0.14898479604392972,0.0
jq,b86ff49f46a4a37e5a8e75a140cb5fd6e1331384,64bd8ba3749fe473b0708f999e088dfa94d37a2c,OSV-2023-1329,OSV-2023-1329,expanded_advisory_event,osv_range,1739711316,src/jv.c,.c,52408.0,1,src,src,102.0,4.0,3966.0,54.0,4554.832557870371,1647.0,0.30233034804406606,0.2491222714089452,0.6779184831892833,0.13782635094110504,0.09858419370033414,a03ae02f4489e35cc874bb529570092414eee729,45f126514c6701838b12091b6cfe4047dea37f28,Fix memory leak,1488148430,src/execute.c,.c,1,src,src,32611,990,102,2,3523,81,1655.9398148148148,0.2978919369469192,0.23832449173591733,0.6951043449772948,0.1484848484848485,0.041785251488589734,1.6636363636363636,1,1,1,0.004438411097146877,0.010797779673027863,-0.017185861788011514,-0.010658497543743456,0.056798942211744405,0.0
jq,a09a4dfd55e6c24d04b35062ccfe4509748b1dd3,a8ce2ff09af51b39be0d76091e6117caccd1b5c0,CVE-2024-53427,CVE-2024-53427,expanded_advisory_event,explicit_id,1741128234,src/jv.c,.c,53482.0,1,src,src,105.0,7.0,4021.0,109.0,4571.232071759259,1685.0,0.301508403936073,0.2469055009161961,0.6760711301520995,0.13827893175074185,0.10028150156070534,0f80921268edcc3d502e6d84612ba71fed6b0947,6716e23ae6d534db0d3f2af2d1610f17444fb5a9,Fix constant folding of division and reminder with zero divisor,1690835953,src/compile.c,.c,1,src,src,45279,1169,106,4,3419,64,4001.8602199074076,0.3119432666368965,0.2377702687780207,0.6936184443172025,0.2018819503849444,0.0539158811108031,1.4414029084687767,1,1,1,-0.0104348627008235,0.009135232138175381,-0.017547314165103023,-0.06360301863420253,0.04636562044990224,-0.00938974034983886
jq,de21386681c0df0104a99d9d09db23a9b2a78b1e,4e2ccc4c9ba0f726d6a44e065384630f4f974641,CVE-2024-23337,CVE-2024-23337,expanded_advisory_event,explicit_id+nvd_ref+osv_range+osv_ref,1747781303,src/jv_aux.c,.c,23244.0,1,src,src,43.0,3.0,1192.0,33.0,4558.017800925926,700.0,0.30157669127163056,0.21205472379969023,0.6926099175641715,0.2257142857142857,0.0,4e3088f1888f367ce744d830423848d15a03f5d0,7d8c096e487a6ef5f7294e4862938d594ad67f57,Fix behavior of `--slurp --stream` when input has no trailing newline character (#3279),1747868645,src/util.c,.c,1,src,src,37675,1067,43,1,1644,2,3955.800625,0.3282288379874237,0.2687989382879894,0.7113773808028749,0.20618556701030927,0.0539158811108031,0.6560449859418932,1,1,1,-0.026652146715793135,-0.056744214488299166,-0.018767463238703486,0.019528718703976433,-0.0539158811108031,0.0
jq,de21386681c0df0104a99d9d09db23a9b2a78b1e,4e2ccc4c9ba0f726d6a44e065384630f4f974641,CVE-2024-23337,CVE-2024-23337,expanded_advisory_event,explicit_id+nvd_ref+osv_range+osv_ref,1747781303,src/jv.c,.c,53664.0,1,src,src,107.0,8.0,4042.0,123.0,4648.235185185185,1689.0,0.3017625599573995,0.2468880441264162,0.6760389706137375,0.13913558318531677,0.1005624549193879,0673dee1b38db5d49ae3f8cda0ba53fa4021c3ba,3dc5f4e948b1114c37a9afd3060dacf099892689,Fix destructuring alternation,1534562148,src/execute.c,.c,1,src,src,34642,1066,107,0,3627,0,2193.135625,0.29571836798632795,0.2334738179088967,0.6895404234870566,0.14821763602251406,0.04757334309663985,1.5844277673545966,1,1,1,0.006044191971071533,0.013414226217519504,-0.013501452873319053,-0.00908205283719729,0.05298911182274804,0.0
jq,c6e041699d8cd31b97375a2596217aff2cfca85b,3b00981acd9b6b373b5bbb7643802b77169200dc,CVE-2025-48060,CVE-2025-48060,expanded_advisory_event,explicit_id,1748659600,src/jv.c,.c,54332.0,1,src,src,108.0,9.0,4087.0,168.0,4658.400659722222,1716.0,0.30241981644050675,0.24633733343149525,0.674914490527926,0.14335664335664336,0.1011227255423254,df95871dd7415627bda6d70ce0569d0a4fbc22c6,91d72575e43bf48e52e6bd9cac7db8b019ea3151,"Fix leak on too-large programs, OSS Fuzz issue 61349",1693297661,src/compile.c,.c,1,src,src,45240,1170,108,6,3432,77,4030.3522106481482,0.31119144893074846,0.23764367816091955,0.6938414334558372,0.19914529914529913,0.05352753766208025,1.4666666666666666,1,1,1,-0.00877163249024171,0.008693655270575695,-0.018926942927911194,-0.05578865578865577,0.04759518788024515,0.0
