repo,bugfix_commit,bugfix_file,bugfix_parent,bugfix_subject,bugfix_suffix,bugfix_directory_depth,bugfix_subsystem_key,bugfix_top_level_key,bugfix_size_bytes,bugfix_loc,bugfix_prior_touches_total,bugfix_prior_touches_365d,bugfix_total_churn,bugfix_churn_365d,bugfix_file_age_days,bugfix_composite,bugfix_ci_gzip,bugfix_entropy,bugfix_cc_density,bugfix_halstead
jq,0673dee1b38db5d49ae3f8cda0ba53fa4021c3ba,src/execute.c,3dc5f4e948b1114c37a9afd3060dacf099892689,Fix destructuring alternation,.c,1,src,src,34642,1066,107,0,3627,0,2193.135625,0.29571836798632795,0.2334738179088967,0.6895404234870566,0.14821763602251406,0.04757334309663985
jq,0f80921268edcc3d502e6d84612ba71fed6b0947,src/compile.c,6716e23ae6d534db0d3f2af2d1610f17444fb5a9,Fix constant folding of division and reminder with zero divisor,.c,1,src,src,45279,1169,106,4,3419,64,4001.8602199074076,0.3119432666368965,0.2377702687780207,0.6936184443172025,0.2018819503849444,0.0539158811108031
jq,34182cca7babec086bbc93dec209275be896ca9e,src/jv_dtoa_tsd.c,d18b2d078c2383d9472d0a0a226e07009025574f,Fix Windows build for 1.7 release (pthread stuff),.c,1,src,src,1207,39,2,1,50,4,682.0466898148148,0.3826549771576043,0.3620546810273405,0.8680872465948556,0.1282051282051282,0.0
jq,4e3088f1888f367ce744d830423848d15a03f5d0,src/util.c,7d8c096e487a6ef5f7294e4862938d594ad67f57,Fix behavior of `--slurp --stream` when input has no trailing newline character (#3279),.c,1,src,src,37675,1067,43,1,1644,2,3955.800625,0.3282288379874237,0.2687989382879894,0.7113773808028749,0.20618556701030927,0.0539158811108031
jq,695830c453113ea4cf6b62c76046945ac24b0296,src/builtin.c,cd3a4c3d3198c95a33558a5f3d435f79a9467a33,Fix year 2038 problem on 32-bit platforms (fix #3369) (#3407),.c,1,src,src,64405,1870,298,19,5650,387,4777.948599537037,0.3024482270944247,0.22038661594596692,0.6571746551358058,0.17593582887700535,0.13750394313469255
jq,750dbe723b29b2023b83489af9683f4fe8a40cbe,src/execute.c,2ad99a6c700618da258a53eb0d46b3dba2a2d396,Fix memory leaks and double frees (#3487),.c,1,src,src,36530,1136,130,1,3873,24,4944.88574074074,0.29594348126225806,0.23216534355324392,0.6909704890846619,0.1487676056338028,0.049984588708320565
jq,8001955fb76f784480fba3300fea602012ee9446,src/builtin.c,e6fa039f3fc939b32e17df88c10a52ce44541a0f,Fix memory leak in libm cfunctions,.c,1,src,src,49492,1383,201,5,3793,126,1642.6915509259259,0.29328060788585003,0.21189283116463267,0.662938637853366,0.16196673897324657,0.10687782779854124
jq,8537b93a4301ecac98fb7dad92bba9cfd17a1f37,src/compile.c,9a0d5be790f0c89c02ffde11144157f067b19fd1,Fix block flipping in block_drop_unreferenced,.c,1,src,src,46081,1184,96,6,3298,218,2385.7004398148147,0.3117353697624896,0.23838458366788914,0.6903699974770905,0.20270270270270271,0.05545888516776376
jq,860af44fee7dcea8797daeb836a9b7c971c67e65,src/jv.c,37f4cd2648faa2a4c78c3d4caf5d61cb491c7d22,Fix typos (#3173),.c,1,src,src,51871,1630,99,6,3919,50,4398.681319444445,0.302631943411121,0.250043376838696,0.6786402673979232,0.13803680981595093,0.09715435539507719
jq,a03ae02f4489e35cc874bb529570092414eee729,src/execute.c,45f126514c6701838b12091b6cfe4047dea37f28,Fix memory leak,.c,1,src,src,32611,990,102,2,3523,81,1655.9398148148148,0.2978919369469192,0.23832449173591733,0.6951043449772948,0.1484848484848485,0.041785251488589734
