pair_id,repo,security_event_id,label,kind,log_loc,log_size_bytes,directory_depth,log_prior_touches_total,log_prior_touches_365d,log_total_churn,log_churn_365d,file_age_days,cyclomatic_density,halstead_volume,composite_score
0,jq,CVE-2023-50246,1,security,7.397561535524052,10.85636090547197,1.0,4.584967478670572,2.8903717578961645,8.271548374755515,5.476463551931511,4124.090729166666,0.13733905579399142,0.0968666793195208,0.3022937022088557
0,jq,CVE-2023-50246,0,bugfix,7.396948602621014,10.856534424535402,1.0,4.605170185988092,1.9459101490553132,8.273846932784508,3.9318256327243257,4398.681319444445,0.13803680981595093,0.09715435539507719,0.302631943411121
1,jq,CVE-2023-50268,1,security,7.395721608602045,10.854797877511324,1.0,4.574710978503383,2.833213344056216,8.268475388982598,5.424950017481403,4124.088587962963,0.1375921375921376,0.0968666793195208,0.3023208419536742
1,jq,CVE-2023-50268,0,bugfix,7.077498053569231,10.738177697205677,1.0,4.574710978503383,1.9459101490553132,8.101374671228582,5.389071729816501,2385.7004398148147,0.20270270270270271,0.05545888516776376,0.3117353697624896
2,jq,CVE-2024-23337,1,security,7.432483807917119,10.890516298915625,1.0,4.68213122712422,2.1972245773362196,8.304742269640771,4.820281565605037,4648.235185185185,0.13913558318531677,0.1005624549193879,0.3017625599573995
2,jq,CVE-2024-23337,0,bugfix,7.065613363597717,10.719759034318209,1.0,4.6913478822291435,1.9459101490553132,8.141189793457691,4.356708826689592,4030.3522106481482,0.19914529914529913,0.05352753766208025,0.31119144893074846
3,jq,CVE-2024-23337,1,security,6.55250788703459,10.053845334124684,1.0,3.784189633918261,1.3862943611198906,7.084226422097916,3.5263605246161616,4558.017800925926,0.2257142857142857,0.0,0.30157669127163056
3,jq,CVE-2024-23337,0,bugfix,6.536691597591305,10.04524749757396,1.0,3.7376696182833684,1.3862943611198906,7.074963197966044,3.4011973816621555,4480.6327083333335,0.22641509433962265,0.0,0.30203904417857036
4,jq,CVE-2024-53427,1,security,7.430114138561801,10.887119125379296,1.0,4.663439094112067,2.0794415416798357,8.299534570332597,4.700480365792417,4571.232071759259,0.13827893175074185,0.10028150156070534,0.301508403936073
4,jq,CVE-2024-53427,0,bugfix,7.064759027791802,10.720620712877064,1.0,4.672828834461906,1.6094379124341003,8.13739583005665,4.174387269895637,4001.8602199074076,0.2018819503849444,0.0539158811108031,0.3119432666368965
5,jq,CVE-2025-48060,1,security,7.448333860897476,10.902887056132645,1.0,4.6913478822291435,2.302585092994046,8.31581113188354,5.1298987149230735,4658.400659722222,0.14335664335664336,0.1011227255423254,0.30241981644050675
5,jq,CVE-2025-48060,0,bugfix,6.976348070447749,10.460242108190519,1.0,4.6913478822291435,0.6931471805599453,8.199738960630786,2.5649493574615367,2206.0476157407406,0.15046728971962617,0.04797802640290989,0.2966044856445585
6,jq,CVE-2025-49014,1,security,7.533158807455563,11.071563712864302,1.0,5.697093486505405,3.091042453358316,8.638525476583762,6.059123195581797,4689.923969907408,0.17612419700214133,0.13728650601125877,0.30248953213534685
6,jq,CVE-2025-49014,0,bugfix,7.534228326274089,11.072962075454468,1.0,5.700443573390687,2.995732273553991,8.639587799629844,5.961005339623274,4777.948599537037,0.17593582887700535,0.13750394313469255,0.3024482270944247
7,jq,GHSA-F946-J5J2-4W5M,1,security,6.467698726104354,10.182179333149776,1.0,5.303304908059076,2.70805020110221,8.288785810426928,6.175867270105761,4695.568865740741,0.02177293934681182,0.0,0.2752802197613084
7,jq,GHSA-F946-J5J2-4W5M,0,bugfix,7.232733136177615,10.809586524415446,1.0,5.308267697401205,1.791759469228055,8.24117615049496,4.844187086458591,1642.6915509259259,0.16196673897324657,0.10687782779854124,0.29328060788585003
8,jq,GHSA-GF4G-95WJ-4Q4R,1,security,7.044905117129371,10.510423036277007,1.0,4.882801922586371,1.0986122886681098,8.267705664762426,3.8501476017100584,4953.353912037037,0.1474694589877836,0.049984588708320565,0.2954299461783943
8,jq,GHSA-GF4G-95WJ-4Q4R,0,bugfix,7.036148493750536,10.505916494175118,1.0,4.875197323201151,0.6931471805599453,8.262042843966942,3.2188758248682006,4944.88574074074,0.1487676056338028,0.049984588708320565,0.29594348126225806
9,jq,GHSA-GF4G-95WJ-4Q4R,1,security,6.159095388491933,9.701922012375412,1.0,4.060443010546419,1.6094379124341003,6.92951677076365,4.795790545596741,4940.639178240741,0.1483050847457627,0.0,0.2989081323486355
