model,opacity_stratum,bin,n,mean_score,event_rate,abs_gap
baseline_history_plus_structure,overall,1,598,0.0007644954185304735,0.0,0.0007644954185304735
baseline_history_plus_structure,overall,2,598,0.0011950862816965202,0.0,0.0011950862816965202
baseline_history_plus_structure,overall,3,598,0.0016231139882930947,0.0,0.0016231139882930947
baseline_history_plus_structure,overall,4,598,0.002164440269890664,0.0,0.002164440269890664
baseline_history_plus_structure,overall,5,598,0.0029457599340153525,0.0,0.0029457599340153525
baseline_history_plus_structure,overall,6,598,0.004205768688260833,0.005016722408026756,0.0008109537197659228
baseline_history_plus_structure,overall,7,598,0.006152128605941912,0.0033444816053511705,0.0028076470005907414
baseline_history_plus_structure,overall,8,598,0.009775337542159312,0.008361204013377926,0.0014141335287813864
baseline_history_plus_structure,overall,9,598,0.017573414369722033,0.01839464882943144,0.0008212344597094065
baseline_history_plus_structure,overall,10,598,0.05504918600765906,0.03678929765886288,0.01825988834879618
baseline_history_plus_structure,Q1,1,60,0.002545255767079413,0.0,0.002545255767079413
baseline_history_plus_structure,Q1,2,60,0.004346278780948298,0.0,0.004346278780948298
baseline_history_plus_structure,Q1,3,60,0.006878122579350185,0.0,0.006878122579350185
baseline_history_plus_structure,Q1,4,59,0.0095246335082297,0.0,0.0095246335082297
baseline_history_plus_structure,Q1,5,60,0.012485995520884764,0.016666666666666666,0.0041806711457819026
baseline_history_plus_structure,Q1,6,60,0.01682400530756609,0.0,0.01682400530756609
baseline_history_plus_structure,Q1,7,59,0.022437804078826794,0.01694915254237288,0.005488651536453913
baseline_history_plus_structure,Q1,8,60,0.03065736124792884,0.03333333333333333,0.002675972085404491
baseline_history_plus_structure,Q1,9,60,0.04506660703774433,0.1,0.054933392962255675
baseline_history_plus_structure,Q1,10,60,0.10775002904507668,0.016666666666666666,0.09108336237841001
baseline_history_plus_structure,Q10,1,60,0.000525423805519407,0.0,0.000525423805519407
baseline_history_plus_structure,Q10,2,60,0.0006040716274316835,0.0,0.0006040716274316835
baseline_history_plus_structure,Q10,3,60,0.00067320498196046,0.0,0.00067320498196046
baseline_history_plus_structure,Q10,4,59,0.0007349855694645782,0.0,0.0007349855694645782
baseline_history_plus_structure,Q10,5,60,0.0007926410563084158,0.0,0.0007926410563084158
baseline_history_plus_structure,Q10,6,60,0.000894016516462604,0.0,0.000894016516462604
baseline_history_plus_structure,Q10,7,59,0.0010420947329261292,0.0,0.0010420947329261292
baseline_history_plus_structure,Q10,8,60,0.0012103354534238134,0.0,0.0012103354534238134
baseline_history_plus_structure,Q10,9,60,0.0013829614640508785,0.0,0.0013829614640508785
baseline_history_plus_structure,Q10,10,60,0.0017061733807684604,0.0,0.0017061733807684604
baseline_plus_composite,overall,1,598,0.001630731937454808,0.0,0.001630731937454808
baseline_plus_composite,overall,2,598,0.002079876707955002,0.0,0.002079876707955002
baseline_plus_composite,overall,3,598,0.0026499140499969794,0.0,0.0026499140499969794
baseline_plus_composite,overall,4,598,0.0032449666714750025,0.0,0.0032449666714750025
baseline_plus_composite,overall,5,598,0.00399112482719681,0.0,0.00399112482719681
baseline_plus_composite,overall,6,598,0.005210207071067907,0.005016722408026756,0.00019348466304115134
baseline_plus_composite,overall,7,598,0.007155025507063468,0.0,0.007155025507063468
baseline_plus_composite,overall,8,598,0.010594406470323683,0.010033444816053512,0.0005609616542701715
baseline_plus_composite,overall,9,598,0.017616387534516543,0.020066889632107024,0.002450502097590481
baseline_plus_composite,overall,10,598,0.05210526666913877,0.03678929765886288,0.01531596901027589
baseline_plus_composite,Q1,1,60,0.002433308504438078,0.0,0.002433308504438078
baseline_plus_composite,Q1,2,60,0.003985504480102023,0.0,0.003985504480102023
baseline_plus_composite,Q1,3,60,0.006053387409270804,0.0,0.006053387409270804
baseline_plus_composite,Q1,4,59,0.008242855272114989,0.0,0.008242855272114989
baseline_plus_composite,Q1,5,60,0.010719652638557935,0.016666666666666666,0.005947014028108731
baseline_plus_composite,Q1,6,60,0.013893658371786891,0.0,0.013893658371786891
baseline_plus_composite,Q1,7,59,0.018144275719018707,0.03389830508474576,0.015754029365727056
baseline_plus_composite,Q1,8,60,0.02466005479866271,0.016666666666666666,0.007993388131996043
baseline_plus_composite,Q1,9,60,0.035323923019027974,0.1,0.06467607698097202
baseline_plus_composite,Q1,10,60,0.08911690729984693,0.016666666666666666,0.07245024063318027
baseline_plus_composite,Q10,1,60,0.0014777414277055152,0.0,0.0014777414277055152
baseline_plus_composite,Q10,2,60,0.0016310220569809145,0.0,0.0016310220569809145
baseline_plus_composite,Q10,3,60,0.0017376216720916663,0.0,0.0017376216720916663
baseline_plus_composite,Q10,4,59,0.0018630022323925294,0.0,0.0018630022323925294
baseline_plus_composite,Q10,5,60,0.0020106574481025233,0.0,0.0020106574481025233
baseline_plus_composite,Q10,6,60,0.002177096874616481,0.0,0.002177096874616481
baseline_plus_composite,Q10,7,59,0.0026805547016736002,0.0,0.0026805547016736002
baseline_plus_composite,Q10,8,60,0.0030623166668782994,0.0,0.0030623166668782994
baseline_plus_composite,Q10,9,60,0.0032909250212451004,0.0,0.0032909250212451004
baseline_plus_composite,Q10,10,60,0.003958386570128089,0.0,0.003958386570128089
