opacity_stratum,n_files,n_events,n_repos,event_rate,mean_score_std,median_score_std,mean_score_range,median_score_range,mean_history_vs_composite_gap,mean_structure_vs_composite_gap
overall,5980,5980,6,0.0071906354515050164,0.002387978145411519,0.0008441340593320133,0.006083557392030233,0.0021987959800963477,0.0010523291636746293,0.0018199366667479874
Q1,598,598,6,0.01839464882943144,0.005942744707907657,0.0032206863892048094,0.015124426511585907,0.008071961095425809,0.001842437853699138,0.004827267854745759
Q2,598,598,6,0.011705685618729096,0.004909436213886098,0.0018499031513251017,0.012298960651256819,0.004562201389545908,0.0008899912477208264,0.001907414789684904
Q3,598,598,6,0.016722408026755852,0.004359481017083981,0.0018429479330614876,0.010978278608953295,0.0045678904288847,0.0014553795994796813,0.001785343163390657
Q4,598,598,6,0.008361204013377926,0.0025780090554741496,0.0013129713963216491,0.006504393575216616,0.0033211666563869664,0.0012587683347038308,0.0012641410926772976
Q5,598,598,6,0.006688963210702341,0.0019005347070734184,0.0010125363771107542,0.004867305953662313,0.002677986305237664,0.0009971617835936467,0.0012895320616073418
Q6,598,598,5,0.0033444816053511705,0.001269088592101549,0.0008345378735447647,0.0033414778246562797,0.002196761489518773,0.0008774651848963294,0.0014281345581366952
Q7,598,598,6,0.0016722408026755853,0.0009764317184483237,0.0006174032114683724,0.002602194364188258,0.0016317160862795712,0.000835807470494317,0.0014898370685710314
Q8,598,598,6,0.0016722408026755853,0.0006701649658842926,0.0004688500339995686,0.0017780851582096127,0.0012205464345466455,0.0006981260372757726,0.0013200792914240826
Q9,598,598,6,0.0033444816053511705,0.0006736749997554444,0.0005259786912067386,0.0017788939702885265,0.0013766036295165664,0.0007865303898713237,0.00145511095383371
Q10,598,598,6,0.0,0.0006002154765002813,0.0005147740842611959,0.0015615573022847047,0.0013123138877850589,0.0008816237350114275,0.001432505833408398
