opacity_stratum,n_files,n_events,n_repos,event_rate,mean_composite,median_composite
Q1,598,598,6,0.01839464882943144,0.26939412488295783,0.2800445340083686
Q2,598,598,6,0.011705685618729096,0.31232799361433233,0.312344899397841
Q3,598,598,6,0.016722408026755852,0.3301292870559194,0.3301800938994301
Q4,598,598,6,0.008361204013377926,0.3436221195451031,0.3437368253835589
Q5,598,598,6,0.006688963210702341,0.35793793899581844,0.3578614095653405
Q6,598,598,5,0.0033444816053511705,0.3766022563019273,0.3764934431094039
Q7,598,598,6,0.0016722408026755853,0.39887840885776843,0.3980839572880114
Q8,598,598,6,0.0016722408026755853,0.4325571569668302,0.4335372702898812
Q9,598,598,6,0.0033444816053511705,0.4698367479650807,0.4680344470331416
Q10,598,598,6,0.0,0.559362448084905,0.551507776498557
