model,opacity_stratum,bin,n,mean_score,event_rate,abs_gap
baseline_history_plus_structure,overall,1,139,0.0008934363686706933,0.0,0.0008934363686706933
baseline_history_plus_structure,overall,2,139,0.001379472601845651,0.0,0.001379472601845651
baseline_history_plus_structure,overall,3,139,0.0018577855070857601,0.0,0.0018577855070857601
baseline_history_plus_structure,overall,4,138,0.0023462340273876234,0.0,0.0023462340273876234
baseline_history_plus_structure,overall,5,139,0.00307266051193795,0.0,0.00307266051193795
baseline_history_plus_structure,overall,6,139,0.004306040776404874,0.0,0.004306040776404874
baseline_history_plus_structure,overall,7,138,0.006217121941436405,0.0,0.006217121941436405
baseline_history_plus_structure,overall,8,139,0.009534642800910275,0.0,0.009534642800910275
baseline_history_plus_structure,overall,9,139,0.01732362630086643,0.02158273381294964,0.004259107512083211
baseline_history_plus_structure,overall,10,139,0.04382544268767615,0.03597122302158273,0.007854219666093419
baseline_history_plus_structure,Q1,1,14,0.002260219127881622,0.0,0.002260219127881622
baseline_history_plus_structure,Q1,2,14,0.0035964067077968605,0.0,0.0035964067077968605
baseline_history_plus_structure,Q1,3,14,0.006007786899070234,0.0,0.006007786899070234
baseline_history_plus_structure,Q1,4,14,0.008555285718111533,0.0,0.008555285718111533
baseline_history_plus_structure,Q1,5,14,0.012188660464740418,0.0,0.012188660464740418
baseline_history_plus_structure,Q1,6,13,0.01728450021709222,0.0,0.01728450021709222
baseline_history_plus_structure,Q1,7,14,0.022999394671213397,0.14285714285714285,0.11985774818592945
baseline_history_plus_structure,Q1,8,14,0.031025963650196782,0.0,0.031025963650196782
baseline_history_plus_structure,Q1,9,14,0.03974669155299643,0.0,0.03974669155299643
baseline_history_plus_structure,Q1,10,14,0.08208911341576478,0.0,0.08208911341576478
baseline_history_plus_structure,Q10,1,14,0.0005779038957996169,0.0,0.0005779038957996169
baseline_history_plus_structure,Q10,2,14,0.0006991046752816622,0.0,0.0006991046752816622
baseline_history_plus_structure,Q10,3,14,0.0007564734177773861,0.0,0.0007564734177773861
baseline_history_plus_structure,Q10,4,14,0.0007925403608323644,0.0,0.0007925403608323644
baseline_history_plus_structure,Q10,5,14,0.0008674543963273614,0.0,0.0008674543963273614
baseline_history_plus_structure,Q10,6,13,0.0009690608569017103,0.0,0.0009690608569017103
baseline_history_plus_structure,Q10,7,14,0.0011103257862239114,0.0,0.0011103257862239114
baseline_history_plus_structure,Q10,8,14,0.0012349911714821388,0.0,0.0012349911714821388
baseline_history_plus_structure,Q10,9,14,0.001510441491866916,0.0,0.001510441491866916
baseline_history_plus_structure,Q10,10,14,0.0023957018747376908,0.0,0.0023957018747376908
baseline_plus_composite,overall,1,139,0.0017414220859869754,0.0,0.0017414220859869754
baseline_plus_composite,overall,2,139,0.0022102010539077907,0.0,0.0022102010539077907
baseline_plus_composite,overall,3,139,0.0026365095096847918,0.0,0.0026365095096847918
baseline_plus_composite,overall,4,138,0.003150763874172869,0.0,0.003150763874172869
baseline_plus_composite,overall,5,139,0.003908554779879636,0.0,0.003908554779879636
baseline_plus_composite,overall,6,139,0.005106237894026609,0.0,0.005106237894026609
baseline_plus_composite,overall,7,138,0.006823716406904281,0.0,0.006823716406904281
baseline_plus_composite,overall,8,139,0.010121447391831646,0.0,0.010121447391831646
baseline_plus_composite,overall,9,139,0.01696995850277525,0.02877697841726619,0.01180701991449094
baseline_plus_composite,overall,10,139,0.04277331032777022,0.02877697841726619,0.013996331910504034
baseline_plus_composite,Q1,1,14,0.002352887028230062,0.0,0.002352887028230062
baseline_plus_composite,Q1,2,14,0.003455663190110448,0.0,0.003455663190110448
baseline_plus_composite,Q1,3,14,0.0053647711252029755,0.0,0.0053647711252029755
baseline_plus_composite,Q1,4,14,0.007341290442774534,0.0,0.007341290442774534
baseline_plus_composite,Q1,5,14,0.010716134179503312,0.0,0.010716134179503312
baseline_plus_composite,Q1,6,13,0.014615159484559005,0.07692307692307693,0.06230791743851792
baseline_plus_composite,Q1,7,14,0.019836115110589785,0.07142857142857142,0.051592456317981636
baseline_plus_composite,Q1,8,14,0.026172042172314478,0.0,0.026172042172314478
baseline_plus_composite,Q1,9,14,0.033499018262125,0.0,0.033499018262125
baseline_plus_composite,Q1,10,14,0.07508718491026786,0.0,0.07508718491026786
baseline_plus_composite,Q10,1,14,0.0013554984346781775,0.0,0.0013554984346781775
baseline_plus_composite,Q10,2,14,0.0015670403407370792,0.0,0.0015670403407370792
baseline_plus_composite,Q10,3,14,0.0017533810787906216,0.0,0.0017533810787906216
baseline_plus_composite,Q10,4,14,0.001884534395666772,0.0,0.001884534395666772
baseline_plus_composite,Q10,5,14,0.0020274506477289565,0.0,0.0020274506477289565
baseline_plus_composite,Q10,6,13,0.002149621065791538,0.0,0.002149621065791538
baseline_plus_composite,Q10,7,14,0.0023711002868626705,0.0,0.0023711002868626705
baseline_plus_composite,Q10,8,14,0.002770684669679133,0.0,0.002770684669679133
baseline_plus_composite,Q10,9,14,0.0032629729118300002,0.0,0.0032629729118300002
baseline_plus_composite,Q10,10,14,0.004700625416885218,0.0,0.004700625416885218
