model,opacity_stratum,n_files,n_events,n_repos,event_rate,mean_score,calibration_gap,absolute_error_mean,brier_score,brier_reliability,ece,roc_auc,average_precision
baseline_history,overall,1388,1388,2,0.005763688760806916,0.008785675052547367,0.003021986291740451,0.014110887956799746,0.00560371024088414,4.7397745786583186e-05,0.005599860080184298,0.921376811594203,0.06479759364407135
baseline_history,Q1,139,139,2,0.014388489208633094,0.019846486671214147,0.0054579974625810525,0.03369159416212273,0.01489044966625374,0.0013841499850138733,0.027501936534233377,0.6277372262773722,0.027879677182685254
baseline_history,Q2,139,139,2,0.014388489208633094,0.016042468379497885,0.001653979170864791,0.028802696226652325,0.013350591855065649,0.00028000647440326105,0.01235618920236784,0.9416058394160584,0.19166666666666665
baseline_history,Q3,139,139,2,0.02158273381294964,0.015340598588400308,-0.006242135224549333,0.03497014038729992,0.020275543179068337,0.0010958065115096892,0.02153680236281578,0.83578431372549,0.14007936507936508
baseline_history,Q4,138,138,2,0.007246376811594203,0.01151001769794515,0.0042636408863509475,0.018500942256383556,0.007249193133963277,0.00045747950964740067,0.014544853918093362,0.8102189781021898,0.037037037037037035
baseline_history,Q5,139,139,2,0.0,0.008072214802957096,0.008072214802957096,0.008072214802957096,0.00011885612617047167,0.00011244380121186916,0.008072214802957098,,
baseline_history,Q6,139,139,2,0.0,0.005623498286565441,0.005623498286565441,0.005623498286565441,6.694848285702289e-05,5.391144772128298e-05,0.005623498286565439,,
baseline_history,Q7,138,138,2,0.0,0.004540837297771177,0.004540837297771177,0.004540837297771177,3.393318063671454e-05,2.952455264827332e-05,0.004540837297771177,,
baseline_history,Q8,139,139,2,0.0,0.003087721399491137,0.003087721399491137,0.003087721399491137,1.307744325316237e-05,1.201054296068643e-05,0.0030877213994911367,,
baseline_history,Q9,139,139,2,0.0,0.0021674020048129358,0.0021674020048129358,0.0021674020048129358,7.140463043474078e-06,6.059906162228306e-06,0.0021674020048129353,,
baseline_history,Q10,139,139,2,0.0,0.0016145665830818473,0.0016145665830818473,0.0016145665830818473,3.1365463916368203e-06,3.0846015529157093e-06,0.0016145665830818476,,
baseline_history_plus_structure,overall,1388,1388,2,0.005763688760806916,0.009082554087822773,0.003318865327015857,0.014394941354815102,0.005624877230309807,2.4907206382815847e-05,0.004171914237937421,0.9304347826086956,0.06368794846405638
baseline_history_plus_structure,Q1,139,139,2,0.014388489208633094,0.022613466285834584,0.00822497707720149,0.03628570898364147,0.01495432387743674,0.0024374321520837464,0.03236898390602182,0.6678832116788321,0.031363636363636364
baseline_history_plus_structure,Q2,139,139,2,0.014388489208633094,0.017499778362581948,0.0031112891539488534,0.030259282028849428,0.01344746511901964,0.0002607786741758178,0.012148550877905258,0.9379562043795621,0.16666666666666669
baseline_history_plus_structure,Q3,139,139,2,0.02158273381294964,0.01603548818066541,-0.005547245632284231,0.03575268926599336,0.02036098006716465,0.0010917489511349308,0.021844768067905584,0.8480392156862745,0.14183006535947712
baseline_history_plus_structure,Q4,138,138,2,0.007246376811594203,0.011805542071665603,0.0045591652600714,0.018754019108755692,0.007219172710701498,0.0004378446121915921,0.014362599737588992,0.8248175182481752,0.04
baseline_history_plus_structure,Q5,139,139,2,0.0,0.008073908483490273,0.008073908483490273,0.008073908483490273,0.00012533251573990884,0.00011888103897426892,0.008073908483490273,,
baseline_history_plus_structure,Q6,139,139,2,0.0,0.0053372343426665485,0.0053372343426665485,0.0053372343426665485,6.524773319216484e-05,5.1787493907585014e-05,0.005337234342666548,,
baseline_history_plus_structure,Q7,138,138,2,0.0,0.004136001313165656,0.004136001313165656,0.004136001313165656,3.2501832726556336e-05,2.592986956643455e-05,0.004136001313165656,,
baseline_history_plus_structure,Q8,139,139,2,0.0,0.002564702588238635,0.002564702588238635,0.002564702588238635,9.512921294197742e-06,8.535834924836583e-06,0.002564702588238635,,
baseline_history_plus_structure,Q9,139,139,2,0.0,0.0016511424519683928,0.0016511424519683928,0.0016511424519683928,3.985547784749287e-06,3.4578894596150767e-06,0.001651142451968393,,
baseline_history_plus_structure,Q10,139,139,2,0.0,0.0010922799289520065,0.0010922799289520065,0.0010922799289520065,1.4868131660712012e-06,1.4530206227269296e-06,0.0010922799289520065,,
baseline_plus_composite,overall,1388,1388,2,0.005763688760806916,0.009550778424829678,0.0037870896640227617,0.014845345730881006,0.005611233177283858,5.508425032332593e-05,0.006151896246319937,0.9170289855072463,0.06448707009335937
baseline_plus_composite,Q1,139,139,2,0.014388489208633094,0.019881644339531837,0.005493155130898743,0.03373662041347317,0.014930977678009692,0.0014027180688079184,0.027540598514387605,0.6313868613138686,0.028182157521463233
baseline_plus_composite,Q2,139,139,2,0.014388489208633094,0.01682929237060223,0.0024408031619691344,0.02954484894992192,0.013373793998951422,0.0002696215251733689,0.01214335573237093,0.9416058394160584,0.19166666666666665
baseline_plus_composite,Q3,139,139,2,0.02158273381294964,0.016633284279871676,-0.004949449533077965,0.03600855463189485,0.020167937730198548,0.0009975617760063784,0.021280998376051814,0.8406862745098038,0.14074074074074072
baseline_plus_composite,Q4,138,138,2,0.007246376811594203,0.012622022909655826,0.0053756460980616235,0.019595883801429282,0.007291190630439174,0.0005587165071531836,0.01632994388864772,0.7883211678832117,0.03333333333333333
baseline_plus_composite,Q5,139,139,2,0.0,0.008895021419089074,0.008895021419089074,0.008895021419089074,0.00014524533003995742,0.0001374371022224405,0.008895021419089072,,
baseline_plus_composite,Q6,139,139,2,0.0,0.006402289725607527,0.006402289725607527,0.006402289725607527,8.908796941702418e-05,7.079386525654907e-05,0.0064022897256075266,,
baseline_plus_composite,Q7,138,138,2,0.0,0.0053067663756146185,0.0053067663756146185,0.0053067663756146185,4.830888898563102e-05,4.063944328280008e-05,0.00530676637561462,,
baseline_plus_composite,Q8,139,139,2,0.0,0.0037588915851436916,0.0037588915851436916,0.0037588915851436916,1.957324879648949e-05,1.791024680445086e-05,0.003758891585143692,,
baseline_plus_composite,Q9,139,139,2,0.0,0.002784154869225626,0.002784154869225626,0.002784154869225626,1.162865282599303e-05,9.929532365596552e-06,0.002784154869225626,,
baseline_plus_composite,Q10,139,139,2,0.0,0.0023859791972324516,0.0023859791972324516,0.0023859791972324516,6.652631972181354e-06,6.583208199199068e-06,0.0023859791972324516,,
baseline_size,overall,1388,1388,2,0.005763688760806916,0.008471279221908353,0.0027075904611014367,0.013806937862245358,0.005517939015530771,0.00010836496881327962,0.007570339733103502,0.9581521739130434,0.09963190153996515
baseline_size,Q1,139,139,2,0.014388489208633094,0.02063874002521287,0.006250250816579775,0.034167814734352105,0.014196659973419614,0.00085239757528814,0.02336942845913001,0.7737226277372262,0.04722222222222222
baseline_size,Q2,139,139,2,0.014388489208633094,0.016401846486503474,0.00201335727787038,0.029434624602347796,0.01351563599424004,0.0009857508821264913,0.0200471443908076,0.9416058394160584,0.15476190476190477
baseline_size,Q3,139,139,2,0.02158273381294964,0.013831433120021927,-0.007751300692927714,0.03367577323628757,0.020175452253071647,0.0013737608319236384,0.022779876785938777,0.928921568627451,0.4343434343434343
baseline_size,Q4,138,138,2,0.007246376811594203,0.010488700801574052,0.003242323989979849,0.017412131047618438,0.007084228812749891,0.0002991697353996709,0.012476870846144753,0.9343065693430657,0.1
baseline_size,Q5,139,139,2,0.0,0.007942710389547677,0.007942710389547677,0.007942710389547677,9.645931391381803e-05,8.913582386063594e-05,0.00794271038954768,,
baseline_size,Q6,139,139,2,0.0,0.005577110607066435,0.005577110607066435,0.005577110607066435,4.366889145472966e-05,4.2719438600145415e-05,0.005577110607066435,,
baseline_size,Q7,138,138,2,0.0,0.00437185140570886,0.00437185140570886,0.00437185140570886,2.4951843495097268e-05,2.3923377485443024e-05,0.00437185140570886,,
baseline_size,Q8,139,139,2,0.0,0.002695337298608331,0.002695337298608331,0.002695337298608331,9.412534300472749e-06,9.100486755870003e-06,0.002695337298608331,,
baseline_size,Q9,139,139,2,0.0,0.0016617358582672246,0.0016617358582672246,0.0016617358582672246,3.1159946808694714e-06,3.0628371603981426e-06,0.0016617358582672248,,
baseline_size,Q10,139,139,2,0.0,0.0010883477644393436,0.0010883477644393436,0.0010883477644393436,1.5549225799676574e-06,1.469637833005912e-06,0.0010883477644393436,,
