opacity_stratum,n_files,n_events,n_repos,event_rate,mean_score_std,median_score_std,mean_score_range,median_score_range,mean_history_vs_composite_gap,mean_structure_vs_composite_gap
overall,1388,1388,2,0.005763688760806916,0.0019052158326512806,0.0007799839451150312,0.004836514456696073,0.0020092389504990384,0.0008366904407637281,0.0014001572137070741
Q1,139,139,2,0.014388489208633094,0.004716693186235018,0.0030170796877941495,0.011764917632859697,0.007185710056928854,0.0006467896422110314,0.0031259328700276624
Q2,139,139,2,0.014388489208633094,0.0033646685894814,0.0018463684906410644,0.008448588630223788,0.004317393650656686,0.0008358040279660855,0.0014481684449734358
Q3,139,139,2,0.02158273381294964,0.003053544696592011,0.0015866644750551124,0.007795712347649272,0.004174367968647835,0.0013175408840727346,0.0015706340873043096
Q4,138,138,2,0.007246376811594203,0.00240170456443961,0.001397323386691214,0.006055407422411428,0.003594047711647248,0.0011392780864634682,0.0011212280129921416
Q5,139,139,2,0.0,0.0016769840830115983,0.001026173222062144,0.004230413079807174,0.0026326082132155197,0.0008251034008066077,0.0008752306057968232
Q6,139,139,2,0.0,0.001196745643058391,0.0006918861292998537,0.003098107772636025,0.0018013156522596286,0.0007787914390420868,0.0010650553829409783
Q7,138,138,2,0.0,0.0009506067323333851,0.0006584288277475689,0.002502409562171734,0.0017580463613673777,0.0007659290778434421,0.0011707650624489631
Q8,139,139,2,0.0,0.0006033382178758502,0.0004930713604626008,0.0016001979885463642,0.0012772280865429976,0.0006711701856525552,0.001194188996905057
Q9,139,139,2,0.0,0.00053371898546521,0.0003550252877758455,0.0014266353784220165,0.0009590588042169546,0.0006167528644126905,0.0011330124172572332
Q10,139,139,2,0.0,0.0005508577980309132,0.0005052719079652397,0.0014347316448317265,0.0012983588863653833,0.0007714126141506044,0.0012936992682804453
