opacity_stratum,n_files,n_events,n_repos,event_rate,mean_composite,median_composite
Q1,139,139,2,0.014388489208633094,0.2874087441011145,0.29029194392064595
Q2,139,139,2,0.014388489208633094,0.31399751202144477,0.3142338010552808
Q3,139,139,2,0.02158273381294964,0.32708609056012145,0.32711354912719265
Q4,138,138,2,0.007246376811594203,0.3373667311794492,0.33728205221498364
Q5,139,139,2,0.0,0.34874144116694133,0.3479192170069608
Q6,139,139,2,0.0,0.36361626355147214,0.3641885233707093
Q7,138,138,2,0.0,0.38130748856399654,0.38078626801309495
Q8,139,139,2,0.0,0.405514303095292,0.4047620540543795
Q9,139,139,2,0.0,0.4398247602498483,0.4398600835190206
Q10,139,139,2,0.0,0.5176187517734476,0.5054427850313002
