maintenance_id,repo,maintenance_anchor_tag,maintenance_anchor_commit,maintenance_commit,maintenance_parent,maintenance_epoch,maintenance_date,maintenance_anchor_epoch,maintenance_anchor_date,maintenance_subject,file_path,suffix,maintenance_depth_bucket,maintenance_type,maintenance_keyword_basis,pre_loc,pre_size_bytes,pre_ci_gzip,pre_shannon_entropy,pre_cyclomatic_density,pre_halstead_volume,pre_composite_score,pre_directory_depth,pre_prior_touches_total,pre_prior_touches_365d,pre_total_churn,pre_churn_365d,pre_author_count_total,pre_author_count_365d,pre_file_age_days,pre_latest_touch_days,post_loc,post_size_bytes,post_ci_gzip,post_shannon_entropy,post_cyclomatic_density,post_halstead_volume,post_composite_score,post_directory_depth,post_prior_touches_total,post_prior_touches_365d,post_total_churn,post_churn_365d,post_author_count_total,post_author_count_365d,post_file_age_days,post_latest_touch_days,pre_log_loc,pre_log_prior_touches_total
django-django:d128eac316dd5a8578fbae506028a3f2ade49420:django/db/backends/oracle/creation.py,django-django,1.7a2,a1709220d527385378e128949da4140709758d00,d128eac316dd5a8578fbae506028a3f2ade49420,a1709220d527385378e128949da4140709758d00,1411523913,2014-09-24T01:58:33+00:00,1411519628,2014-09-24T00:47:08+00:00,Changed Oracle test-user creation to grant privileges instead of roles,django/db/backends/oracle/creation.py,.py,4,,,252.0,12609.0,0.21936711872472045,0.7592170804207669,0.09523809523809523,0.0,0.2897631052531775,4.0,53.0,7.0,1552.0,176.0,22.0,6.0,3042.798460648148,6.452488425925926,270.0,13441.0,0.22379287255412544,0.7608801830951014,0.1,0.0,0.2927663592921148,4.0,54.0,8.0,1576.0,200.0,22.0,6.0,3042.8480555555557,0.0,5.53338948872752,3.9889840465642745
django-django:d79a30ba3f991bc3150fa1260fab1c10f5d3450a:django/db/utils.py,django-django,1.7a2,b952c3fc606ed01c6d0ff26451b6e2acf1b91ca5,d79a30ba3f991bc3150fa1260fab1c10f5d3450a,b952c3fc606ed01c6d0ff26451b6e2acf1b91ca5,1421498386,2015-01-17T12:39:46+00:00,1421497942,2015-01-17T12:32:22+00:00,Removed fallback suport for allow_syncdb() in database routers per deprecation timeline.,django/db/utils.py,.py,2,,,287.0,11809.0,0.28088745871792703,0.8017813064011675,0.1602787456445993,0.0,0.3379265917508213,2.0,68.0,15.0,736.0,118.0,18.0,8.0,1851.8843865740741,7.79275462962963,280.0,11430.0,0.2836395450568679,0.8023496852379495,0.16428571428571428,0.0,0.3400446766525695,2.0,69.0,16.0,745.0,127.0,18.0,8.0,1851.8895254629629,0.0,5.662960480135946,4.23410650459726
django-django:1f10c3994cf3b54749c5a541896f4ac28ea694fa:django/contrib/postgres/fields/jsonb.py,django-django,1.7a2,7e299c0e03a52052068db5108de97cf59174bfd9,1f10c3994cf3b54749c5a541896f4ac28ea694fa,7e299c0e03a52052068db5108de97cf59174bfd9,1484565856,2017-01-16T11:24:16+00:00,1484514159,2017-01-15T21:02:39+00:00,Removed unneeded variable in contrib/postgres/fields/jsonb.py.,django/contrib/postgres/fields/jsonb.py,.py,4,,,136.0,5786.0,0.27048047010024195,0.796853209750646,0.0661764705882353,0.0,0.3112321291525853,4.0,7.0,5.0,212.0,111.0,5.0,3.0,595.9528819444445,8.859108796296296,135.0,5764.0,0.27099236641221375,0.7968080011044196,0.06666666666666667,0.0,0.31164706157612804,4.0,8.0,6.0,215.0,114.0,6.0,4.0,596.5512268518519,0.0,4.919980925828125,2.0794415416798357
django-django:eb66057c1e7704bc48992ffe35c27554919551c8:django/views/i18n.py,django-django,1.7a2,59ab1b2683b6c090dc409d9eb8303aadbd590c04,eb66057c1e7704bc48992ffe35c27554919551c8,59ab1b2683b6c090dc409d9eb8303aadbd590c04,1495279434,2017-05-20T11:23:54+00:00,1495214537,2017-05-19T17:22:17+00:00,Refs #28221 -- Honor plural number in JavaScriptCatalog,django/views/i18n.py,.py,2,,,258.0,10940.0,0.31736745886654477,0.7852308654179021,0.1434108527131783,0.0,0.3423859018057744,2.0,78.0,12.0,1664.0,199.0,30.0,8.0,4214.515636574074,10.993217592592593,274.0,11437.0,0.3145055521552855,0.7854232839075851,0.1386861313868613,0.0,0.3401862241567409,2.0,79.0,13.0,1698.0,233.0,30.0,8.0,4215.266759259259,0.0,5.556828061699537,4.3694478524670215
django-django:5311a36da53f33645aa1938f6790228b57ea2d9a:django/db/backends/base/creation.py,django-django,1.7a2,90f3ef332b0274d066c9bc2d7f41242f755f7187,5311a36da53f33645aa1938f6790228b57ea2d9a,90f3ef332b0274d066c9bc2d7f41242f755f7187,1535457394,2018-08-28T11:56:34+00:00,1535457378,2018-08-28T11:56:18+00:00,Refs #29654 -- Replaced three dots with ellipsis in DB creation output strings.,django/db/backends/base/creation.py,.py,4,,,257.0,11919.0,0.2796375534860307,0.7976639333311183,0.14007782101167315,0.0,0.33132975298567546,4.0,24.0,4.0,1056.0,44.0,14.0,3.0,1321.6944212962962,5.9460648148148145,257.0,11919.0,0.278882456581928,0.7989110546878935,0.14007782101167315,0.0,0.331396825994836,4.0,25.0,5.0,1060.0,48.0,14.0,3.0,1321.6946064814815,0.0,5.552959584921617,3.2188758248682006
django-django:c494c6974dd0e7c5a43ea3e220b34641abc3ba29:django/db/models/fields/__init__.py,django-django,1.7a2,92f0017133c2d31fbd527bab7b08d4d49a582143,c494c6974dd0e7c5a43ea3e220b34641abc3ba29,92f0017133c2d31fbd527bab7b08d4d49a582143,1683699985,2023-05-10T06:26:25+00:00,1683629109,2023-05-09T10:45:09+00:00,Removed obsolete docstring from Field.db_returning.,django/db/models/fields/__init__.py,.py,4,,,2459.0,95889.0,0.1942245721615618,0.6790160130114946,0.10532736884912566,0.0879583249612784,0.2725666587666301,4.0,501.0,13.0,10559.0,176.0,129.0,10.0,6216.384178240741,6.668726851851852,2456.0,95778.0,0.1941782037628683,0.6789427743934223,0.10545602605863193,0.0879583249612784,0.272560065407979,4.0,502.0,14.0,10564.0,181.0,130.0,11.0,6217.204502314815,0.0,7.807916628926408,6.218600119691729
traefik-traefik:c460f3abcd4868268f55871d3a24e22fd0ebc8c7:tortuous.go,traefik-traefik,,3680c8dc604ee9d0277973a55641f47fd257b564,c460f3abcd4868268f55871d3a24e22fd0ebc8c7,3680c8dc604ee9d0277973a55641f47fd257b564,1441139304,2015-09-01T20:28:24+00:00,1440778162,2015-08-28T16:09:22+00:00,toml config,tortuous.go,.go,0,,,61.0,1515.0,0.4844884488448845,0.830885372684791,0.04918032786885246,0.0,0.39674909840573763,0.0,1.0,1.0,74.0,74.0,1.0,1.0,0.0,0.0,91.0,2063.0,0.45467765390208437,0.8358856082737506,0.04395604395604396,0.0,0.38430037104743087,0.0,2.0,2.0,129.0,129.0,2.0,2.0,4.179884259259259,0.0,4.127134385045092,0.6931471805599453
traefik-traefik:d888b4fcb5623d21d9ec5e80739e53ecce5a9330:marathon.go,traefik-traefik,v1.0.alpha.257,b029e7eded5f1d872fb290bf8895f3b55e172e1a,d888b4fcb5623d21d9ec5e80739e53ecce5a9330,b029e7eded5f1d872fb290bf8895f3b55e172e1a,1446411965,2015-11-01T21:06:05+00:00,1446207334,2015-10-30T12:15:34+00:00,Added healthcheck filter in marathon tasks,marathon.go,.go,0,,,206.0,6484.0,0.26850709438618137,0.7985050148970126,0.16019417475728157,0.0,0.3343720007859774,0.0,27.0,27.0,612.0,612.0,3.0,3.0,50.650300925925926,3.5340162037037035,219.0,6955.0,0.26628324946081955,0.7963601841065793,0.1689497716894977,0.0,0.3348788908181781,0.0,28.0,28.0,633.0,633.0,3.0,3.0,53.01871527777778,0.0,5.332718793265369,3.332204510175204
traefik-traefik:4776fa136112e714747391b70a296dff2e913831:acme/acme.go,traefik-traefik,v1.0.0-beta.784,c5084fd02523d7025417dfacecda5360e0c66eb6,4776fa136112e714747391b70a296dff2e913831,c5084fd02523d7025417dfacecda5360e0c66eb6,1464348218,2016-05-27T11:23:38+00:00,1464336379,2016-05-27T08:06:19+00:00,add parsers tests,acme/acme.go,.go,1,,,385.0,13327.0,0.27388009304419597,0.763368666353599,0.12727272727272726,0.0,0.3172665363458527,1.0,7.0,7.0,606.0,606.0,4.0,4.0,66.37055555555555,0.0,388.0,13474.0,0.2748998070357726,0.763663880457193,0.12886597938144329,0.0,0.3180139651328321,1.0,8.0,8.0,615.0,615.0,4.0,4.0,66.50758101851852,0.0,5.955837369464831,2.0794415416798357
traefik-traefik:0b783752117912a6f1aa89b5bbeaa7b8c24de3c2:provider/k8s/client.go,traefik-traefik,v1.1.0-rc2,15540764a0fd987ca136b57973a0c0ee3ee7ca71,0b783752117912a6f1aa89b5bbeaa7b8c24de3c2,15540764a0fd987ca136b57973a0c0ee3ee7ca71,1480529808,2016-11-30T18:16:48+00:00,1480529808,2016-11-30T18:16:48+00:00,Kubernetes client: set resync period to 5 minutes for more robustness,provider/k8s/client.go,.go,2,,,206.0,7500.0,0.2574666666666667,0.806836614933089,0.10194174757281553,0.0,0.3179612572931428,2.0,15.0,15.0,1130.0,1130.0,6.0,6.0,222.26375,0.0,208.0,7580.0,0.25936675461741426,0.8066427823958795,0.10096153846153846,0.0,0.31820275127855857,2.0,16.0,16.0,1140.0,1140.0,6.0,6.0,222.26375,0.0,5.332718793265369,2.772588722239781
traefik-traefik:6d2f4a0813fd66064a098c12ec35c04dfb2afd0a:autogen/gentemplates/gen.go,traefik-traefik,v1.4.3,4b91204686d9d10a82b6b7dc47d349d40367f00a,6d2f4a0813fd66064a098c12ec35c04dfb2afd0a,4b91204686d9d10a82b6b7dc47d349d40367f00a,1511258763,2017-11-21T10:06:03+00:00,1511257684,2017-11-21T09:48:04+00:00,Add health check label to ECS,autogen/gentemplates/gen.go,.go,2,,,343.0,31112.0,0.32421573669323733,0.9101952105869578,0.09620991253644315,0.0,0.357681999903161,2.0,1.0,1.0,444.0,444.0,1.0,1.0,0.8069560185185185,0.8069560185185185,343.0,31186.0,0.3257872122106073,0.9107856652590653,0.09620991253644315,0.0,0.35810537919630653,2.0,2.0,2.0,486.0,486.0,2.0,2.0,0.8194444444444444,0.0,5.840641657373398,0.6931471805599453
traefik-traefik:df11e67bb4877f8323e048ef5a3399847ad33286:autogen/gentemplates/gen.go,traefik-traefik,v1.6.0,b7d20496f3ad5a425215a2b08a13f8296b877905,df11e67bb4877f8323e048ef5a3399847ad33286,b7d20496f3ad5a425215a2b08a13f8296b877905,1526292483,2018-05-14T10:08:03+00:00,1526291043,2018-05-14T09:44:03+00:00,Override health check scheme,autogen/gentemplates/gen.go,.go,2,,,2056.0,82463.0,0.10203363932915369,0.5815914557733567,0.04036964980544747,0.055074678538324304,0.19704964422163607,2.0,52.0,52.0,5960.0,5960.0,11.0,11.0,174.80416666666667,0.0,2063.0,82752.0,0.1018223124516628,0.5813954901341283,0.04023267086766844,0.05584207132686636,0.19702162112220406,2.0,53.0,53.0,5967.0,5967.0,11.0,11.0,174.82083333333333,0.0,7.6290038896529575,3.970291913552122
traefik-traefik:9c8e5184230551499c9e4950b8c4cef5d496d735:autogen/gentemplates/gen.go,traefik-traefik,v1.7.0-rc3,bd3b787fd5904739478914e9b9a993ac758a792c,9c8e5184230551499c9e4950b8c4cef5d496d735,bd3b787fd5904739478914e9b9a993ac758a792c,1534864323,2018-08-21T15:12:03+00:00,1534844614,2018-08-21T09:43:34+00:00,Auth Forward with certificates in templates.,autogen/gentemplates/gen.go,.go,2,,,2338.0,93659.0,0.09680863558227186,0.5738610981503199,0.04448246364414029,0.06865005271832185,0.19627760499961172,2.0,58.0,58.0,6327.0,6327.0,14.0,14.0,273.8038310185185,35.91077546296296,2338.0,93723.0,0.09677453773353392,0.5738610981503199,0.04448246364414029,0.06865005271832185,0.1962549222441319,2.0,59.0,59.0,6359.0,6359.0,14.0,14.0,274.03194444444443,0.0,7.757478766584179,4.07753744390572
