model,metric,cluster_col,observed_gap,ci_lo,ci_hi,n_bootstrap
baseline_history_plus_structure,underprediction_loss,event_observation_id,0.03352594927129238,0.01951611016633479,0.050489008774926764,2000
baseline_history_plus_structure,underprediction_loss,repo,0.03352594927129238,0.020338021752585984,0.0877150584056996,2000
baseline_history_plus_structure,rank_pct,event_observation_id,0.2888915056592744,0.11190079862592392,0.5112954568002019,2000
baseline_history_plus_structure,rank_pct,repo,0.2888915056592744,0.12212434177406843,0.60265070201336,2000
baseline_history_plus_structure,top10_miss,event_observation_id,0.6060606060606061,0.4242424242424242,0.7575757575757576,2000
baseline_history_plus_structure,top10_miss,repo,0.6060606060606061,0.5,0.6721311475409837,2000
baseline_history_plus_structure,top25_miss,event_observation_id,0.6287878787878788,0.12878787878787878,0.9696969696969697,2000
baseline_history_plus_structure,top25_miss,repo,0.6287878787878788,0.38,0.9310344827586207,2000
baseline_plus_composite,underprediction_loss,event_observation_id,0.02693379396998552,0.010961417618821962,0.04827602468888157,2000
baseline_plus_composite,underprediction_loss,repo,0.02693379396998552,0.011168171411552574,0.08616230681034265,2000
baseline_plus_composite,rank_pct,event_observation_id,0.15488786916788452,-0.0014622898021405943,0.31651480700204754,2000
baseline_plus_composite,rank_pct,repo,0.15488786916788452,0.0064110988771783894,0.33840094937808507,2000
baseline_plus_composite,top10_miss,event_observation_id,0.5151515151515151,0.33333333333333337,0.696969696969697,2000
baseline_plus_composite,top10_miss,repo,0.5151515151515151,0.2857142857142857,0.5692307692307692,2000
baseline_plus_composite,top25_miss,event_observation_id,0.3484848484848485,-0.15151515151515152,0.8787878787878788,2000
baseline_plus_composite,top25_miss,repo,0.3484848484848485,-0.14615384615384613,0.9310344827586207,2000
