repo,snapshot_tag,snapshot_key,event_observation_id,file_path,opacity_stratum,composite_score,loc,log_loc,directory_depth,suffix,model,score,snapshot_file_count,rank_desc,rank_pct,top10_miss,top25_miss,underprediction_loss,opacity_band
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-14574:django/urls/resolvers.py,django/urls/resolvers.py,Q2,0.32073290230161045,469.0,6.152732694704104,2.0,.py,baseline_history_plus_structure,0.024635071061276034,674.0,54.0,0.08011869436201781,0,0,0.975364928938724,low
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-14574:django/utils/http.py,django/utils/http.py,Q3,0.3336655171011196,401.0,5.996452088619021,2.0,.py,baseline_history_plus_structure,0.028965096571540994,674.0,38.0,0.05637982195845697,0,0,0.971034903428459,low
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-7536:django/__init__.py,django/__init__.py,Q8,0.443920844892849,21.0,3.091042453358316,1.0,.py,baseline_history_plus_structure,0.011035022815920652,674.0,142.0,0.21068249258160238,1,0,0.9889649771840794,high
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-7536:django/utils/html.py,django/utils/html.py,Q4,0.33872798219473427,323.0,5.780743515792329,2.0,.py,baseline_history_plus_structure,0.017890421533251752,674.0,86.0,0.12759643916913946,1,0,0.9821095784667483,low
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-7537:django/utils/text.py,django/utils/text.py,Q3,0.3365916250795484,381.0,5.945420608606575,2.0,.py,baseline_history_plus_structure,0.02356721542097582,674.0,61.0,0.09050445103857567,0,0,0.9764327845790242,low
django-django,1.8.1,django-django:1.8.1,django-django:1.8.1:CVE-2016-2512|CVE-2017-7233:django/utils/http.py,django/utils/http.py,Q4,0.346825480334329,251.0,5.529429087511423,2.0,.py,baseline_history_plus_structure,0.0387034939209032,661.0,67.0,0.10136157337367625,1,0,0.9612965060790968,low
django-django,1.8.1,django-django:1.8.1,django-django:1.8.1:CVE-2016-2513:django/contrib/auth/hashers.py,django/contrib/auth/hashers.py,Q1,0.28461979860223463,413.0,6.025865973825314,3.0,.py,baseline_history_plus_structure,0.0375296117138532,661.0,72.0,0.10892586989409984,1,0,0.9624703882861468,low
django-django,1.8.1,django-django:1.8.1,django-django:1.8.1:CVE-2016-9013:django/db/backends/oracle/creation.py,django/db/backends/oracle/creation.py,Q1,0.29421191879604086,274.0,5.616771097666572,4.0,.py,baseline_history_plus_structure,0.04172019238025463,661.0,64.0,0.09682299546142209,0,0,0.9582798076197454,low
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:CVE-2016-6186:django/views/debug.py,django/views/debug.py,Q2,0.3107353941973648,1143.0,7.042286171939743,2.0,.py,baseline_history_plus_structure,0.07069314704706835,665.0,12.0,0.01804511278195489,0,0,0.9293068529529317,low
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:CVE-2016-9014:django/http/request.py,django/http/request.py,Q3,0.3281543662241265,469.0,6.152732694704104,2.0,.py,baseline_history_plus_structure,0.03719277790655972,665.0,39.0,0.058646616541353384,0,0,0.9628072220934403,low
django-django,4.0.2,django-django:4.0.2,django-django:4.0.2:CVE-2023-24580:django/__init__.py,django/__init__.py,Q9,0.45449176791561885,19.0,2.995732273553991,1.0,.py,baseline_history_plus_structure,0.007417392164837316,695.0,195.0,0.2805755395683453,1,1,0.9925826078351627,high
django-django,4.0.2,django-django:4.0.2,django-django:4.0.2:CVE-2023-24580:django/conf/global_settings.py,django/conf/global_settings.py,Q3,0.32855454120845035,535.0,6.284134161070802,2.0,.py,baseline_history_plus_structure,0.038419428733291155,695.0,20.0,0.02877697841726619,0,0,0.9615805712667088,low
django-django,4.0.2,django-django:4.0.2,django-django:4.0.2:CVE-2023-24580:django/core/exceptions.py,django/core/exceptions.py,Q3,0.33491853162890545,159.0,5.075173815233827,2.0,.py,baseline_history_plus_structure,0.004820204946725045,695.0,285.0,0.41007194244604317,1,1,0.9951797950532749,low
django-django,4.0.2,django-django:4.0.2,django-django:4.0.2:CVE-2023-24580:django/core/handlers/exception.py,django/core/handlers/exception.py,Q2,0.31528052328349127,127.0,4.852030263919617,3.0,.py,baseline_history_plus_structure,0.004847201342115882,695.0,282.0,0.40575539568345326,1,1,0.9951527986578841,low
django-django,4.0.2,django-django:4.0.2,django-django:4.0.2:CVE-2023-24580:django/http/multipartparser.py,django/http/multipartparser.py,Q3,0.3268335475161431,600.0,6.398594934535208,2.0,.py,baseline_history_plus_structure,0.028156258915759555,695.0,36.0,0.051798561151079135,0,0,0.9718437410842404,low
django-django,4.0.2,django-django:4.0.2,django-django:4.0.2:CVE-2023-24580:django/http/request.py,django/http/request.py,Q1,0.2949329444569393,558.0,6.326149473155099,2.0,.py,baseline_history_plus_structure,0.030719044548724723,695.0,30.0,0.04316546762589928,0,0,0.9692809554512752,low
