repo,anchor_tag,anchor_commit,intervention_commit,intervention_parent,file_path,commit_date,intervention_type,keyword_basis,review_decision,reviewer,notes
django-django,1.7b1,7b3a221ad674ce74afd5db2a7dd0a0a3beb354ed,23984cf907168d2a26579e54bf53d5d222431f01,7b3a221ad674ce74afd5db2a7dd0a0a3beb354ed,django/utils/html.py,2014-04-03T19:28:10+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
django-django,1.7a2,f8bfa806805a87d2cdd677089bd96fbf8400cb95,3f76d1402dac9c2993d588f996dc1c331edbc9a7,f8bfa806805a87d2cdd677089bd96fbf8400cb95,django/db/backends/base/schema.py,2016-07-15T14:34:37+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
django-django,1.7a2,1e655d35ad7540ea557c532ebc72a9acc407df50,1557778121e5d04a80f1f7c81eeb4b47400939e4,1e655d35ad7540ea557c532ebc72a9acc407df50,django/core/management/commands/loaddata.py,2021-05-14T18:45:04+00:00,simplify,simplify;split,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
django-django,1.7a2,420d13edeed8d2848b52f37144fe5edb7baff0cc,12576bd371c96fcc92f47a3df806531ff10450c6,420d13edeed8d2848b52f37144fe5edb7baff0cc,django/contrib/auth/views.py,2022-04-20T08:04:29+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,,b9d912c6380661647b51c322820fcb4ba08f32d2,addfa89b0f750abc193f62be8e457fc487b842ee,b9d912c6380661647b51c322820fcb4ba08f32d2,fastapi/applications.py,2018-12-06T19:47:58+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.1.12,a73709507c0778f97584ce67683901ec9da28d2a,510fec9bee23a9c31157090a2081f2038f7ae5cf,a73709507c0778f97584ce67683901ec9da28d2a,fastapi/encoders.py,2018-12-22T13:15:04+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.26.0,83b1a117cc2c5165ec3019722aa89e0444cded3d,bd407cc4ed81b21e4287735b7d31a30a452e3a9d,83b1a117cc2c5165ec3019722aa89e0444cded3d,fastapi/dependencies/utils.py,2019-05-30T13:40:43+00:00,extract,extract;refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.44.1,7bc78c5fd3945c22582c33fd5fbcb241e1e7a7b6,83d04df8a6f87abe2b849a510b4c0e36170e653e,7bc78c5fd3945c22582c33fd5fbcb241e1e7a7b6,fastapi/encoders.py,2019-12-09T19:02:44+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.49.1,1ce67887b942cb87e3914f70e7407784be139a1e,e26f94018c1a0c2be1c683247749edac2f607951,1ce67887b942cb87e3914f70e7407784be139a1e,fastapi/routing.py,2020-02-29T16:33:02+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.50.0,f2bd2c44e2e568576ad92f49b82c99bf686dc658,0ac9b3ee5ce85b9ebc23698f8515e07017d9b9aa,f2bd2c44e2e568576ad92f49b82c99bf686dc658,fastapi/__init__.py,2020-03-01T20:49:20+00:00,refactor,refactor;simplify,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.58.0,352c5f5ecc078a661a250cd5b7cd77939722e0f9,1f01ce9615fe83ea5235820266e3a78ae8768847,352c5f5ecc078a661a250cd5b7cd77939722e0f9,docs_src/additional_responses/tutorial002.py,2020-06-28T18:13:30+00:00,simplify,simplify,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.60.1,38b71a9298d54943f86f20bc55a41b9dde347455,b344cc9415a600a816f004a26e4f9dd48bc5dcf6,38b71a9298d54943f86f20bc55a41b9dde347455,fastapi/dependencies/utils.py,2020-08-03T08:32:06+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.60.1,78680e5bee65edd7ecf1b7ccdf066233663191d1,3063ad83ec006a41f2ed8f4168d5d6efbddbee6b,78680e5bee65edd7ecf1b7ccdf066233663191d1,fastapi/encoders.py,2020-08-03T13:30:23+00:00,simplify,simplify,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.61.2,d550738fa2b54295f3cd61c06b76eeaa5a9dfc1d,313bbe802fc9c2d16ff0203d82420f5279b7c45d,d550738fa2b54295f3cd61c06b76eeaa5a9dfc1d,docs_src/bigger_applications/app/main.py,2020-11-29T17:32:18+00:00,simplify,simplify,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.74.0,1ce16c2f40a75a4d97233bf4e331ed563eda47cf,f5d7df3c6ce0b7184404a87195393a48e1c6d2c0,1ce16c2f40a75a4d97233bf4e331ed563eda47cf,fastapi/routing.py,2022-02-21T15:51:26+00:00,extract,extract,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.75.1,26f725d259c5dbe3654f221e608b14412c6b40da,edcae918e263aa85ea4973a07580e230f554c652,26f725d259c5dbe3654f221e608b14412c6b40da,fastapi/applications.py,2022-04-13T11:01:42+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.79.1,f8f5281ef5efa25e780fec97701ed35eec3bcc71,f6808e76dcb332aefe16abab37b0480b16e7cdb1,f8f5281ef5efa25e780fec97701ed35eec3bcc71,fastapi/routing.py,2022-08-23T13:47:19+00:00,extract,extract,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.80.0,75792eb82b47a3a6bb4a971d9694456cc2760865,c8124496fc34c024e411f293d3893219005d409f,75792eb82b47a3a6bb4a971d9694456cc2760865,fastapi/dependencies/utils.py,2022-08-26T13:16:17+00:00,simplify,simplify,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.80.0,1f2070af20f889c956b13aa79313532cf0956b71,dc10b81d05fc4438038d74543333661073bf7c8a,1f2070af20f889c956b13aa79313532cf0956b71,fastapi/utils.py,2022-08-26T13:46:22+00:00,simplify,simplify,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.81.0,e7e6404faf41836bc74978714381c2587b53c0c3,52b5b08910356b22cb9837bda88f73f517dd8652,e7e6404faf41836bc74978714381c2587b53c0c3,fastapi/applications.py,2022-09-02T13:36:00+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.92.0,7b3727e03e84ca202d450ba3d702d5cd37025d60,35d93d59d82f2b2073d492ac335553f1d7c3cc55,7b3727e03e84ca202d450ba3d702d5cd37025d60,.github/actions/people/app/main.py,2023-03-01T13:22:00+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.96.0,4b31beef358e4108666013e1b7697baabdc467c0,010d44ee1bbe82b431225d57d77455643a24a2d0,4b31beef358e4108666013e1b7697baabdc467c0,fastapi/security/http.py,2023-06-10T12:05:35+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.97.0,c58e2b2d1e34f350ea59a913544c3547084039b6,cfb00b211926e05643e20b0e485e81f94ed3edbd,c58e2b2d1e34f350ea59a913544c3547084039b6,fastapi/_compat.py,2023-06-20T15:07:53+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.97.0,e7b3d47af334d8798a70cd20dfe47b9b4fe1f39e,6dc975da9dd4804c1fa3a9c8533bd339b63eee0e,e7b3d47af334d8798a70cd20dfe47b9b4fe1f39e,fastapi/openapi/models.py,2023-06-20T16:22:03+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.98.0,c563b5bcf11a35f36a5f9345facf52b39ca7e9dd,5656ed09efea3451145087f63e402a0d024622b5,c563b5bcf11a35f36a5f9345facf52b39ca7e9dd,scripts/docs.py,2023-06-25T12:33:58+00:00,refactor,refactor;simplify,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.98.0,0f390cd4b57b47fb53989094dc87d18ce337058a,0a8423d792bda91ab74c9c8b0021c9a9388cbd46,0f390cd4b57b47fb53989094dc87d18ce337058a,scripts/docs.py,2023-06-30T16:23:02+00:00,simplify,simplify,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.103.1,1c4a9e91b67a370b35f793ab746d32f3fc026621,74cf05117b21b90ac4da40bba8dad527220c465f,1c4a9e91b67a370b35f793ab746d32f3fc026621,.github/actions/notify-translations/app/main.py,2023-09-27T23:01:46+00:00,simplify,simplify,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.109.0,cca6203c18552aa95c7ad0f7fd972fd6e86d0d77,de0126d145c920c992c605538e63fe0e46b508d5,cca6203c18552aa95c7ad0f7fd972fd6e86d0d77,fastapi/utils.py,2024-01-13T14:31:38+00:00,simplify,simplify,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.110.0,4c2de5e2c3cdeb16825782cd84ca6ef2b6c0cd72,ee6403212b97a81190b49ada21c8c438315d049d,4c2de5e2c3cdeb16825782cd84ca6ef2b6c0cd72,fastapi/applications.py,2024-03-31T16:37:21+00:00,simplify,simplify,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,0.10.1,b9013ede2213e463c1b6d49b3651c796debc1ea4,4532e89efe9ef1161d4cdbd12687dac0c19c49b7,b9013ede2213e463c1b6d49b3651c796debc1ea4,flask/cli.py,2014-05-07T09:34:20+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,0.10.1,4532e89efe9ef1161d4cdbd12687dac0c19c49b7,ed7b4ccac1b646aa725007db7fd3ec2d359beaf4,4532e89efe9ef1161d4cdbd12687dac0c19c49b7,flask/cli.py,2014-05-07T09:36:49+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,0.10.1,ed7b4ccac1b646aa725007db7fd3ec2d359beaf4,81576c236a4dde33aeed13c84abed0ad2e796c2f,ed7b4ccac1b646aa725007db7fd3ec2d359beaf4,flask/cli.py,2014-05-07T11:27:41+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,0.10.1,81576c236a4dde33aeed13c84abed0ad2e796c2f,3569fc24415f8bac7b269ec041bd1f6bc23038ce,81576c236a4dde33aeed13c84abed0ad2e796c2f,flask/cli.py,2014-05-07T19:35:51+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,0.10.1,66ef55ce0a9a1caa66a4d955d831f7eb8a207993,932f7d7cbb5a4e04fd0922c3272a6e32d408abe8,66ef55ce0a9a1caa66a4d955d831f7eb8a207993,flask/app.py,2014-08-25T14:50:22+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,0.10.1,8488a3afa97e12297bdb22586e17b4c0ddf54175,61d5e6a4d4058accec957901be4d1efe2f3f71fa,8488a3afa97e12297bdb22586e17b4c0ddf54175,scripts/flaskext_migrate.py,2015-02-11T18:29:50+00:00,cleanup,cleanup,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,0.10.1,f267191cd81d67de3633b2d5bd4d9bfe4f44e0dd,0edf0a0e3a8b0f3e8309822044631fe7864d3066,f267191cd81d67de3633b2d5bd4d9bfe4f44e0dd,flask/json.py,2016-01-26T00:43:02+00:00,cleanup,cleanup,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,0.12,d50a5db5ed07a14733b8cbfc0962b793209014dd,c1973016eacfb22fdec837394d8b89c0ca35ad15,d50a5db5ed07a14733b8cbfc0962b793209014dd,flask/helpers.py,2017-04-08T01:02:31+00:00,cleanup,cleanup,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,0.12.2,e7cd68ba58b78309a342fbce68f6ef1edef3e5e5,bdf31cd423a295de2f6956b2e8da1d8f26c91858,e7cd68ba58b78309a342fbce68f6ef1edef3e5e5,flask/helpers.py,2017-05-25T17:26:02+00:00,extract,extract,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,0.12.2,7a1a594b2649890fca5d0e2a24db111046d68f39,48c2925664e154711e97385cc197be8bbb59572d,7a1a594b2649890fca5d0e2a24db111046d68f39,flask/cli.py,2017-05-25T18:28:20+00:00,refactor,refactor;split,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,0.12.2,e26cc8f9043946e7c9259699af9486dfe2148a53,7c0b36f1467d2d8ea5fdc572d5edfce476a6eb89,e26cc8f9043946e7c9259699af9486dfe2148a53,flask/cli.py,2017-05-26T13:16:45+00:00,cleanup,cleanup,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,0.12.2,ea2e9609bcefffe000cc5a184ab78239cd65d95b,5e1ced3c055f7eb567bf7266c98de3d44ceea1b4,ea2e9609bcefffe000cc5a184ab78239cd65d95b,flask/sessions.py,2017-06-02T05:47:23+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,0.12.2,5e1ced3c055f7eb567bf7266c98de3d44ceea1b4,ca176cb903f9566be07e359791e364ce2fe0b1bc,5e1ced3c055f7eb567bf7266c98de3d44ceea1b4,flask/json/tag.py,2017-06-02T13:36:13+00:00,split,split,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,0.12.2,ca176cb903f9566be07e359791e364ce2fe0b1bc,bbd15d53ad129a2ef984fdf4dca1d93f2d913803,ca176cb903f9566be07e359791e364ce2fe0b1bc,flask/json/tag.py,2017-06-02T14:03:22+00:00,cleanup,cleanup,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,1.1.1,64ba43411fbfb2e435455b0df2453d7809b7c5a8,d5f88dafaf03a21aa4b6f0a273228fe9263a4a78,64ba43411fbfb2e435455b0df2453d7809b7c5a8,src/flask/app.py,2020-03-11T14:24:38+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,1.1.2,216d97c21abe9674fe1dd6364b64051b0d09d0b0,b146a13f633b0e2e26e3b8383b3db0feb563bc83,216d97c21abe9674fe1dd6364b64051b0d09d0b0,src/flask/app.py,2020-08-01T14:45:58+00:00,extract,extract,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,1.1.2,14f56363a4992506f2b3670985fca4f0a29e5176,eb42655c46f8a598f2e0ead624ba5a65a8a66e90,14f56363a4992506f2b3670985fca4f0a29e5176,src/flask/app.py,2021-01-29T19:03:33+00:00,simplify,simplify,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
