repo,anchor_tag,anchor_commit,intervention_commit,intervention_parent,file_path,commit_date,intervention_type,keyword_basis,review_decision,reviewer,notes
django-django,1.7a2,f8bfa806805a87d2cdd677089bd96fbf8400cb95,3f76d1402dac9c2993d588f996dc1c331edbc9a7,f8bfa806805a87d2cdd677089bd96fbf8400cb95,django/db/backends/base/schema.py,2016-07-15T14:34:37+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.50.0,f2bd2c44e2e568576ad92f49b82c99bf686dc658,0ac9b3ee5ce85b9ebc23698f8515e07017d9b9aa,f2bd2c44e2e568576ad92f49b82c99bf686dc658,fastapi/__init__.py,2020-03-01T20:49:20+00:00,refactor,refactor;simplify,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.58.0,352c5f5ecc078a661a250cd5b7cd77939722e0f9,1f01ce9615fe83ea5235820266e3a78ae8768847,352c5f5ecc078a661a250cd5b7cd77939722e0f9,docs_src/additional_responses/tutorial002.py,2020-06-28T18:13:30+00:00,simplify,simplify,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.61.2,d550738fa2b54295f3cd61c06b76eeaa5a9dfc1d,313bbe802fc9c2d16ff0203d82420f5279b7c45d,d550738fa2b54295f3cd61c06b76eeaa5a9dfc1d,docs_src/bigger_applications/app/main.py,2020-11-29T17:32:18+00:00,simplify,simplify,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
fastapi-fastapi,0.97.0,c58e2b2d1e34f350ea59a913544c3547084039b6,cfb00b211926e05643e20b0e485e81f94ed3edbd,c58e2b2d1e34f350ea59a913544c3547084039b6,fastapi/_compat.py,2023-06-20T15:07:53+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,0.10.1,4532e89efe9ef1161d4cdbd12687dac0c19c49b7,ed7b4ccac1b646aa725007db7fd3ec2d359beaf4,4532e89efe9ef1161d4cdbd12687dac0c19c49b7,flask/cli.py,2014-05-07T09:36:49+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,0.10.1,81576c236a4dde33aeed13c84abed0ad2e796c2f,3569fc24415f8bac7b269ec041bd1f6bc23038ce,81576c236a4dde33aeed13c84abed0ad2e796c2f,flask/cli.py,2014-05-07T19:35:51+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,1.1.1,64ba43411fbfb2e435455b0df2453d7809b7c5a8,d5f88dafaf03a21aa4b6f0a273228fe9263a4a78,64ba43411fbfb2e435455b0df2453d7809b7c5a8,src/flask/app.py,2020-03-11T14:24:38+00:00,refactor,refactor,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,1.1.2,14f56363a4992506f2b3670985fca4f0a29e5176,eb42655c46f8a598f2e0ead624ba5a65a8a66e90,14f56363a4992506f2b3670985fca4f0a29e5176,src/flask/app.py,2021-01-29T19:03:33+00:00,simplify,simplify,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,1.1.2,eb42655c46f8a598f2e0ead624ba5a65a8a66e90,64206c13c2bff0220328845db0995f451cefd3b1,eb42655c46f8a598f2e0ead624ba5a65a8a66e90,src/flask/app.py,2021-01-29T19:26:17+00:00,simplify,simplify,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
pallets-flask,2.0.0rc1,cb13128cf03b2f1b3c5b48eab518e57e7b5f6516,7f87f3dd93baf45d5f69f02a2dcf4493dfc4a1be,cb13128cf03b2f1b3c5b48eab518e57e7b5f6516,src/flask/app.py,2021-05-03T13:15:39+00:00,simplify,simplify,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
prometheus-prometheus,v0.47.1,44f166d0664bb3bd1dfd36d74ed686079eee6c88,06b486b41e233eeb8c772fb18c04ed83567cd56f,44f166d0664bb3bd1dfd36d74ed686079eee6c88,storage/remote/write.go,2023-11-09T13:18:12+00:00,cleanup,cleanup,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
psf-requests,v2.1.0,0b41cec7a42682da52a24c87ff6b2c341f101005,a80bd7708d620ba1797aed1ca0840996fa137517,0b41cec7a42682da52a24c87ff6b2c341f101005,requests/utils.py,2014-01-07T17:23:11+00:00,cleanup,cleanup,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
psf-requests,v2.2.0,ac4e05874a1a983ca126185a0e4d4e74915f792e,ca187abd13052fee100909076358fca89b473e0f,ac4e05874a1a983ca126185a0e4d4e74915f792e,requests/utils.py,2014-01-11T09:59:23+00:00,split,split,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
psf-requests,v2.2.1,03f444e601e6608f68f3a09d708af93e4512560a,6d7e8a97bbefa287366bc5d0b0b8f789532e853a,03f444e601e6608f68f3a09d708af93e4512560a,requests/utils.py,2014-03-12T19:20:12+00:00,split,split,accept,initial_curation,Accepted under the deterministic structural-refactoring screen.
